Fecha,Tasa
04/01/18,N/E
11/01/18,7.54
18/01/18,N/E
25/01/18,N/E
01/02/18,N/E
08/02/18,7.47
15/02/18,N/E
22/02/18,N/E
01/03/18,N/E
08/03/18,7.47
15/03/18,N/E
22/03/18,N/E
28/03/18,N/E
05/04/18,7.19
12/04/18,N/E
19/04/18,N/E
26/04/18,N/E
03/05/18,7.4
10/05/18,N/E
17/05/18,N/E
24/05/18,N/E
31/05/18,7.65
07/06/18,N/E
14/06/18,N/E
21/06/18,N/E
28/06/18,7.79
05/07/18,N/E
12/07/18,N/E
19/07/18,N/E
26/07/18,7.83
02/08/18,N/E
09/08/18,N/E
16/08/18,N/E
23/08/18,7.83
30/08/18,N/E
06/09/18,N/E
13/09/18,N/E
20/09/18,7.96
27/09/18,N/E
04/10/18,N/E
11/10/18,N/E
18/10/18,7.91
25/10/18,N/E
01/11/18,N/E
08/11/18,N/E
15/11/18,8.68
22/11/18,N/E
29/11/18,N/E
06/12/18,N/E
13/12/18,8.87
20/12/18,N/E
27/12/18,N/E
03/01/19,8.56
10/01/19,N/E
17/01/19,N/E
24/01/19,N/E
31/01/19,N/E
07/02/19,8.17
14/02/19,N/E
21/02/19,N/E
28/02/19,N/E
07/03/19,8.01
14/03/19,N/E
21/03/19,N/E
28/03/19,N/E
04/04/19,7.87
11/04/19,N/E
17/04/19,N/E
25/04/19,N/E
02/05/19,7.98
09/05/19,N/E
16/05/19,N/E
23/05/19,N/E
30/05/19,7.82
06/06/19,N/E
13/06/19,N/E
20/06/19,N/E
27/06/19,7.57
04/07/19,N/E
11/07/19,N/E
18/07/19,N/E
25/07/19,7.37
01/08/19,N/E
08/08/19,N/E
15/08/19,N/E
22/08/19,7.12
29/08/19,N/E
05/09/19,N/E
12/09/19,N/E
19/09/19,7.01
26/09/19,N/E
03/10/19,N/E
10/10/19,N/E
17/10/19,6.68
24/10/19,N/E
31/10/19,N/E
07/11/19,N/E
14/11/19,6.62
21/11/19,N/E
28/11/19,N/E
05/12/19,N/E
11/12/19,6.76
19/12/19,N/E
26/12/19,N/E
02/01/20,N/E
09/01/20,6.8
16/01/20,N/E
23/01/20,N/E
30/01/20,N/E
06/02/20,6.55
13/02/20,N/E
20/02/20,N/E
27/02/20,N/E
05/03/20,6.15
12/03/20,N/E
19/03/20,N/E
26/03/20,N/E
02/04/20,6.27
08/04/20,N/E
16/04/20,N/E
23/04/20,N/E
30/04/20,5.35
07/05/20,N/E
14/05/20,N/E
21/05/20,N/E
28/05/20,5.18
04/06/20,N/E
11/06/20,N/E
18/06/20,N/E
25/06/20,4.75
02/07/20,N/E
09/07/20,N/E
16/07/20,N/E
23/07/20,4.63
30/07/20,N/E
06/08/20,N/E
13/08/20,N/E
20/08/20,4.67
27/08/20,N/E
03/09/20,N/E
10/09/20,N/E
17/09/20,4.56
24/09/20,N/E
01/10/20,N/E
08/10/20,N/E
15/10/20,4.48
22/10/20,N/E
29/10/20,N/E
05/11/20,4.61
12/11/20,N/E
19/11/20,N/E
26/11/20,N/E
03/12/20,N/E
10/12/20,4.4
07/01/21,4.31
04/02/21,4.12
04/03/21,4.19
31/03/21,4.9
29/04/21,5.5
27/05/21,5.76
24/06/21,6
22/07/21,6.17
19/08/21,6.19
15/09/21,6.22
14/10/21,6.68
11/11/21,7.05
09/12/21,7.19
06/01/22,7.61
10/02/22,7.57
17/03/22,8.39
21/04/22,8.9
26/05/22,8.84
30/06/22,9.41
04/08/22,8.78
08/09/22,9.62
13/10/22,10.33
17/11/22,9.73
22/12/22,9.69
05/01/23,9.94
02/02/23,9.96
02/03/23,11.15
30/03/23,10.57
27/04/23,10.5
25/05/23,10.46
22/06/23,9.42
20/07/23,9.45
17/08/23,9.77
14/09/23,10.39
12/10/23,10.34
09/11/23,10.25
07/12/23,9.72
04/01/24,9.65
01/02/24,9.75
29/02/24,9.81
27/03/24,9.88
11/04/24,10.1
16/05/24,10.4
13/06/24,10.83
25/07/24,10.64
22/08/24,9.95
19/09/24,9.57
10/10/24,9.75
07/11/24,10.19
19/12/24,9.65
02/01/25,9.98
30/01/25,9.53
27/02/25,9.1
20/03/25,8.91
10/04/25,8.58
08/05/25,8.42
12/06/25,8.41
10/07/25,8.38
31/07/25,8.4
28/08/25,8.03
02/10/25,7.8
20/11/25,7.75
31/12/25,7.95
29/01/26,8.23
05/03/26,8.08
26/03/26,8.94
30/04/26,8.41
