"Fecha","Cierre","Apertura","Máximo","Mínimo","% var."
"01.04.2026","8.860","8.805","9.030","8.805","-1.45%"
"31.03.2026","8.990","8.990","9.030","8.990","0.00%"
"30.03.2026","8.990","8.900","9.090","8.900","-0.04%"
"27.03.2026","8.994","8.770","9.020","8.770","2.55%"
"26.03.2026","8.770","8.990","8.990","8.770","-2.45%"
"25.03.2026","8.990","8.880","8.990","8.880","0.22%"
"24.03.2026","8.970","9.130","9.130","8.970","-1.75%"
"23.03.2026","9.130","8.930","9.130","8.930","2.24%"
"20.03.2026","8.930","8.930","9.150","8.930","0.00%"
"19.03.2026","8.930","8.830","9.040","8.830","1.13%"
"18.03.2026","8.830","8.960","8.960","8.830","-1.45%"
"17.03.2026","8.960","8.960","8.960","8.780","0.00%"
"16.03.2026","8.960","8.960","8.960","8.960","0.97%"
"13.03.2026","8.874","8.470","8.874","8.470","1.95%"
"12.03.2026","8.704","8.420","8.704","8.420","3.37%"
"11.03.2026","8.420","8.420","8.420","8.420","-1.29%"
"10.03.2026","8.530","8.450","8.530","8.370","0.95%"
"09.03.2026","8.450","8.410","8.610","8.410","0.48%"
"06.03.2026","8.410","8.210","8.610","8.210","2.44%"
"05.03.2026","8.210","8.325","8.363","8.210","-0.05%"
"04.03.2026","8.214","8.130","8.260","8.130","1.03%"
"03.03.2026","8.130","8.330","8.330","8.130","-0.05%"
"02.03.2026","8.134","8.050","8.160","8.040","1.12%"
"27.02.2026","8.044","8.050","8.123","8.044","-0.07%"
"26.02.2026","8.050","8.120","8.133","8.050","-0.05%"
"25.02.2026","8.054","8.150","8.150","8.054","-0.86%"
"24.02.2026","8.124","8.180","8.200","8.124","-0.61%"
"23.02.2026","8.174","8.170","8.210","8.170","0.00%"
"20.02.2026","8.174","8.150","8.174","8.150","0.29%"
"19.02.2026","8.150","8.185","8.185","8.150","-0.12%"
"18.02.2026","8.160","8.180","8.215","8.160","-0.24%"
"17.02.2026","8.180","8.140","8.267","8.140","0.44%"
"16.02.2026","8.144","8.120","8.144","8.120","0.30%"
"13.02.2026","8.120","8.170","8.200","8.120","-0.05%"
"12.02.2026","8.124","8.200","8.207","8.124","-0.93%"
"11.02.2026","8.200","8.250","8.270","8.200","-0.61%"
"10.02.2026","8.250","8.270","8.313","8.250","-0.24%"
"09.02.2026","8.270","8.270","8.270","8.270","-0.05%"
"06.02.2026","8.274","8.380","8.380","8.274","-1.26%"
"05.02.2026","8.380","8.400","8.400","8.380","0.48%"
"04.02.2026","8.340","8.430","8.430","8.340","0.24%"
"03.02.2026","8.320","8.330","8.380","8.320","-0.12%"
"02.02.2026","8.330","8.330","8.330","8.330","0.60%"
"30.01.2026","8.280","8.360","8.405","8.280","-0.96%"
"29.01.2026","8.360","8.400","8.403","8.360","-0.48%"
"28.01.2026","8.400","8.470","8.470","8.400","-0.05%"
"27.01.2026","8.404","8.460","8.525","8.404","-0.66%"
"26.01.2026","8.460","8.430","8.540","8.430","-0.05%"
"23.01.2026","8.464","8.530","8.530","8.410","-0.77%"
"22.01.2026","8.530","8.630","8.630","8.480","-1.16%"
"21.01.2026","8.630","8.550","8.680","8.550","0.94%"
"20.01.2026","8.550","8.510","8.640","8.510","0.47%"
"19.01.2026","8.510","8.430","8.635","8.430","-0.05%"
"16.01.2026","8.514","8.410","8.514","8.410","1.24%"
"15.01.2026","8.410","8.460","8.460","8.410","-0.59%"
"14.01.2026","8.460","8.440","8.460","8.440","0.24%"
"13.01.2026","8.440","8.450","8.493","8.440","-0.05%"
"12.01.2026","8.444","8.410","8.545","8.410","0.40%"
"09.01.2026","8.410","8.380","8.507","8.380","4.29%"
"08.01.2026","8.064","8.090","8.090","8.000","0.55%"
"07.01.2026","8.020","8.110","8.110","8.004","-0.05%"
"06.01.2026","8.024","8.160","8.160","8.024","-1.67%"
"05.01.2026","8.160","8.160","8.210","8.160","0.00%"
"02.01.2026","8.160","8.200","8.260","8.160","-0.49%"
"01.01.2026","8.200","8.200","8.200","8.200","0.00%"
"31.12.2025","8.200","8.230","8.300","8.200","-0.36%"
"30.12.2025","8.230","8.320","8.320","8.230","-0.12%"
"29.12.2025","8.240","8.240","8.240","8.240","0.00%"
"26.12.2025","8.240","8.240","8.240","8.240","0.00%"
"24.12.2025","8.240","8.260","8.284","8.240","-0.24%"
"23.12.2025","8.260","8.400","8.400","8.260","-1.67%"
"22.12.2025","8.400","8.287","8.400","8.200","2.69%"
"19.12.2025","8.180","8.220","8.220","8.180","-0.49%"
"18.12.2025","8.220","8.280","8.280","8.220","-0.72%"
"17.12.2025","8.280","8.353","8.353","8.280","-1.08%"
"16.12.2025","8.370","8.360","8.450","8.360","-0.05%"
"15.12.2025","8.374","8.360","8.374","8.360","0.17%"
"12.12.2025","8.360","8.360","8.360","8.360","-0.05%"
"11.12.2025","8.364","8.320","8.370","8.303","0.36%"
"10.12.2025","8.334","8.150","8.407","8.150","2.26%"
"09.12.2025","8.150","8.150","8.150","8.150","-0.24%"
"08.12.2025","8.170","8.030","8.195","8.030","1.74%"
"05.12.2025","8.030","7.980","8.030","7.980","0.63%"
"04.12.2025","7.980","8.000","8.070","7.980","-0.25%"
"03.12.2025","8.000","8.010","8.070","7.984","-0.12%"
"02.12.2025","8.010","8.010","8.010","8.010","0.00%"
"01.12.2025","8.010","8.117","8.117","8.010","0.13%"
"28.11.2025","8.000","8.030","8.117","8.000","-0.05%"
"27.11.2025","8.004","8.080","8.105","8.004","-0.94%"
"26.11.2025","8.080","8.118","8.118","8.080","0.00%"
"25.11.2025","8.080","8.105","8.105","8.080","-0.37%"
"24.11.2025","8.110","8.080","8.110","8.080","0.37%"
"21.11.2025","8.080","8.050","8.084","8.050","0.37%"
"20.11.2025","8.050","8.050","8.050","8.050","0.00%"
"19.11.2025","8.050","8.070","8.070","8.050","-0.25%"
"18.11.2025","8.070","8.070","8.070","8.070","0.00%"
"17.11.2025","8.070","8.070","8.070","8.070","0.12%"
"14.11.2025","8.060","8.060","8.060","8.060","0.00%"
"13.11.2025","8.060","8.090","8.090","8.060","-0.37%"
"12.11.2025","8.090","8.060","8.090","8.060","0.37%"
"11.11.2025","8.060","8.060","8.060","8.060","0.00%"
"10.11.2025","8.060","8.000","8.060","8.000","0.75%"
"07.11.2025","8.000","7.970","8.000","7.970","0.38%"
"06.11.2025","7.970","7.960","7.970","7.960","0.13%"
"05.11.2025","7.960","7.940","7.960","7.940","0.25%"
"04.11.2025","7.940","7.900","7.940","7.900","0.51%"
"03.11.2025","7.900","7.890","7.900","7.890","0.13%"
"31.10.2025","7.890","7.910","7.910","7.890","-0.25%"
"30.10.2025","7.910","7.860","7.910","7.860","0.64%"
"29.10.2025","7.860","7.860","7.860","7.860","0.00%"
"28.10.2025","7.860","7.880","7.880","7.860","-0.25%"
"27.10.2025","7.880","7.880","7.880","7.880","-0.05%"
