Fecha,Tasa
04/01/18,7.78
11/01/18,N/E
18/01/18,N/E
25/01/18,N/E
01/02/18,7.7
08/02/18,N/E
15/02/18,N/E
22/02/18,N/E
01/03/18,7.85
08/03/18,N/E
15/03/18,N/E
22/03/18,N/E
28/03/18,7.8
05/04/18,N/E
12/04/18,N/E
19/04/18,N/E
26/04/18,7.71
03/05/18,N/E
10/05/18,N/E
17/05/18,N/E
24/05/18,7.94
31/05/18,N/E
07/06/18,N/E
14/06/18,N/E
21/06/18,8.1
28/06/18,N/E
05/07/18,N/E
12/07/18,N/E
19/07/18,8.19
26/07/18,N/E
02/08/18,N/E
09/08/18,N/E
16/08/18,8.15
23/08/18,N/E
30/08/18,N/E
06/09/18,N/E
13/09/18,8.26
20/09/18,N/E
27/09/18,N/E
04/10/18,N/E
11/10/18,8.2
18/10/18,N/E
25/10/18,N/E
01/11/18,N/E
08/11/18,8.49
15/11/18,N/E
22/11/18,N/E
29/11/18,N/E
06/12/18,8.67
13/12/18,N/E
20/12/18,N/E
27/12/18,N/E
03/01/19,N/E
10/01/19,8.62
17/01/19,N/E
24/01/19,N/E
31/01/19,8.42
07/02/19,N/E
14/02/19,N/E
21/02/19,N/E
28/02/19,8.2
07/03/19,N/E
14/03/19,N/E
21/03/19,N/E
28/03/19,8.05
04/04/19,N/E
11/04/19,N/E
17/04/19,N/E
25/04/19,8.15
02/05/19,N/E
09/05/19,N/E
16/05/19,N/E
23/05/19,8.28
30/05/19,N/E
06/06/19,N/E
13/06/19,N/E
20/06/19,8.16
27/06/19,N/E
04/07/19,N/E
11/07/19,N/E
18/07/19,8.04
25/07/19,N/E
01/08/19,N/E
08/08/19,N/E
15/08/19,7.78
22/08/19,N/E
29/08/19,N/E
05/09/19,N/E
12/09/19,7.39
19/09/19,N/E
26/09/19,N/E
03/10/19,N/E
10/10/19,7.18
17/10/19,N/E
24/10/19,N/E
31/10/19,N/E
07/11/19,7.12
14/11/19,N/E
21/11/19,N/E
28/11/19,N/E
05/12/19,7.18
11/12/19,N/E
19/12/19,N/E
26/12/19,N/E
02/01/20,7.18
09/01/20,N/E
16/01/20,N/E
23/01/20,N/E
30/01/20,6.97
06/02/20,N/E
13/02/20,N/E
20/02/20,N/E
27/02/20,6.66
05/03/20,N/E
12/03/20,N/E
19/03/20,N/E
26/03/20,6.61
02/04/20,N/E
08/04/20,N/E
16/04/20,N/E
23/04/20,5.79
30/04/20,N/E
07/05/20,N/E
14/05/20,N/E
21/05/20,5.03
28/05/20,N/E
04/06/20,N/E
11/06/20,N/E
18/06/20,4.9
25/06/20,N/E
02/07/20,4.69
09/07/20,4.62
16/07/20,4.61
23/07/20,4.6
30/07/20,4.54
06/08/20,4.5
13/08/20,4.44
20/08/20,4.49
27/08/20,4.48
03/09/20,4.46
10/09/20,4.5
17/09/20,4.46
24/09/20,4.36
01/10/20,4.36
08/10/20,4.37
15/10/20,4.38
22/10/20,4.35
29/10/20,4.39
05/11/20,4.35
12/11/20,4.28
19/11/20,4.5
26/11/20,4.31
03/12/20,4.42
10/12/20,4.36
17/12/20,4.33
24/12/20,4.21
31/12/20,4.29
07/01/21,4.23
14/01/21,4.2
21/01/21,4.2
28/01/21,4.22
04/02/21,4.25
11/02/21,4.21
18/02/21,4.04
25/02/21,4.08
04/03/21,4.18
11/03/21,4.28
18/03/21,4.44
25/03/21,4.45
31/03/21,4.7
08/04/21,4.65
15/04/21,4.59
22/04/21,4.63
29/04/21,4.68
06/05/21,4.75
13/05/21,4.67
20/05/21,4.82
27/05/21,4.87
03/06/21,4.78
10/06/21,4.75
17/06/21,4.67
24/06/21,5
01/07/21,5.48
08/07/21,5.35
15/07/21,5.5
22/07/21,5.43
29/07/21,5.54
05/08/21,5.48
12/08/21,5.52
19/08/21,5.46
26/08/21,5.4
02/09/21,5.35
09/09/21,5.5
15/09/21,5.45
23/09/21,5.5
30/09/21,5.75
07/10/21,6.09
14/10/21,6.09
21/10/21,6.34
28/10/21,6.37
04/11/21,6.5
11/11/21,6.54
18/11/21,6.27
25/11/21,6.59
02/12/21,6.56
09/12/21,6.48
16/12/21,6.5
23/12/21,6.9
30/12/21,6.95
06/01/22,7.03
13/01/22,7.03
20/01/22,6.95
27/01/22,6.92
03/02/22,6.96
10/02/22,7
17/02/22,7.37
24/02/22,7.32
03/03/22,7.45
10/03/22,8.05
17/03/22,8.1
24/03/22,8.3
31/03/22,8.29
07/04/22,8.4
13/04/22,8.52
21/04/22,8.51
28/04/22,8.79
05/05/22,8.91
12/05/22,8.71
19/05/22,8.86
26/05/22,8.87
02/06/22,9.07
09/06/22,9.29
16/06/22,9.55
23/06/22,9.59
30/06/22,9.73
07/07/22,9.69
14/07/22,9.68
21/07/22,9.82
28/07/22,9.66
04/08/22,9.41
11/08/22,9.53
18/08/22,9.66
25/08/22,9.79
01/09/22,9.98
08/09/22,10.02
15/09/22,10.1
22/09/22,10.34
29/09/22,10.93
06/10/22,10.64
13/10/22,N/E
20/10/22,10.88
27/10/22,N/E
03/11/22,10.87
10/11/22,N/E
17/11/22,10.78
24/11/22,N/E
01/12/22,10.84
08/12/22,N/E
15/12/22,10.72
22/12/22,N/E
29/12/22,11
05/01/23,N/E
12/01/23,11.06
19/01/23,N/E
26/01/23,11.1
02/02/23,N/E
09/02/23,11.21
16/02/23,N/E
23/02/23,12.09
02/03/23,N/E
09/03/23,12.07
16/03/23,N/E
23/03/23,11.66
30/03/23,N/E
05/04/23,11.74
13/04/23,N/E
20/04/23,11.77
27/04/23,N/E
04/05/23,11.57
11/05/23,N/E
18/05/23,11.5
25/05/23,N/E
01/06/23,11.45
08/06/23,N/E
15/06/23,11.31
22/06/23,N/E
29/06/23,11.12
06/07/23,N/E
13/07/23,11.4
20/07/23,N/E
27/07/23,11.3
03/08/23,N/E
10/08/23,11.45
17/08/23,N/E
24/08/23,11.48
31/08/23,N/E
07/09/23,11.57
14/09/23,N/E
21/09/23,11.66
28/09/23,N/E
05/10/23,11.73
12/10/23,N/E
19/10/23,11.75
26/10/23,N/E
01/11/23,11.87
09/11/23,N/E
16/11/23,11.32
23/11/23,N/E
30/11/23,11.32
07/12/23,N/E
14/12/23,11.23
21/12/23,N/E
28/12/23,11.12
04/01/24,N/E
11/01/24,11.19
18/01/24,N/E
25/01/24,11.21
01/02/24,N/E
08/02/24,11.24
15/02/24,N/E
22/02/24,11.22
29/02/24,N/E
07/03/24,11.14
14/03/24,N/E
21/03/24,11.1
27/03/24,N/E
04/04/24,11.03
11/04/24,N/E
18/04/24,11.38
25/04/24,N/E
02/05/24,11.51
09/05/24,N/E
16/05/24,11.33
23/05/24,N/E
30/05/24,11.34
06/06/24,N/E
13/06/24,11.4
20/06/24,N/E
27/06/24,11.35
04/07/24,N/E
11/07/24,11.41
18/07/24,N/E
25/07/24,11.37
01/08/24,N/E
08/08/24,11.08
15/08/24,N/E
22/08/24,10.75
29/08/24,N/E
05/09/24,10.7
12/09/24,N/E
19/09/24,10.38
26/09/24,N/E
03/10/24,10.14
10/10/24,N/E
17/10/24,10.25
24/10/24,N/E
31/10/24,10.62
07/11/24,N/E
14/11/24,10.49
21/11/24,N/E
28/11/24,10.2
05/12/24,N/E
11/12/24,9.86
19/12/24,N/E
26/12/24,10.06
02/01/25,N/E
09/01/25,9.99
16/01/25,N/E
23/01/25,9.78
30/01/25,N/E
06/02/25,9.52
13/02/25,N/E
20/02/25,9.31
27/02/25,N/E
06/03/25,9.11
13/03/25,N/E
20/03/25,8.99
27/03/25,N/E
03/04/25,8.68
10/04/25,N/E
16/04/25,8.57
24/04/25,N/E
30/04/25,8.49
08/05/25,N/E
15/05/25,8.37
22/05/25,N/E
29/05/25,8.33
05/06/25,N/E
12/06/25,8.31
19/06/25,N/E
26/06/25,8.27
03/07/25,N/E
10/07/25,8.33
17/07/25,N/E
24/07/25,8.23
31/07/25,N/E
07/08/25,8.04
14/08/25,N/E
21/08/25,7.91
28/08/25,N/E
04/09/25,7.83
11/09/25,N/E
18/09/25,7.7
25/09/25,N/E
02/10/25,7.63
09/10/25,N/E
16/10/25,7.51
23/10/25,N/E
30/10/25,7.37
06/11/25,N/E
13/11/25,7.51
20/11/25,N/E
27/11/25,7.63
04/12/25,N/E
11/12/25,7.65
18/12/25,N/E
24/12/25,7.55
31/12/25,N/E
08/01/26,7.44
15/01/26,N/E
22/01/26,7.5
29/01/26,N/E
05/02/26,7.37
12/02/26,N/E
19/02/26,7.22
26/02/26,N/E
05/03/26,7.21
12/03/26,N/E
19/03/26,7.58
26/03/26,N/E
01/04/26,7.44
09/04/26,N/E
16/04/26,7.16
23/04/26,N/E
30/04/26,7.19
