Fecha,Cierre,Open,High,Low,Vol.,Change %
01/05/26,6.0135,6.014,6.014,5.9965,0.23K,0.06%
30/04/26,6.01,6.0025,6.003,6.0025,0.13K,0.81%
29/04/26,5.962,6.009,6.051,5.957,0.97K,-0.20%
28/04/26,5.974,6.081,6.0995,5.9315,55.31K,-1.73%
27/04/26,6.079,6.0925,6.137,6.05,41.85K,-0.16%
24/04/26,6.0885,6.086,6.1085,6.0445,32.87K,-0.88%
23/04/26,6.1425,6.199,6.2085,6.07,31.11K,-0.75%
22/04/26,6.189,6.087,6.2115,6.069,27.16K,1.94%
21/04/26,6.0715,6.1065,6.133,6.0295,21.87K,-0.57%
20/04/26,6.1065,6.0995,6.1555,6.0335,27.06K,-0.13%
17/04/26,6.1145,6.037,6.127,6.018,39.40K,0.63%
16/04/26,6.0765,6.0755,6.132,6.028,36.48K,-0.14%
15/04/26,6.085,6.082,6.148,6.063,36.92K,0.02%
14/04/26,6.0835,6.0035,6.0955,5.9965,61.34K,1.55%
13/04/26,5.9905,5.8175,6.0245,5.764,68.93K,1.78%
10/04/26,5.886,5.7555,5.936,5.7375,65.86K,2.11%
09/04/26,5.7645,5.746,5.778,5.6915,45.52K,-0.22%
08/04/26,5.777,5.6025,5.786,5.6025,80.97K,3.85%
07/04/26,5.563,5.611,5.641,5.5385,35.69K,-0.68%
06/04/26,5.601,5.6625,5.697,5.574,24.74K,0.31%
03/04/26,5.5835,5.626,5.727,5.513,,0.00%
02/04/26,5.5835,5.626,5.727,5.513,46.46K,-1.12%
01/04/26,5.6465,5.648,5.663,5.5845,47.71K,0.58%
31/03/26,5.614,5.4865,5.654,5.4645,54.33K,2.04%
30/03/26,5.502,5.4575,5.5415,5.405,36.96K,0.61%
27/03/26,5.4685,5.465,5.5265,5.435,4.01K,0.33%
26/03/26,5.4505,5.502,5.5105,5.43,1.75K,-1.51%
25/03/26,5.534,5.5075,5.564,5.4775,1.53K,1.94%
24/03/26,5.4285,5.464,5.4985,5.343,1.87K,-0.33%
23/03/26,5.4465,5.27,5.55,5.2535,1.10K,1.34%
20/03/26,5.3745,5.525,5.565,5.271,53.72K,-1.73%
19/03/26,5.469,5.4885,5.555,5.297,79.58K,-2.23%
18/03/26,5.594,5.777,5.7785,5.46,63.36K,-3.00%
17/03/26,5.767,5.845,5.854,5.737,29.29K,-1.11%
16/03/26,5.8315,5.68,5.86,5.656,41.51K,1.29%
13/03/26,5.757,5.8265,5.8565,5.659,37.32K,-1.89%
12/03/26,5.868,5.919,5.919,5.808,31.92K,-0.40%
11/03/26,5.8915,5.9255,5.943,5.8345,32.12K,-1.02%
10/03/26,5.952,5.9065,5.962,5.8625,38.64K,1.77%
09/03/26,5.8485,5.83,5.9055,5.6395,61.25K,0.71%
06/03/26,5.807,5.829,5.8815,5.779,40.17K,0.04%
05/03/26,5.8045,5.9095,5.9535,5.775,49.27K,-1.74%
04/03/26,5.9075,5.843,5.9665,5.812,41.93K,1.40%
03/03/26,5.826,5.9615,6.0125,5.747,68.40K,-2.05%
02/03/26,5.948,6.015,6.0955,5.9275,48.68K,-1.84%
27/02/26,6.0595,6.029,6.141,5.9975,46.17K,0.91%
26/02/26,6.005,6.0475,6.0605,5.964,43.88K,-0.17%
25/02/26,6.0155,5.929,6.03,5.9245,2.17K,0.91%
24/02/26,5.961,5.8305,5.966,5.8265,2.38K,2.59%
23/02/26,5.8105,5.9125,5.9315,5.792,1.60K,-1.51%
20/02/26,5.8995,5.8155,5.9375,5.7915,41.26K,1.74%
19/02/26,5.7985,5.8385,5.8715,5.7395,22.21K,-1.10%
18/02/26,5.863,5.7365,5.8705,5.7285,23.93K,2.79%
17/02/26,5.704,5.839,5.862,5.6895,39.47K,-0.96%
16/02/26,5.7593,5.7775,5.8,5.737,11.35K,-0.32%
15/02/26,5.7778,5.7835,5.7838,5.753,,-0.43%
13/02/26,5.803,5.7695,5.849,5.6775,68.16K,0.30%
12/02/26,5.7855,5.986,6.023,5.7545,66.50K,-3.02%
11/02/26,5.9655,5.9085,6.088,5.893,72.88K,0.88%
10/02/26,5.9135,5.9585,5.9615,5.8825,41.49K,-0.82%
09/02/26,5.9625,5.9,5.981,5.8435,49.26K,1.37%
06/02/26,5.882,5.732,5.891,5.5955,63.95K,1.05%
05/02/26,5.821,5.936,5.964,5.685,61.61K,-0.50%
04/02/26,5.85,6.1,6.1155,5.832,65.56K,-3.89%
03/02/26,6.0865,5.8395,6.115,5.83,78.32K,4.48%
02/02/26,5.8255,5.905,5.905,5.564,107.34K,-1.66%
30/01/26,5.924,6.2845,6.387,5.76,149.30K,-4.51%
29/01/26,6.2035,5.997,6.583,5.955,197.66K,5.18%
28/01/26,5.898,5.9245,5.973,5.8785,1.68K,1.11%
27/01/26,5.8335,5.8905,5.9225,5.7835,4.62K,-2.63%
26/01/26,5.991,5.922,6.004,5.8685,0.91K,0.73%
23/01/26,5.9475,5.8055,5.967,5.7865,54.75K,2.92%
22/01/26,5.779,5.81,5.8185,5.696,48.18K,0.19%
