Fecha,Cierre,,,,,,,,,,,,,,
01/01/18,247.867,,,,,,,,,,,,,,
01/02/18,248.991,,,,,,,,,,,,,,
01/03/18,249.554,,,,,,,,,,,,,,
01/04/18,250.546,,,,,,,,,,,,,,
01/05/18,251.588,,,,,,,,,,,,,,
01/06/18,251.989,,,,,,,,,,,,,,
01/07/18,252.006,,,,,,,,,,,,,,
01/08/18,252.146,,,,,,,,,,,,,,
01/09/18,252.439,,,,,,,,,,,,,,
01/10/18,252.885,,,,,,,,,,,,,,
01/11/18,252.038,,,,,,,,,,,,,,
01/12/18,251.233,,,,,,,,,,,,,,
01/01/19,251.712,,,,,,,,,,,,,,
01/02/19,252.776,,,,,,,,,,,,,,
01/03/19,254.202,,,,,,,,,,,,,,
01/04/19,255.548,,,,,,,,,,,,,,
01/05/19,256.092,,,,,,,,,,,,,,
01/06/19,256.143,,,,,,,,,,,,,,
01/07/19,256.571,,,,,,,,,,,,,,
01/08/19,256.558,,,,,,,,,,,,,,
01/09/19,256.759,,,,,,,,,,,,,,
01/10/19,257.346,,,,,,,,,,,,,,
01/11/19,257.208,,,,,,,,,,,,,,
01/12/19,256.974,,,,,,,,,,,,,,
01/01/20,257.971,,,,,,,,,,,,,,
01/02/20,258.678,,,,,,,,,,,,,,
01/03/20,258.115,,,,,,,,,,,,,,
01/04/20,256.389,,,,,,,,,,,,,,
01/05/20,256.394,,,,,,,,,,,,,,
01/06/20,257.797,,,,,,,,,,,,,,
01/07/20,259.101,,,,,,,,,,,,,,
01/08/20,259.918,,,,,,,,,,,,,,
01/09/20,260.280,,,,,,,,,,,,,,
01/10/20,260.388,,,,,,,,,,,,,,
01/11/20,260.229,,,,,,,,,,,,,,
01/12/20,260.474,,,,,,,,,,,,,,
01/01/21,261.582,,,,,,,,,,,,,,
01/02/21,263.014,,,,,,,,,,,,,,
01/03/21,264.877,,,,,,,,,,,,,,
01/04/21,267.054,,,,,,,,,,,,,,
01/05/21,269.195,,,,,,,,,,,,,,
01/06/21,271.696,,,,,,,,,,,,,,
01/07/21,273.003,,,,,,,,,,,,,,
01/08/21,273.567,,,,,,,,,,,,,,
01/09/21,274.310,,,,,,,,,,,,,,
01/10/21,276.589,,,,,,,,,,,,,,
01/11/21,277.948,,,,,,,,,,,,,,
01/12/21,278.802,,,,,,,,,,,,,,
01/01/22,281.148,,,,,,,,,,,,,,
01/02/22,283.716,,,,,,,,,,,,,,
01/03/22,287.504,,,,,,,,,,,,,,
01/04/22,289.109,,,,,,,,,,,,,,
01/05/22,292.296,,,,,,,,,,,,,,
01/06/22,296.311,,,,,,,,,,,,,,
01/07/22,296.276,,,,,,,,,,,,,,
01/08/22,296.171,,,,,,,,,,,,,,
01/09/22,296.808,,,,,,,,,,,,,,
01/10/22,298.012,,,,,,,,,,,,,,
01/11/22,297.711,,,,,,,,,,,,,,
01/12/22,296.797,,,,,,,,,,,,,,
01/01/23,299.170,,,,,,,,,,,,,,
01/02/23,300.840,,,,,,,,,,,,,,
01/03/23,301.836,,,,,,,,,,,,,,
01/04/23,303.363,,,,,,,,,,,,,,
01/05/23,304.127,,,,,,,,,,,,,,
01/06/23,305.109,,,,,,,,,,,,,,
01/07/23,305.691,,,,,,,,,,,,,,
01/08/23,307.026,,,,,,,,,,,,,,
01/09/23,307.789,,,,,,,,,,,,,,
01/10/23,307.671,,,,,,,,,,,,,,
01/11/23,307.051,,,,,,,,,,,,,,
01/12/23,306.746,,,,,,,,,,,,,,
01/01/24,308.417,,,,,,,,,,,,,,
01/02/24,310.326,,,,,,,,,,,,,,
01/03/24,312.332,,,,,,,,,,,,,,
01/04/24,313.548,,,,,,,,,,,,,,
01/05/24,314.069,,,,,,,,,,,,,,
01/06/24,314.175,,,,,,,,,,,,,,
01/07/24,314.540,,,,,,,,,,,,,,
01/08/24,314.796,,,,,,,,,,,,,,
01/09/24,315.301,,,,,,,,,,,,,,
01/10/24,315.664,,,,,,,,,,,,,,
01/11/24,315.493,,,,,,,,,,,,,,
01/12/24,315.605,,,,,,,,,,,,,,
01/01/25,317.671,,,,,,,,,,,,,,
01/02/25,319.082,,,,,,,,,,,,,,
01/03/25,319.799,,,,,,,,,,,,,,
01/04/25,320.795,,,,,,,,,,,,,,
01/05/25,321.465,,,,,,,,,,,,,,
01/06/25,322.561,,,,,,,,,,,,,,
01/07/25,323.048,,,,,,,,,,,,,,
01/08/25,323.976,,,,,,,,,,,,,,
01/09/25,324.800,,,,,,,,,,,,,,
01/10/25,325.604,,,,,,,,,,,,,,
01/11/25,324.122,,,,,,,,,,,,,,
01/12/25,324.054,,,,,,,,,,,,,,
01/01/26,325.252,,,,,,,,,,,,,,
01/02/26,326.785,,,,,,,,,,,,,,
01/03/26,330.213,,,,,,,,,,,,,,
