Fecha,Cierre,Apertura,Máximo,Mínimo,Vol.,% var.
14/05/26,186,193,197,185,7.00M,-3.79%
13/05/26,193.19,192.5,195.89,191.57,5.36M,0.57%
12/05/26,192.1,192.33,193.19,190.02,4.04M,-0.03%
11/05/26,192.15,192.04,195.32,191.82,3.20M,-0.44%
08/05/26,193,195.48,195.58,192.76,4.43M,-0.95%
07/05/26,194.85,192.85,197.01,192.01,7.31M,0.79%
06/05/26,193.33,191.48,193.51,189.18,5.09M,2.22%
05/05/26,189.13,190.05,190.46,188.53,6.17M,-0.21%
04/05/26,189.53,190.98,192.61,189.01,4.18M,-0.08%
30/04/26,189.68,189,193,188.5,5.84M,-0.19%
29/04/26,190.04,192.45,192.61,188.39,5.63M,-1.22%
28/04/26,192.38,191.01,193.36,190.41,4.34M,0.24%
27/04/26,191.92,194.81,194.81,191.5,6.45M,-1.39%
24/04/26,194.62,193.59,197.44,193.33,3.74M,0.65%
23/04/26,193.37,195,196.93,192.51,5.78M,-0.71%
22/04/26,194.76,196.31,197.27,194.01,5.27M,-0.73%
21/04/26,196.19,200.89,200.9,195,5.48M,-2.01%
20/04/26,200.21,196.29,201.5,194.24,6.01M,2.61%
17/04/26,195.11,198.09,198.98,193.01,6.07M,-0.96%
16/04/26,197,197.51,198.74,194.87,9.11M,-0.57%
15/04/26,198.12,196.29,198.7,194.01,7.39M,1.19%
14/04/26,195.79,196.99,199.02,194.25,10.16M,-0.29%
13/04/26,196.36,198.95,199.5,196.01,10.21M,-1.30%
10/04/26,198.95,200.99,202.92,198.13,7.70M,-0.71%
09/04/26,200.37,200.13,203.28,198.4,9.30M,-0.22%
08/04/26,200.81,200.19,205.24,200.06,5.84M,1.44%
07/04/26,197.95,198.61,200.83,196.64,6.03M,-0.87%
06/04/26,199.69,202.19,202.5,198.51,1.76M,-0.96%
01/04/26,201.62,198.99,203,198.28,5.71M,1.43%
31/03/26,198.78,192.69,201.48,191.06,8.70M,3.63%
30/03/26,191.81,190.02,193.32,190.02,3.62M,1.00%
27/03/26,189.91,191.89,193.49,189.21,4.76M,-0.66%
26/03/26,191.17,194.41,194.81,191,5.93M,-2.43%
25/03/26,195.93,189.65,199.74,188.01,7.56M,3.39%
24/03/26,189.5,185.17,190.13,184.4,7.20M,2.09%
23/03/26,185.62,185,188.43,184.46,3.67M,0.76%
20/03/26,184.22,187.81,189.28,183.67,14.50M,-2.87%
19/03/26,189.66,191.21,191.68,186.89,3.50M,-1.15%
18/03/26,191.86,192.49,194,190.65,5.13M,-0.19%
17/03/26,192.23,190,194.76,189.12,5.38M,1.70%
13/03/26,189.02,188.28,191.79,187.4,5.61M,0.60%
12/03/26,187.9,193.19,194.88,187.51,4.95M,-3.27%
11/03/26,194.25,193.24,196.43,192.71,5.70M,-0.12%
10/03/26,194.49,189.3,196.5,189.3,7.78M,2.76%
09/03/26,189.27,190,191.39,184.74,5.32M,-0.39%
06/03/26,190.01,191.42,193.38,188.4,5.79M,-1.49%
05/03/26,192.88,195.41,197.98,191.24,6.05M,-2.29%
04/03/26,197.41,188.49,197.89,188.49,8.43M,4.21%
03/03/26,189.44,190.91,191.01,181.61,7.07M,-0.83%
02/03/26,191.03,195.2,195.4,190.01,5.63M,-2.73%
27/02/26,196.39,197.41,198.91,193.81,12.41M,-1.23%
26/02/26,198.83,197.31,200,197.31,6.67M,-0.02%
25/02/26,198.87,200.29,200.54,196.43,6.78M,-0.47%
24/02/26,199.8,198.61,200.5,197.68,10.43M,0.46%
23/02/26,198.88,199.1,201.55,196.84,8.83M,-0.56%
20/02/26,200,199.5,201.93,199.23,4.49M,-0.17%
19/02/26,200.34,201.41,202.89,199.69,6.07M,-0.71%
18/02/26,201.78,203.7,204.59,201.41,7.04M,-0.94%
17/02/26,203.7,202.75,204.22,199.81,2.97M,0.77%
16/02/26,202.14,203.84,205.12,201.78,500.79K,-1.33%
13/02/26,204.87,202.39,205.49,199.61,4.14M,1.75%
12/02/26,201.35,203.99,206.96,198.91,7.61M,-1.02%
11/02/26,203.43,209.19,209.19,200.59,7.18M,-2.25%
10/02/26,208.11,207.5,210,207.34,6.78M,0.47%
09/02/26,207.13,209.1,209.64,206.13,6.28M,-0.78%
06/02/26,208.76,200.21,209.66,200.21,7.15M,4.08%
05/02/26,200.58,200.18,201.29,195.49,5.68M,0.41%
04/02/26,199.76,205.95,209.65,198.1,7.48M,-3.04%
03/02/26,206.02,198.79,207.49,195.09,10.76M,4.28%
30/01/26,197.57,203.01,204,196.61,9.81M,-3.55%
29/01/26,204.85,199.84,205.79,198.45,12.78M,2.51%
28/01/26,199.84,190.7,199.99,189.43,9.50M,5.14%
27/01/26,190.07,186.3,191.69,185.61,6.69M,1.31%
26/01/26,187.62,186.89,188.08,185,5.10M,0.72%
23/01/26,186.27,185.88,187.01,182.09,5.61M,0.23%
22/01/26,185.84,185.88,188.89,183.61,6.85M,-0.52%
21/01/26,186.82,182.98,189.53,182.92,7.88M,2.06%
20/01/26,183.05,181.38,183.69,180.21,5.80M,0.41%
19/01/26,182.3,183.8,183.8,180.81,1.28M,-0.82%
16/01/26,183.8,179.76,185.09,179.76,8.45M,2.09%
15/01/26,180.04,179.5,182.58,177.38,8.89M,0.78%
14/01/26,178.64,170.19,179,169.01,8.45M,5.18%
13/01/26,169.84,169,170.29,168.2,10.11M,0.55%
12/01/26,168.91,169.5,169.81,168.01,6.14M,-0.08%
09/01/26,169.05,169.58,169.86,166.61,8.23M,0.11%
08/01/26,168.86,168.89,171.44,167,7.65M,-0.35%
07/01/26,169.46,169.61,172.78,168.18,4.80M,-0.44%
06/01/26,170.21,174.48,174.74,169.87,4.90M,-2.05%
05/01/26,173.78,171.99,174.5,171.2,4.37M,1.53%
02/01/26,171.16,167.77,172.25,167.77,7.15M,2.53%
31/12/25,166.94,167.38,168.31,166.21,1.81M,-0.04%
30/12/25,167,171.41,171.41,166.38,3.05M,-2.35%
29/12/25,171.02,172.56,172.59,170.81,1.74M,-0.40%
26/12/25,171.71,171.68,172.69,171.01,708.30K,-0.17%
24/12/25,172,170.77,172.48,169.62,568.66K,0.94%
23/12/25,170.4,169.61,171.35,168.5,3.60M,0.35%
22/12/25,169.8,168.91,170.39,167.39,4.72M,0.53%
19/12/25,168.91,169.59,171,168.01,22.12M,-0.40%
18/12/25,169.59,164.91,170.15,164,5.45M,3.13%
17/12/25,164.44,167.89,168.09,164,6.83M,-1.45%
16/12/25,166.86,175.39,175.39,166.18,6.49M,-4.37%
15/12/25,174.49,175.39,177.23,174.01,5.26M,-0.31%
11/12/25,175.03,169.35,175.56,169.35,5.87M,3.42%
10/12/25,169.25,169.5,172.19,169.02,4.23M,-0.85%
09/12/25,170.7,169.96,172.87,168.75,10.66M,0.93%
08/12/25,169.12,174.01,174.18,168.41,5.89M,-3.39%
05/12/25,175.06,174.81,176.89,174.01,5.95M,0.14%
04/12/25,174.81,174.41,176.63,173.14,6.86M,-0.69%
03/12/25,176.02,177.3,178.76,174.99,8.35M,-0.71%
02/12/25,177.27,176.44,178.18,174.84,8.94M,0.78%
01/12/25,175.9,174.04,176.86,173.8,6.22M,0.52%
28/11/25,174.99,176,177.39,173.01,3.05M,-0.66%
27/11/25,176.15,177.24,177.94,174.65,1.19M,-0.31%
26/11/25,176.7,176.23,178.81,175.84,6.19M,-0.11%
25/11/25,176.89,171.8,177.27,171.8,7.89M,2.60%
24/11/25,172.4,172.86,174.29,171.81,12.72M,-0.27%
21/11/25,172.86,175.99,176.19,171.48,5.16M,-1.60%
20/11/25,175.67,173.55,176.47,173.46,3.75M,1.27%
19/11/25,173.47,172.65,173.99,172,3.31M,0.48%
18/11/25,172.64,174.44,175.88,171,5.51M,-1.39%
14/11/25,175.08,174.35,178.41,174.02,4.68M,-0.27%
13/11/25,175.55,178.89,179.48,174.02,4.80M,-1.84%
12/11/25,178.84,184.25,185.18,177.61,7.08M,-3.42%
11/11/25,185.18,179.22,186.44,178.03,8.22M,3.30%
10/11/25,179.26,178.3,179.8,177.3,6.35M,0.77%
07/11/25,177.89,177.5,179.32,176.43,4.21M,0.45%
06/11/25,177.1,177.19,178.81,175.25,5.04M,0.29%
05/11/25,176.59,176.01,179.1,172.88,9.55M,-0.55%
04/11/25,177.57,173.01,177.93,172.88,4.36M,1.91%
03/11/25,174.25,174.85,174.85,172.6,2.49M,-0.34%
31/10/25,174.85,173.18,175.37,172.3,7.41M,0.96%
30/10/25,173.18,171.01,175.35,171.01,5.79M,-1.03%
29/10/25,174.99,173.46,175.47,172.5,4.24M,1.01%
28/10/25,173.24,170.62,173.89,170.62,8.02M,0.52%
27/10/25,172.35,173.98,174,171.88,5.25M,0.53%
24/10/25,171.44,174.95,174.95,170.45,6.88M,-0.22%
23/10/25,171.82,171.43,173.37,170.66,6.10M,-0.56%
22/10/25,172.79,172.99,173.96,171.36,10.00M,-0.22%
21/10/25,173.17,170.39,175,170.39,5.94M,1.14%
20/10/25,171.21,174.79,174.79,169.5,4.85M,-1.06%
17/10/25,173.04,176.69,178.1,169.14,4.31M,-2.82%
16/10/25,178.07,175.01,179.5,175.01,4.43M,1.03%
15/10/25,176.26,173.89,177.42,172.2,28.77M,1.70%
14/10/25,173.31,176.12,177.36,172.7,4.88M,-2.06%
13/10/25,176.96,175.01,177.15,174,5.04M,1.28%
10/10/25,174.73,177.55,177.8,174.14,4.00M,-1.32%
09/10/25,177.07,177.1,177.99,174.91,7.50M,0.12%
08/10/25,176.85,175.08,177.19,174.21,7.33M,1.04%
07/10/25,175.03,174.01,178.5,174.01,5.19M,-0.26%
06/10/25,175.48,179.21,180.5,174.12,7.27M,-2.58%
03/10/25,180.12,181.69,182.2,179.21,3.84M,-0.39%
02/10/25,180.82,182.58,183.46,180,3.93M,-0.80%
01/10/25,182.27,184.11,185.07,179.3,5.40M,-1.20%
30/09/25,184.48,181.39,186,177.81,7.45M,1.97%
29/09/25,180.92,179.36,182.88,179.34,4.09M,0.56%
26/09/25,179.91,175.99,182.43,174.23,5.41M,2.70%
25/09/25,175.18,179.01,179.13,175.01,7.79M,-2.67%
24/09/25,179.98,182.5,185.39,179.45,6.23M,-1.83%
23/09/25,183.34,183.01,185.68,182.67,4.90M,-0.59%
22/09/25,184.43,182.09,184.9,180.49,2.93M,1.67%
19/09/25,181.4,183.99,183.99,180,18.25M,-1.41%
18/09/25,183.99,186.02,186.12,182.36,7.37M,-1.38%
17/09/25,186.57,185,187.29,183.19,11.44M,0.91%
15/09/25,184.89,182.26,185.48,181.41,4.79M,1.59%
12/09/25,182,179.12,182.45,179.01,3.42M,1.03%
11/09/25,180.14,176.88,182,176.23,7.02M,2.39%
10/09/25,175.93,174.4,178.99,174.4,5.54M,0.43%
09/09/25,175.17,173.83,176.43,172.11,5.16M,0.96%
08/09/25,173.51,176.19,176.29,173.01,4.12M,-1.21%
05/09/25,175.63,173.49,177.69,172.28,4.71M,1.85%
04/09/25,172.44,172.09,172.74,170,2.97M,-0.19%
03/09/25,172.76,174.16,175.75,171.91,7.81M,-0.80%
02/09/25,174.16,168.99,174.44,168.52,10.27M,3.21%
01/09/25,168.74,170.05,170.67,167.1,979.99K,-1.15%
29/08/25,170.7,170.69,171.28,167.55,6.98M,-0.52%
28/08/25,171.59,168.99,172.99,167.72,8.82M,1.89%
27/08/25,168.41,165.46,169.21,164,4.37M,1.35%
26/08/25,166.17,165.85,166.98,163.33,9.93M,-0.03%
25/08/25,166.22,169.25,169.25,165.54,3.26M,-1.79%
22/08/25,169.25,165.15,170.33,165.15,2.48M,2.02%
21/08/25,165.9,165.99,167.37,163.61,5.29M,0.47%
20/08/25,165.13,166.28,167.17,163.21,4.72M,-0.99%
19/08/25,166.78,165.9,167.58,165.2,5.00M,0.77%
18/08/25,165.5,167.79,167.87,165.01,2.89M,-0.92%
15/08/25,167.03,167.96,169.21,166.8,1.65M,-0.72%
14/08/25,168.24,167.42,169.83,166.41,2.88M,-0.23%
13/08/25,168.62,170.48,170.48,167.82,4.61M,-0.73%
12/08/25,169.86,168.01,170.56,168.01,6.57M,0.27%
11/08/25,169.4,169.09,170.61,168.25,3.57M,0.59%
08/08/25,168.4,167.89,169.84,166.01,3.05M,0.75%
07/08/25,167.14,167.01,168.51,165.41,8.00M,-0.55%
06/08/25,168.07,167.01,170.9,167.01,3.55M,-0.20%
05/08/25,168.41,164.71,169.03,164.71,3.45M,2.45%
04/08/25,164.38,164.28,166.25,163.21,2.99M,-0.45%
01/08/25,165.12,168.89,168.89,164.51,5.69M,-1.78%
31/07/25,168.12,168,169.49,166.01,4.73M,0.38%
30/07/25,167.49,165.56,169.3,163.61,6.07M,1.01%
29/07/25,165.82,164.88,166.66,160,3.56M,0.84%
28/07/25,164.44,166.66,168.36,162.81,5.61M,-2.05%
25/07/25,167.88,168.65,169.99,166.61,3.36M,-1.07%
24/07/25,169.7,165.32,170.43,164.97,6.90M,2.82%
23/07/25,165.04,160.33,165.4,159.67,9.77M,3.44%
22/07/25,159.55,159.86,160.53,155.5,7.40M,-0.19%
21/07/25,159.86,161.72,162.49,159.52,6.07M,-0.87%
18/07/25,161.27,163.49,164.19,161.01,4.57M,-1.06%
17/07/25,162.99,164.76,167.2,162.75,6.48M,-1.08%
16/07/25,164.77,163.22,165.22,162.51,5.47M,0.95%
15/07/25,163.22,161.69,163.7,161.31,6.24M,1.42%
14/07/25,160.93,163,163.32,160.61,6.41M,-1.14%
11/07/25,162.79,165.82,166.35,161.68,7.42M,-1.83%
10/07/25,165.82,171.17,172.03,165.54,7.39M,-3.80%
09/07/25,172.37,174.17,175.21,171.62,3.25M,-1.23%
08/07/25,174.51,172.01,174.83,170.41,3.68M,0.74%
07/07/25,173.22,173,174.99,171.61,3.81M,0.41%
04/07/25,172.51,173.89,174.49,171.97,814.97K,-0.40%
03/07/25,173.2,173.92,177.5,171.06,4.02M,-1.06%
02/07/25,175.05,173.09,175.82,172.74,6.34M,1.55%
01/07/25,172.38,171.52,173.08,170.15,4.45M,0.50%
30/06/25,171.52,173.02,176.49,170.21,5.78M,-1.89%
27/06/25,174.82,174.38,176.79,173.5,5.71M,0.76%
26/06/25,173.5,174.2,174.94,170.3,6.20M,-0.38%
25/06/25,174.16,171.25,174.86,171.14,4.34M,1.63%
24/06/25,171.36,166.9,172.4,166.9,3.61M,2.41%
23/06/25,167.33,167,169.23,165,5.40M,-1.13%
20/06/25,169.24,168.96,170.08,167.5,19.11M,0.15%
19/06/25,168.98,170.58,173,168.21,1.10M,-0.61%
18/06/25,170.02,170.48,171.79,169.12,4.47M,0.16%
17/06/25,169.75,170.6,172.47,169.01,3.23M,-0.45%
16/06/25,170.51,174.01,175.3,170.01,5.76M,-1.79%
13/06/25,173.61,175.49,175.5,171.01,5.25M,-0.78%
12/06/25,174.98,173.09,175.86,172.1,4.62M,1.31%
11/06/25,172.71,175.39,178.39,172.18,5.10M,-1.22%
10/06/25,174.84,172.88,175.01,172.81,4.33M,0.63%
09/06/25,173.75,172.63,174.99,172.63,2.50M,0.18%
06/06/25,173.44,170.83,174,168.81,5.33M,1.53%
05/06/25,170.83,171.25,172.29,170.04,5.26M,-0.31%
04/06/25,171.36,172.69,173.81,170.85,4.56M,-0.41%
03/06/25,172.07,171.05,173.48,171.04,5.45M,-0.16%
02/06/25,172.34,172.1,174.84,171.18,7.57M,0.51%
30/05/25,171.46,175.41,175.7,170.77,21.15M,-2.46%
29/05/25,175.79,177.06,178.09,175.26,9.70M,-0.55%
28/05/25,176.77,176.2,177.71,175.01,7.88M,0.63%
27/05/25,175.67,172.26,179.93,172.26,8.48M,1.98%
26/05/25,172.26,172.02,172.89,169.01,750.88K,-0.67%
23/05/25,173.43,170,173.79,165.08,5.72M,1.37%
22/05/25,171.08,170.45,172,169.61,5.33M,0.16%
21/05/25,170.81,172.56,173.21,169,7.33M,-1.28%
20/05/25,173.03,177,178.09,172.51,9.13M,-2.29%
19/05/25,177.08,173.98,180.82,173.98,6.33M,1.43%
16/05/25,174.58,174.5,175.5,172.76,6.78M,0.11%
15/05/25,174.38,171,174.98,168.81,7.59M,2.27%
14/05/25,170.51,168.6,171.38,167.41,6.76M,0.63%
13/05/25,169.45,164.59,170.49,163.74,9.79M,3.20%
12/05/25,164.2,162.89,166.7,161.5,7.28M,1.48%
09/05/25,161.81,161.82,166.5,161,9.18M,-0.20%
08/05/25,162.13,169.79,173.01,161.5,9.12M,-4.09%
07/05/25,169.04,169.05,173.96,167.81,9.27M,-0.18%
06/05/25,169.34,162.39,170.01,160.86,7.59M,4.59%
05/05/25,161.91,163.58,163.67,160.23,3.84M,-1.08%
02/05/25,163.67,163,164.97,158.62,8.10M,-2.88%
30/04/25,168.52,165.99,168.99,163.41,12.28M,1.93%
29/04/25,165.33,167.5,169.18,164.14,9.74M,-1.12%
28/04/25,167.2,164.29,170,163.13,9.18M,2.11%
25/04/25,163.75,161.49,164.26,159.28,7.32M,1.78%
24/04/25,160.88,159.79,162.79,159.32,7.66M,0.68%
23/04/25,159.79,157.26,166.2,157.06,11.37M,1.61%
22/04/25,157.26,150.99,158.5,150.08,7.15M,4.47%
21/04/25,150.53,147.99,151.2,147.94,5.16M,2.26%
16/04/25,147.21,148.25,148.88,146.36,7.39M,-0.57%
15/04/25,148.05,144.98,150.48,144.98,5.45M,2.12%
14/04/25,144.98,142.5,146.01,142.5,2.48M,2.37%
11/04/25,141.62,144.39,148,141.3,6.78M,-2.46%
10/04/25,145.19,149.01,149.99,144.01,7.67M,-3.48%
09/04/25,150.42,138.16,151.62,135.95,12.20M,8.87%
08/04/25,138.16,137,140.31,137,7.53M,1.59%
07/04/25,136,143.91,143.91,134.61,6.56M,-5.51%
04/04/25,143.93,153.01,153.03,141.07,7.05M,-6.79%
03/04/25,154.41,144.28,156.08,144,12.78M,6.48%
02/04/25,145.01,144.1,145.86,143.04,4.44M,0.41%
01/04/25,144.42,142.49,145.31,141.11,5.37M,1.75%
31/03/25,141.93,146,146,141.61,6.56M,-2.73%
28/03/25,145.91,146.02,147.34,144.41,3.96M,-0.95%
27/03/25,147.31,144.35,147.7,144.33,7.94M,2.08%
26/03/25,144.31,147.36,148.99,143.86,6.14M,-2.33%
25/03/25,147.76,149.37,150.79,146.87,4.70M,-1.08%
24/03/25,149.37,151.2,151.3,149,5.00M,-1.09%
21/03/25,151.01,150.8,151.35,148.21,16.66M,0.46%
20/03/25,150.32,150.08,150.81,148.41,3.83M,0.58%
19/03/25,149.45,149.07,150.44,147.41,7.15M,0.34%
18/03/25,148.94,147.34,151,145.01,8.13M,1.58%
14/03/25,146.63,145.32,149.75,145.32,8.82M,0.96%
13/03/25,145.24,144.96,148.24,142.31,6.93M,-0.58%
12/03/25,146.08,144.29,146.99,143.14,7.92M,1.79%
11/03/25,143.51,142.99,145.11,141.89,5.44M,0.77%
10/03/25,142.41,147.67,147.88,141.81,8.01M,-3.78%
07/03/25,148.01,147.62,148.33,143.78,6.02M,0.77%
06/03/25,146.88,147.77,150.76,145.56,6.88M,-0.60%
05/03/25,147.77,149.58,149.58,145.86,7.08M,-1.41%
04/03/25,149.88,146.75,151.02,141.25,6.92M,1.88%
03/03/25,147.11,145.49,150.97,144.98,5.17M,1.57%
28/02/25,144.84,146.24,148,144.23,24.58M,-1.65%
27/02/25,147.27,151.79,151.79,144.56,7.85M,-2.51%
26/02/25,151.06,147.01,153.4,147.01,9.28M,2.39%
25/02/25,147.54,150.73,152.04,147.03,11.36M,-2.59%
24/02/25,151.46,153.48,153.59,151.01,4.39M,-0.90%
21/02/25,152.83,155.1,155.99,152.17,3.51M,-1.46%
20/02/25,155.1,155.8,156.7,154.11,8.50M,-0.39%
19/02/25,155.7,157.39,157.49,154.61,5.52M,-0.80%
18/02/25,156.95,153.29,157.39,153,7.33M,2.89%
17/02/25,152.54,150,154.97,150,1.22M,0.57%
14/02/25,151.67,149.46,152.85,148.18,4.10M,1.34%
13/02/25,149.67,149.39,150.4,148.08,7.55M,0.23%
12/02/25,149.32,147.5,150.72,147.01,7.79M,-0.75%
11/02/25,150.45,148.47,152.12,146.24,5.60M,1.79%
10/02/25,147.8,147.15,148.7,145.03,4.68M,0.67%
07/02/25,146.81,146.38,148.29,146,6.69M,0.23%
06/02/25,146.48,145.64,147.05,143.17,6.14M,0.69%
05/02/25,145.47,148.2,149.69,145,12.80M,-1.49%
04/02/25,147.67,144,148.15,143.51,14.51M,3.12%
31/01/25,143.2,145.97,146.35,142.81,9.48M,-2.39%
30/01/25,146.71,146.29,148.99,146.27,5.04M,0.56%
29/01/25,145.89,148,148,145.21,6.12M,-1.36%
28/01/25,147.9,150,150.59,146.88,4.79M,-1.14%
27/01/25,149.6,147.01,150.54,146.61,5.54M,0.75%
24/01/25,148.48,147.98,149,146.01,4.57M,-0.17%
23/01/25,148.73,145.57,150,145.02,7.68M,1.90%
22/01/25,145.95,144.99,146.36,143.4,14.50M,1.21%
21/01/25,144.21,146.07,146.68,143.81,6.52M,-1.27%
20/01/25,146.07,144.39,146.88,143.35,4.06M,1.51%
17/01/25,143.9,144.09,144.41,143.31,4.61M,0.22%
16/01/25,143.59,146.78,147.06,142.02,8.25M,-2.03%
15/01/25,146.57,144.3,147.25,143.28,9.15M,1.97%
14/01/25,143.74,142.29,145.36,141.7,11.72M,1.36%
13/01/25,141.81,139.6,142.65,138.81,5.01M,1.54%
10/01/25,139.66,139.6,140.45,138.25,5.65M,-0.49%
09/01/25,140.35,140.41,143.6,139.63,2.92M,0.16%
08/01/25,140.13,141.59,141.59,139.14,6.61M,-0.73%
07/01/25,141.16,142.95,143.89,140.73,5.36M,-1.25%
06/01/25,142.94,138.29,144.47,137.93,9.06M,4.11%
03/01/25,137.3,136.24,139,135.51,5.03M,0.27%
02/01/25,136.93,134.79,138.32,134.77,3.53M,2.21%
31/12/24,133.97,133.5,134.79,133.5,1.90M,0.39%
30/12/24,133.45,134.8,135.99,133.08,3.06M,-0.92%
27/12/24,134.69,136.75,138.48,133.9,2.65M,-1.58%
26/12/24,136.85,136.35,137.09,136.01,683.06K,0.86%
24/12/24,135.68,137,138,135.26,942.20K,-1.55%
23/12/24,137.81,137.29,138.08,135.61,2.26M,0.38%
20/12/24,137.29,132,138.5,131.78,25.32M,4.01%
19/12/24,132,135.36,136.79,131.6,7.38M,-2.52%
18/12/24,135.41,135.69,138.12,133.5,5.74M,0.21%
17/12/24,135.13,139.4,139.48,134.65,5.98M,-4.25%
16/12/24,141.13,143.36,143.36,140.52,7.70M,-1.51%
13/12/24,143.3,138.01,144.75,138.01,8.05M,2.42%
11/12/24,139.92,139,140.69,138.51,6.63M,0.63%
10/12/24,139.05,142.1,143.69,138.8,6.94M,-2.44%
09/12/24,142.53,142.89,146.52,142.18,6.69M,0.20%
06/12/24,142.25,139.25,143.95,139.11,5.99M,1.35%
05/12/24,140.35,142.05,142.49,139.69,6.97M,-1.51%
04/12/24,142.5,141.79,143.9,141.5,6.75M,0.51%
03/12/24,141.78,138,143.77,137.21,8.44M,3.30%
02/12/24,137.25,135.38,137.65,134.9,6.28M,1.42%
29/11/24,135.33,135.07,136.65,133.81,9.63M,-0.31%
28/11/24,135.75,134.01,136.25,133.13,3.97M,1.64%
27/11/24,133.56,134.88,134.92,132.76,10.17M,-0.37%
26/11/24,134.05,139.09,139.09,133.5,9.66M,-3.30%
25/11/24,138.63,140.15,141.55,138.25,12.81M,-1.28%
22/11/24,140.43,142.01,142.42,138.25,14.09M,-1.90%
21/11/24,143.15,141.85,145.95,140.51,5.62M,0.77%
20/11/24,142.06,140.01,142.52,140.01,6.23M,0.46%
19/11/24,141.41,140.88,143.49,138.61,6.90M,0.84%
15/11/24,140.23,142.01,144.69,139.97,4.49M,-2.47%
14/11/24,143.78,144,144.59,139.81,13.01M,-0.15%
13/11/24,144,145.45,146.79,143.64,5.79M,-1.32%
12/11/24,145.93,144.03,146.87,144.03,4.80M,0.41%
11/11/24,145.33,146,146.97,144.96,5.58M,-0.68%
08/11/24,146.33,148.02,149.08,144.21,4.16M,-2.07%
07/11/24,149.43,148.99,150.29,147.01,8.19M,0.18%
06/11/24,149.16,141.92,149.68,136,8.99M,4.64%
05/11/24,142.55,142.01,143.99,140.21,6.70M,-0.47%
04/11/24,143.22,142.48,144.19,141.04,6.27M,1.02%
01/11/24,141.78,139.33,143.96,139.31,10.50M,1.76%
31/10/24,139.33,137.01,140.28,137.01,9.93M,1.00%
30/10/24,137.95,139.89,139.89,137.01,7.91M,-0.82%
29/10/24,139.09,140.01,141.09,138.77,6.85M,-1.35%
28/10/24,140.99,141.27,141.67,139.56,5.22M,0.26%
25/10/24,140.62,142.01,142.69,140.41,3.59M,-1.04%
24/10/24,142.1,143.46,144.49,141.22,4.46M,-1.62%
23/10/24,144.44,141.61,144.71,140.01,7.13M,1.66%
22/10/24,142.08,144.26,144.72,139.55,7.84M,-1.52%
21/10/24,144.28,146.66,146.66,142.57,4.34M,-1.37%
18/10/24,146.28,144.05,146.69,144.01,4.21M,1.02%
17/10/24,144.81,144.8,145.39,143.9,7.83M,-0.01%
16/10/24,144.83,148.21,149.49,144,15.08M,-2.80%
15/10/24,149,145.7,149.59,145.22,9.43M,2.34%
14/10/24,145.59,149.52,149.52,145.28,5.56M,-2.63%
11/10/24,149.52,150.66,151.14,148.55,3.11M,-0.76%
10/10/24,150.66,150.73,152.09,148.99,5.27M,0.08%
09/10/24,150.54,150.49,155.59,150.01,5.06M,-0.11%
08/10/24,150.71,153.19,156.83,150.35,5.96M,-1.26%
07/10/24,152.63,155.01,157.47,151.5,13.06M,-2.34%
04/10/24,156.28,150.05,156.8,149.95,8.86M,4.25%
03/10/24,149.91,149.1,150.58,148.61,8.86M,0.04%
02/10/24,149.85,139.5,150.29,137.21,8.06M,7.42%
30/09/24,139.5,140.42,141.05,139.19,12.14M,-0.79%
27/09/24,140.61,145.11,145.49,140.24,7.01M,-2.76%
26/09/24,144.6,142.01,148.96,142.01,8.36M,0.76%
25/09/24,143.51,142.02,144.97,140.7,7.42M,-0.49%
24/09/24,144.22,138.49,144.95,138.48,6.63M,4.69%
23/09/24,137.76,136.97,139.43,135.76,8.67M,0.85%
20/09/24,136.6,139.83,140.69,135.36,22.30M,-2.12%
19/09/24,139.56,140.39,142.48,139.3,5.12M,-0.89%
18/09/24,140.81,140.75,141.25,139.82,3.65M,0.05%
17/09/24,140.74,142,143.12,138.76,5.99M,-0.94%
13/09/24,142.08,138.93,143.5,138.93,5.82M,2.27%
12/09/24,138.93,134.08,139.55,133.96,10.14M,3.62%
11/09/24,134.08,134.93,135.09,132.63,11.33M,0.00%
10/09/24,134.08,135.1,137.18,133.8,9.43M,-0.70%
09/09/24,135.02,136.67,138.98,134.21,5.09M,-1.22%
06/09/24,136.69,139.05,140.09,136.44,5.31M,-1.70%
05/09/24,139.05,139,141.88,138.5,8.12M,-0.37%
04/09/24,139.57,137.03,140.4,137.03,7.29M,0.98%
03/09/24,138.22,138.25,139.66,136.01,5.96M,0.10%
02/09/24,138.08,136.45,139.59,136.31,1.82M,1.37%
