Fecha,Cierre,Open,High,Low,Vol.,Change %
20/04/26,80.58,80.63,80.67,80.5,21.10M,-0.09%
17/04/26,80.65,80.6,80.76,80.56,61.65M,0.37%
16/04/26,80.35,80.53,80.53,80.26,37.74M,-0.14%
15/04/26,80.46,80.45,80.49,80.35,47.83M,-0.05%
14/04/26,80.5,80.34,80.56,80.29,42.04M,0.30%
13/04/26,80.26,79.88,80.27,79.88,38.56M,0.38%
10/04/26,79.96,80.34,80.34,79.95,33.01M,-0.40%
09/04/26,80.28,80.15,80.39,80,45.21M,0.11%
08/04/26,80.19,80.47,80.52,80.03,58.56M,0.59%
07/04/26,79.72,79.67,79.74,79.32,47.26M,0.03%
06/04/26,79.7,79.51,79.71,79.5,37.10M,0.18%
02/04/26,79.56,79.08,79.63,79.08,53.83M,0.24%
01/04/26,79.37,79.35,79.46,79.24,69.79M,-0.24%
31/03/26,79.56,79.16,79.61,79.12,101.52M,0.95%
30/03/26,78.81,79.02,79.1,78.75,55.21M,0.11%
27/03/26,78.72,78.83,78.83,78.57,68.17M,-0.25%
26/03/26,78.92,79.25,79.32,78.8,74.98M,-0.63%
25/03/26,79.42,79.45,79.58,79.35,49.92M,0.32%
24/03/26,79.17,79.24,79.41,79.06,71.94M,-0.34%
23/03/26,79.44,79.29,79.7,79.17,79.02M,0.66%
20/03/26,78.92,79.5,79.53,78.85,109.08M,-0.93%
19/03/26,79.66,79.03,79.69,78.99,103.98M,0.33%
18/03/26,79.4,79.69,79.75,79.39,50.28M,-0.51%
17/03/26,79.81,79.61,79.82,79.57,47.97M,0.45%
16/03/26,79.45,79.51,79.67,79.45,57.54M,0.32%
13/03/26,79.2,79.53,79.68,79.12,68.65M,-0.19%
12/03/26,79.35,79.75,79.75,79.32,68.67M,-0.64%
11/03/26,79.86,79.99,80.04,79.81,59.98M,-0.22%
10/03/26,80.04,80.05,80.38,80.03,67.50M,-0.16%
09/03/26,80.17,79.59,80.18,79.54,88.70M,0.60%
06/03/26,79.69,79.75,80,79.64,82.13M,-0.49%
05/03/26,80.08,80.27,80.31,80.02,79.84M,-0.40%
04/03/26,80.4,80.23,80.45,80.19,58.69M,0.35%
03/03/26,80.12,79.94,80.31,79.84,118.13M,-0.20%
02/03/26,80.28,80.06,80.41,80.03,74.33M,-0.55%
27/02/26,80.72,80.75,80.8,80.65,62.45M,-0.16%
26/02/26,80.85,80.89,80.94,80.76,54.53M,-0.09%
25/02/26,80.92,80.82,80.93,80.82,29.43M,0.14%
24/02/26,80.81,80.85,80.87,80.65,54.98M,-0.07%
23/02/26,80.87,80.96,81,80.84,33.67M,-0.16%
20/02/26,81,80.93,81,80.87,37.96M,0.07%
19/02/26,80.94,80.88,80.94,80.83,29.53M,0.04%
18/02/26,80.91,80.84,80.98,80.81,33.94M,0.12%
17/02/26,80.81,80.82,80.86,80.74,35.68M,-0.05%
13/02/26,80.85,80.83,80.94,80.82,36.61M,0.07%
12/02/26,80.79,80.91,80.97,80.75,48.46M,-0.05%
11/02/26,80.83,80.9,80.93,80.72,27.27M,-0.01%
10/02/26,80.84,80.95,81.01,80.84,37.89M,-0.10%
09/02/26,80.92,80.76,80.92,80.75,33.72M,0.14%
06/02/26,80.81,80.67,80.81,80.62,40.92M,0.35%
05/02/26,80.53,80.56,80.62,80.45,75.55M,-0.11%
04/02/26,80.62,80.7,80.72,80.54,42.83M,-0.12%
03/02/26,80.72,80.76,80.81,80.53,49.37M,-0.06%
02/02/26,80.77,80.67,80.81,80.64,42.89M,-0.43%
30/01/26,81.12,80.92,81.13,80.92,59.85M,0.11%
29/01/26,81.03,81.05,81.07,80.9,38.20M,-0.01%
28/01/26,81.04,81.17,81.18,81.03,35.56M,-0.16%
27/01/26,81.17,81.18,81.22,81.14,22.96M,-0.01%
26/01/26,81.18,81.19,81.21,81.12,27.03M,0.05%
23/01/26,81.14,81.18,81.2,81.04,38.36M,-0.05%
22/01/26,81.18,81.19,81.24,81.13,35.23M,0.07%
21/01/26,81.12,80.98,81.16,80.96,42.02M,0.30%
20/01/26,80.88,80.75,80.95,80.67,38.65M,-0.26%
16/01/26,81.09,81.08,81.1,80.99,52.47M,0.06%
15/01/26,81.04,81.1,81.11,81,30.41M,0.00%
14/01/26,81.04,81,81.05,80.93,42.99M,0.00%
13/01/26,81.04,81.07,81.07,80.97,27.61M,0.00%
12/01/26,81.04,80.91,81.05,80.9,23.98M,0.05%
09/01/26,81,80.95,81.03,80.95,31.85M,0.07%
08/01/26,80.94,80.84,80.95,80.8,33.52M,0.07%
07/01/26,80.88,80.96,81,80.83,27.02M,-0.02%
06/01/26,80.9,80.9,80.94,80.82,31.72M,0.02%
05/01/26,80.88,80.74,80.91,80.7,38.56M,0.26%
02/01/26,80.67,80.72,80.72,80.59,28.40M,0.05%
31/12/25,80.63,80.72,80.75,80.63,17.46M,-0.10%
30/12/25,80.71,80.64,80.75,80.61,20.15M,0.10%
29/12/25,80.63,80.56,80.66,80.55,22.01M,0.04%
26/12/25,80.6,80.64,80.7,80.59,10.92M,-0.05%
24/12/25,80.64,80.51,80.64,80.47,10.53M,0.19%
23/12/25,80.49,80.37,80.49,80.35,24.34M,0.07%
22/12/25,80.43,80.46,80.46,80.29,37.20M,0.09%
19/12/25,80.36,80.43,80.47,80.33,34.41M,-0.52%
18/12/25,80.78,80.78,80.8,80.67,52.68M,0.27%
17/12/25,80.56,80.65,80.67,80.51,37.00M,-0.12%
16/12/25,80.66,80.61,80.67,80.56,27.91M,0.06%
15/12/25,80.61,80.67,80.7,80.57,28.98M,0.05%
12/12/25,80.57,80.69,80.71,80.53,45.57M,-0.19%
11/12/25,80.72,80.74,80.76,80.66,44.55M,-0.01%
10/12/25,80.73,80.43,80.79,80.42,53.05M,0.34%
09/12/25,80.46,80.55,80.61,80.44,30.56M,-0.11%
08/12/25,80.55,80.72,80.74,80.49,43.16M,-0.25%
05/12/25,80.75,80.73,80.81,80.67,30.49M,0.00%
04/12/25,80.75,80.7,80.77,80.57,34.78M,0.07%
03/12/25,80.69,80.61,80.79,80.57,35.02M,0.09%
02/12/25,80.62,80.54,80.64,80.47,38.84M,0.19%
