Fecha,Cierre,mes anterior vs mes actual,anual general,monitor
01/01/18,98.795,,,
01/02/18,99.17137,0.38%,,0.000719241
01/03/18,99.49216,0.32%,,0.001368878
01/04/18,99.15485,-0.34%,,0.002088119
01/05/18,98.99408,-0.16%,,0.002784158
01/06/18,99.37646,0.39%,,0.003503399
01/07/18,99.9091,0.54%,,0.004199439
01/08/18,100.492,0.58%,,0.004918679
01/09/18,100.917,0.42%,,0.00563792
01/10/18,101.44,0.52%,,0.00633396
01/11/18,102.303,0.85%,,0.007053201
01/12/18,103.02,0.70%,,0.00774924
01/01/19,103.108,0.09%,0.043656055,0.00071371
01/02/19,103.079,-0.03%,0.039402803,0.00142742
01/03/19,103.476,0.39%,0.040041748,0.002072062
01/04/19,103.531,0.05%,0.044134503,0.002785772
01/05/19,103.233,-0.29%,0.042819934,0.003476459
01/06/19,103.299,0.06%,0.039471521,0.004190169
01/07/19,103.687,0.38%,0.037813372,0.004880856
01/08/19,103.67,-0.02%,0.031624408,0.005594567
01/09/19,103.942,0.26%,0.029975128,0.006308277
01/10/19,104.503,0.54%,0.030195189,0.006998964
01/11/19,105.346,0.81%,0.029744973,0.007712674
01/12/19,105.934,0.56%,0.02828577,0.008403361
01/01/20,106.447,0.48%,0.03238352,0.000707763
01/02/20,106.889,0.42%,0.036961942,0.001415525
01/03/20,106.838,-0.05%,0.032490626,0.002077626
01/04/20,105.755,-1.01%,0.021481489,0.002785388
01/05/20,106.162,0.38%,0.02837271,0.00347032
01/06/20,106.743,0.55%,0.03334011,0.004178082
01/07/20,107.444,0.66%,0.036234051,0.004863014
01/08/20,107.867,0.39%,0.040484229,0.005570776
01/09/20,108.114,0.23%,0.040137769,0.006278539
01/10/20,108.774,0.61%,0.04086964,0.00696347
01/11/20,108.856,0.08%,0.033318778,0.007671233
01/12/20,109.271,0.38%,0.031500746,0.008356164
01/01/21,110.21,0.86%,0.035350926,0.000701897
01/02/21,110.907,0.63%,0.037590398,0.001403795
01/03/21,111.824,0.83%,0.046668788,0.002037767
01/04/21,112.19,0.33%,0.060848187,0.002739664
01/05/21,112.419,0.20%,0.058938226,0.00341892
01/06/21,113.018,0.53%,0.058786056,0.004120817
01/07/21,113.682,0.59%,0.058058151,0.004800072
01/08/21,113.899,0.19%,0.055920717,0.00550197
01/09/21,114.601,0.62%,0.06000148,0.006203867
01/10/21,115.561,0.84%,0.062395425,0.006883123
01/11/21,116.884,1.14%,0.073748806,0.00758502
01/12/21,117.308,0.36%,0.073551079,0.008264276
01/01/22,118.002,0.59%,0.070701388,0.000696144
01/02/22,118.981,0.83%,0.072799733,0.001392289
01/03/22,120.159,0.99%,0.074536772,0.002021064
01/04/22,120.809,0.54%,0.076825029,0.002717208
01/05/22,121.022,0.18%,0.07652621,0.003390896
01/06/22,122.044,0.84%,0.079863385,0.00408704
01/07/22,122.948,0.74%,0.081508066,0.004760728
01/08/22,123.803,0.70%,0.086954231,0.005456873
01/09/22,124.571,0.62%,0.086997496,0.006153017
01/10/22,125.276,0.57%,0.084068154,0.006826705
01/11/22,125.997,0.58%,0.077966189,0.007522849
01/12/22,126.478,0.38%,0.078170287,0.008196537
01/01/23,127.336,0.68%,0.079100354,0.000690485
01/02/23,128.046,0.56%,0.076188635,0.001380969
01/03/23,128.389,0.27%,0.068492581,0.002004633
01/04/23,128.363,-0.02%,0.062528454,0.002695118
01/05/23,128.084,-0.22%,0.058353027,0.003363329
01/06/23,128.214,0.10%,0.050555537,0.004053813
01/07/23,128.832,0.48%,0.047857631,0.004722024
01/08/23,129.545,0.55%,0.046380136,0.005412509
01/09/23,130.12,0.44%,0.044544878,0.006102994
01/10/23,130.609,0.38%,0.042570005,0.006771205
01/11/23,131.445,0.64%,0.043239125,0.007461689
01/12/23,132.373,0.71%,0.046608896,0.0081299
01/01/24,133.555,0.89%,0.048839291,0.000684916
01/02/24,133.681,0.09%,0.044007622,0.001369833
01/03/24,134.065,0.29%,0.044209395,0.002010561
01/04/24,134.336,0.20%,0.0465321,0.002695477
01/05/24,134.087,-0.19%,0.046867681,0.0033583
01/06/24,134.594,0.38%,0.049760557,0.004043216
01/07/24,136.003,1.05%,0.055661637,0.004706038
01/08/24,136.013,0.01%,0.049928596,0.005390955
01/09/24,136.08,0.05%,0.045803873,0.006075871
01/10/24,136.828,0.55%,0.047615402,0.006738693
01/11/24,137.424,0.44%,0.045486705,0.00742361
01/12/24,137.949,0.38%,0.042123394,0.008086432
01/01/25,138.343,0.29%,0.035850399,0.000679422
01/02/25,138.726,0.28%,0.037739095,0.001358845
01/03/25,139.161,0.31%,0.038011412,0.001972516
01/04/25,139.62,0.33%,0.039334207,0.002651939
01/05/25,140.012,0.28%,0.044187729,0.003309444
01/06/25,140.405,0.28%,0.043174287,0.003988866
01/07/25,140.78,0.27%,0.035124225,0.004646372
01/08/25,140.867,0.06%,0.035687765,0.005325794
01/09/25,141.197,0.23%,0.037602881,0.006005216
01/10/25,141.708,0.36%,0.035665215,0.006662722
01/11/25,142.645,0.66%,0.037991908,0.007342144
01/12/25,143.042,0.28%,0.036919441,0.007999649
01/01/26,143.588,0.38%,0.037913013,0.00067403
01/02/26,144.307,0.50%,0.040230382,0.001348061
01/03/26,145.544,0.86%,0.045867736,0.001956862
