Fecha,Cierre,Apertura,Máximo,Mínimo,Vol.,% var.
01/05/26,480.25,473.75,483.5,472.75,217.09K,1.16%
30/04/26,474.75,477,480,471.25,210.63K,-0.63%
29/04/26,477.75,474.75,479,474,317.25K,0.47%
28/04/26,475.5,469,476,468.75,326.47K,1.33%
27/04/26,469.25,463,469.75,462.5,273.75K,1.24%
24/04/26,463.5,464,466.25,462,156.41K,-0.05%
23/04/26,463.75,462,465.25,461,157.03K,0.22%
22/04/26,462.75,461.75,466,461,175.21K,0.16%
21/04/26,462,460.25,463.5,458.75,183.20K,0.38%
20/04/26,460.25,458,462.25,455.5,175.04K,0.60%
17/04/26,457.5,457.5,460,452.25,149.72K,-0.05%
16/04/26,457.75,460.25,462.5,456.75,168.56K,-0.60%
15/04/26,460.5,452.5,461.25,452.25,210.46K,1.77%
14/04/26,452.5,451,456.25,451,201.11K,0.33%
13/04/26,451,455.5,456,450.75,226.19K,2.27%
10/04/26,441,444.75,446.25,438,237.02K,-0.68%
09/04/26,444,447.25,450.25,442.25,247.65K,-0.73%
08/04/26,447.25,447,448.25,442.25,295.03K,-0.39%
07/04/26,449,454,455,448.25,172.65K,-1.10%
06/04/26,454,453,454.5,448.25,126.75K,0.39%
03/04/26,452.25,454,460.5,451.25,,0.00%
02/04/26,452.25,454,460.5,451.25,165.40K,-0.44%
01/04/26,454.25,457.5,460,448.5,203.13K,-0.76%
31/03/26,457.75,455.5,462,451.25,288.87K,0.44%
30/03/26,455.75,462.75,465.75,455,165.88K,-1.35%
27/03/26,462,466,470.5,460.75,179.46K,-1.07%
26/03/26,467,466.75,468.75,462,164.12K,-0.05%
25/03/26,467.25,461.25,468.5,458,155.91K,1.03%
24/03/26,462.5,460,465.75,459,184.11K,0.65%
23/03/26,459.5,465.25,473.75,456.5,253.11K,-1.29%
20/03/26,465.5,469,469.25,464,161.72K,-0.90%
19/03/26,469.75,463.25,470,463.25,214.41K,1.40%
18/03/26,463.25,454.75,464.5,451.5,190.61K,2.04%
17/03/26,454,453.75,459,449.25,200.11K,0.00%
16/03/26,454,464.75,466,452,279.25K,0.33%
13/03/26,452.5,446,453.5,446,0.16K,0.95%
12/03/26,448.25,448.5,453.5,448.5,0.14K,0.90%
11/03/26,444.25,441,446.5,439,0.29K,1.83%
10/03/26,436.25,434.75,437.75,432,0.60K,-0.29%
09/03/26,437.5,447.25,459,439,1.33K,-4.99%
06/03/26,460.5,452.75,462,452.25,355.15K,1.54%
