Fecha,Cierre,Open,High,Low,Vol.,Change %
01/05/26,2.78,2.755,2.821,2.746,107.10K,0.47%
30/04/26,2.767,2.649,2.794,2.592,172.76K,4.53%
29/04/26,2.647,2.68,2.692,2.615,98.37K,3.44%
28/04/26,2.559,2.539,2.578,2.483,5.51K,0.35%
27/04/26,2.55,2.505,2.63,2.505,65.55K,1.07%
24/04/26,2.523,2.594,2.594,2.495,50.99K,-3.48%
23/04/26,2.614,2.718,2.74,2.568,79.28K,-8.63%
22/04/26,2.861,2.84,2.905,2.824,74.01K,0.67%
21/04/26,2.842,2.816,2.863,2.792,71.61K,0.39%
20/04/26,2.831,2.832,2.88,2.81,72.97K,5.87%
17/04/26,2.674,2.667,2.707,2.623,109.84K,1.02%
16/04/26,2.647,2.614,2.679,2.588,108.05K,1.42%
15/04/26,2.61,2.599,2.628,2.57,114.65K,0.42%
14/04/26,2.599,2.628,2.66,2.561,174.53K,-1.07%
13/04/26,2.627,2.691,2.723,2.615,155.02K,-0.79%
10/04/26,2.648,2.671,2.689,2.628,151.05K,-0.82%
09/04/26,2.67,2.731,2.738,2.655,170.77K,-1.98%
08/04/26,2.724,2.843,2.844,2.702,223.34K,-5.09%
07/04/26,2.87,2.804,2.888,2.756,135.27K,2.10%
06/04/26,2.811,2.838,2.868,2.769,100.08K,0.39%
03/04/26,2.8,2.813,2.889,2.779,,0.00%
02/04/26,2.8,2.813,2.889,2.779,143.11K,-0.67%
01/04/26,2.819,2.88,2.899,2.785,126.77K,-2.25%
31/03/26,2.884,2.887,2.977,2.803,154.16K,-0.10%
30/03/26,2.887,3.055,3.057,2.851,126.19K,-6.72%
27/03/26,3.095,2.97,3.124,2.965,6.14K,3.20%
26/03/26,2.999,2.984,3.025,2.918,61.38K,1.59%
25/03/26,2.952,2.9,2.985,2.864,30.84K,0.31%
24/03/26,2.943,2.91,2.974,2.876,52.37K,1.80%
23/03/26,2.891,3.108,3.153,2.875,119.43K,-5.65%
20/03/26,3.064,3.083,3.136,3.012,111.77K,-1.98%
19/03/26,3.126,3.141,3.228,3.06,138.48K,3.07%
18/03/26,3.033,3.02,3.17,2.897,116.18K,0.80%
17/03/26,3.009,3.021,3.08,2.988,72.01K,-0.07%
16/03/26,3.011,3.175,3.175,2.981,100.68K,-3.83%
13/03/26,3.131,3.252,3.317,3.109,129.47K,-3.15%
12/03/26,3.233,3.231,3.292,3.145,150.13K,0.75%
11/03/26,3.209,3.064,3.228,3.019,141.65K,6.26%
10/03/26,3.02,3.027,3.147,2.961,205.91K,-3.21%
09/03/26,3.12,3.304,3.494,3.021,233.31K,-2.07%
06/03/26,3.186,3.022,3.28,2.951,196.84K,6.09%
05/03/26,3.003,2.937,3.046,2.92,148.18K,2.95%
04/03/26,2.917,3.041,3.076,2.891,155.74K,-4.49%
03/03/26,3.054,2.98,3.188,2.973,225.19K,3.18%
02/03/26,2.96,2.929,3.07,2.867,174.54K,3.53%
27/02/26,2.859,2.832,2.894,2.818,109.11K,1.13%
26/02/26,2.827,2.891,2.891,2.775,139.78K,-4.78%
25/02/26,2.969,2.92,3.017,2.895,6.28K,1.85%
24/02/26,2.915,2.981,3.014,2.905,69.62K,-2.35%
23/02/26,2.985,3.24,3.253,2.977,55.41K,-2.03%
20/02/26,3.047,2.971,3.155,2.949,90.72K,1.70%
19/02/26,2.996,3.022,3.095,2.961,120.48K,2.15%
18/02/26,2.933,2.951,2.958,2.868,134.25K,-0.17%
17/02/26,2.938,2.947,3.06,2.888,148.34K,-5.07%
16/02/26,3.095,3.099,3.105,2.969,53.54K,1.88%
15/02/26,3.038,3.024,3.05,3.021,,-6.32%
13/02/26,3.243,3.219,3.278,3.114,125.82K,0.81%
12/02/26,3.217,3.222,3.316,3.18,222.26K,1.84%
11/02/26,3.159,3.159,3.249,3.055,174.85K,1.41%
10/02/26,3.115,3.141,3.214,3.061,175.75K,-0.73%
09/02/26,3.138,3.25,3.265,3.111,211.76K,-8.30%
06/02/26,3.422,3.517,3.659,3.387,215.13K,-2.48%
05/02/26,3.509,3.472,3.573,3.328,202.39K,1.27%
04/02/26,3.465,3.37,3.548,3.264,194.66K,4.65%
03/02/26,3.311,3.263,3.397,3.169,238.55K,2.29%
02/02/26,3.237,3.708,3.736,3.155,554.86K,-25.65%
30/01/26,4.354,3.879,4.425,3.818,351.65K,11.13%
29/01/26,3.918,3.742,3.93,3.728,234.64K,-47.48%
28/01/26,7.46,6.5,7.827,5.9,6.26K,7.28%
27/01/26,6.954,6.646,7.31,5.772,77.68K,2.26%
26/01/26,6.8,5.791,7.439,5.728,99.50K,28.91%
23/01/26,5.275,4.872,5.434,4.66,107.11K,4.56%
22/01/26,5.045,5.039,5.65,4.769,310.95K,42.72%
21/01/26,3.535,3.188,3.582,3.114,359.01K,9.31%
20/01/26,3.234,2.912,3.242,2.854,430.39K,-9.82%
19/01/26,3.586,3.567,3.717,3.381,126.56K,3.40%
18/01/26,3.468,3.532,3.54,3.468,,11.76%
16/01/26,3.103,3.146,3.23,3.02,139.67K,-0.80%
15/01/26,3.128,3.102,3.218,3.006,180.72K,0.26%
14/01/26,3.12,3.384,3.443,3.068,215.33K,-8.75%
13/01/26,3.419,3.358,3.499,3.298,187.13K,0.29%
12/01/26,3.409,3.29,3.431,3.182,248.89K,7.57%
09/01/26,3.169,3.41,3.496,3.131,322.22K,-6.99%
08/01/26,3.407,3.563,3.634,3.355,193.22K,-3.35%
07/01/26,3.525,3.425,3.591,3.419,151.94K,5.22%
06/01/26,3.35,3.492,3.502,3.324,145.17K,-4.91%
05/01/26,3.523,3.507,3.53,3.355,228.74K,-2.63%
02/01/26,3.618,3.679,3.703,3.563,133.02K,-1.84%
31/12/25,3.686,3.976,3.983,3.679,132.23K,-7.20%
30/12/25,3.972,3.947,4.176,3.916,136.98K,-15.25%
29/12/25,4.687,4.45,4.721,4.351,7.08K,7.35%
26/12/25,4.366,4.196,4.421,4.196,46.35K,2.92%
24/12/25,4.242,4.415,4.593,4.18,57.07K,-3.77%
23/12/25,4.408,3.99,4.449,3.943,126.79K,11.17%
22/12/25,3.965,4.081,4.14,3.797,157.60K,-0.48%
19/12/25,3.984,3.942,4.03,3.84,145.51K,1.94%
18/12/25,3.908,4.117,4.218,3.877,158.06K,-2.88%
17/12/25,4.024,3.936,4.114,3.92,153.56K,3.55%
16/12/25,3.886,4.037,4.045,3.842,155.86K,-3.14%
15/12/25,4.012,4.171,4.218,3.993,169.24K,-2.46%
12/12/25,4.113,4.231,4.257,4.065,199.84K,-2.79%
11/12/25,4.231,4.626,4.631,4.196,287.86K,-7.92%
10/12/25,4.595,4.578,4.696,4.455,271.11K,0.46%
09/12/25,4.574,4.868,4.878,4.551,249.50K,-6.88%
08/12/25,4.912,5.1,5.205,4.85,301.95K,-7.13%
05/12/25,5.289,5.077,5.496,5.027,376.68K,4.46%
04/12/25,5.063,5.01,5.09,4.871,209.84K,1.36%
03/12/25,4.995,4.827,5.039,4.819,186.37K,3.20%
02/12/25,4.84,4.902,4.984,4.805,172.38K,-1.65%
01/12/25,4.921,4.87,4.952,4.758,209.47K,1.46%
28/11/25,4.85,4.618,4.871,4.527,127.69K,4.77%
27/11/25,4.629,4.634,4.647,4.53,27.73K,1.56%
26/11/25,4.558,4.483,4.644,4.442,155.16K,3.03%
25/11/25,4.424,4.501,4.547,4.267,6.37K,-2.75%
