Fecha,Cierre,Open,High,Low,Vol.,Change %
01/05/26,"1,203.25","1,195.50","1,205.00","1,193.75",93.07K,0.65%
30/04/26,"1,195.50","1,197.00","1,206.25","1,189.50",108.96K,-0.13%
29/04/26,"1,197.00","1,189.25","1,198.25","1,187.00",145.90K,0.65%
28/04/26,"1,189.25","1,191.00","1,192.75","1,182.25",190.86K,-0.23%
27/04/26,"1,192.00","1,176.75","1,194.50","1,176.75",155.56K,1.15%
24/04/26,"1,178.50","1,175.00","1,179.25","1,171.25",108.84K,0.32%
23/04/26,"1,174.75","1,180.25","1,183.75","1,172.50",128.00K,-0.40%
22/04/26,"1,179.50","1,191.50","1,201.25","1,178.00",133.89K,-0.90%
21/04/26,"1,190.25","1,181.00","1,194.75","1,180.75",103.72K,0.72%
20/04/26,"1,181.75","1,183.25","1,187.25","1,177.00",69.38K,-0.11%
17/04/26,"1,183.00","1,179.00","1,183.50","1,168.00",111.44K,0.21%
16/04/26,"1,180.50","1,181.25","1,186.50","1,178.75",117.99K,-0.23%
15/04/26,"1,183.25","1,171.00","1,186.25","1,171.00",131.67K,0.90%
14/04/26,"1,172.75","1,175.50","1,183.00","1,170.25",110.03K,-0.40%
13/04/26,"1,177.50","1,192.75","1,199.00","1,175.00",120.00K,0.15%
10/04/26,"1,175.75","1,166.50","1,179.25","1,164.50",149.59K,0.90%
09/04/26,"1,165.25","1,162.00","1,170.50","1,159.75",125.07K,0.28%
08/04/26,"1,162.00","1,152.00","1,163.00","1,140.50",142.19K,0.32%
07/04/26,"1,158.25","1,164.75","1,170.50","1,155.25",105.84K,-0.73%
06/04/26,"1,166.75","1,164.50","1,169.75","1,158.75",62.85K,0.28%
03/04/26,"1,163.50","1,167.25","1,174.25","1,162.00",,0.00%
02/04/26,"1,163.50","1,167.25","1,174.25","1,162.00",92.02K,-0.43%
01/04/26,"1,168.50","1,171.50","1,174.75","1,153.00",112.70K,-0.21%
31/03/26,"1,171.00","1,159.00","1,177.75","1,156.00",125.89K,0.97%
30/03/26,"1,159.75","1,165.00","1,170.00","1,158.25",82.48K,0.04%
27/03/26,"1,159.25","1,172.00","1,178.75","1,155.75",115.72K,-1.24%
26/03/26,"1,173.75","1,173.00","1,179.75","1,167.00",101.88K,0.17%
25/03/26,"1,171.75","1,153.50","1,176.75","1,151.50",120.50K,1.45%
24/03/26,"1,155.00","1,164.25","1,166.75","1,153.75",110.64K,-0.73%
23/03/26,"1,163.50","1,160.00","1,171.50","1,152.50",106.43K,0.19%
20/03/26,"1,161.25","1,166.00","1,176.00","1,159.50",97.25K,-0.62%
19/03/26,"1,168.50","1,165.00","1,173.50","1,157.00",126.12K,0.58%
18/03/26,"1,161.75","1,156.25","1,165.25","1,148.00",127.55K,0.41%
17/03/26,"1,157.00","1,147.00","1,170.50","1,145.25",226.25K,0.15%
16/03/26,"1,155.25","1,214.00","1,214.00","1,155.25",246.83K,-4.60%
13/03/26,"1,211.00","1,200.25","1,200.25","1,200.25",0.01K,-0.16%
12/03/26,"1,213.00","1,215.75","1,223.25","1,214.00",0.07K,1.04%
11/03/26,"1,200.50","1,202.75","1,211.75","1,200.50",0.15K,1.12%
10/03/26,"1,187.25","1,180.00","1,191.25","1,174.75",0.11K,0.57%
09/03/26,"1,180.50","1,195.50","1,214.75","1,178.75",0.13K,-1.69%
06/03/26,"1,200.75","1,179.00","1,202.75","1,177.00",205.96K,1.82%
05/03/26,"1,179.25","1,168.25","1,181.00","1,166.50",140.91K,0.83%
04/03/26,"1,169.50","1,171.00","1,175.75","1,165.00",101.76K,-0.09%
03/03/26,"1,170.50","1,162.50","1,183.00","1,160.50",167.85K,0.56%
02/03/26,"1,164.00","1,178.50","1,185.00","1,157.50",141.81K,-0.58%
27/02/26,"1,170.75","1,162.75","1,175.00","1,160.50",116.40K,0.62%
26/02/26,"1,163.50","1,164.50","1,172.75","1,145.75",183.98K,-0.13%
25/02/26,"1,165.00","1,155.00","1,166.00","1,148.25",154.27K,0.84%
24/02/26,"1,155.25","1,150.00","1,157.75","1,143.50",157.33K,0.48%
23/02/26,"1,149.75","1,149.50","1,165.00","1,143.00",169.44K,-0.30%
