Fecha,BONOMX5,BONOUSA5,Diferencia
2018-01-02 00:00:00,7.51,2.248,5.262
2018-01-03 00:00:00,7.46,2.243,5.2170000000000005
2018-01-04 00:00:00,7.42,2.268,5.152
2018-01-05 00:00:00,7.41,2.285,5.125
2018-01-08 00:00:00,7.41,2.287,5.123
2018-01-09 00:00:00,7.46,2.329,5.131
2018-01-10 00:00:00,7.471,2.331,5.140000000000001
2018-01-11 00:00:00,7.49,2.324,5.166
2018-01-12 00:00:00,7.47,2.346,5.124
2018-01-15 00:00:00,7.42,2.352,5.068
2018-01-16 00:00:00,7.431,2.353,5.077999999999999
2018-01-17 00:00:00,7.41,2.403,5.007
2018-01-18 00:00:00,7.45,2.418,5.032
2018-01-19 00:00:00,7.48,2.453,5.027000000000001
2018-01-22 00:00:00,7.48,2.453,5.027000000000001
2018-01-23 00:00:00,7.42,2.415,5.005
2018-01-24 00:00:00,7.35,2.438,4.911999999999999
2018-01-25 00:00:00,7.38,2.425,4.955
2018-01-26 00:00:00,7.43,2.47,4.959999999999999
2018-01-29 00:00:00,7.47,2.495,4.975
2018-01-30 00:00:00,7.51,2.509,5.0009999999999994
2018-01-31 00:00:00,7.45,2.522,4.928000000000001
2018-02-01 00:00:00,7.41,2.566,4.844
2018-02-02 00:00:00,7.42,2.588,4.832
2018-02-06 00:00:00,7.48,2.543,4.937
2018-02-07 00:00:00,7.45,2.556,4.894
2018-02-08 00:00:00,7.52,2.545,4.975
2018-02-09 00:00:00,7.59,2.543,5.047
2018-02-12 00:00:00,7.65,2.557,5.093
2018-02-13 00:00:00,7.68,2.547,5.132999999999999
2018-02-14 00:00:00,7.74,2.642,5.098000000000001
2018-02-15 00:00:00,7.66,2.647,5.013
2018-02-16 00:00:00,7.64,2.627,5.013
2018-02-19 00:00:00,7.631,2.653,4.978
2018-02-20 00:00:00,7.64,2.646,4.994
2018-02-21 00:00:00,7.59,2.686,4.904
2018-02-22 00:00:00,7.51,2.659,4.851
2018-02-23 00:00:00,7.47,2.62,4.85
2018-02-26 00:00:00,7.52,2.612,4.9079999999999995
2018-02-27 00:00:00,7.53,2.665,4.865
