Fecha,3_AÑOS,10_AÑOS,30_AÑOS
01/01/18,3.50,3.62,3.74
01/02/18,3.58,3.78,3.78
01/03/18,3.79,3.77,3.94
01/04/18,3.72,3.72,3.88
01/05/18,3.67,3.75,3.86
01/06/18,3.77,3.75,3.80
01/07/18,3.50,3.51,3.82
01/08/18,3.64,3.55,3.75
01/09/18,3.78,3.72,3.85
01/10/18,3.67,3.72,3.92
01/11/18,4.23,4.27,4.17
01/12/18,4.71,4.14,4.60
01/01/19,4.30,4.29,4.27
01/02/19,4.18,4.11,4.38
01/03/19,4.16,4.00,4.10
01/04/19,4.04,3.79,4.04
01/05/19,3.92,3.84,4.01
01/06/19,3.50,3.50,3.62
01/07/19,3.46,3.41,3.75
01/08/19,3.49,3.46,3.58
01/09/19,3.63,3.21,3.53
01/10/19,3.40,3.23,3.29
01/11/19,3.40,3.38,3.36
01/12/19,3.54,3.40,3.42
01/01/20,3.56,3.26,3.39
01/02/20,3.21,3.08,3.21
01/03/20,3.18,N/E,3.93
01/04/20,3.70,3.50,3.63
01/05/20,2.29,2.75,3.17
01/06/20,1.85,2.43,3.14
01/07/20,1.33,2.23,3.08
01/08/20,1.07,2.24,2.95
01/09/20,1.11,2.01,3.06
01/10/20,1.00,2.14,3.21
01/11/20,1.15,2.25,3.19
01/12/20,1.20,1.93,3.01
01/01/21,1.04,1.61,N/E
01/02/21,0.80,1.82,2.75
01/03/21,0.94,2.60,3.21
01/04/21,N/E,2.85,3.57
01/05/21,1.44,2.90,3.53
01/06/21,1.32,2.68,3.41
01/07/21,1.73,2.84,3.51
01/08/21,1.70,2.72,3.45
01/09/21,1.74,2.87,3.43
01/10/21,2.00,2.92,3.39
01/11/21,2.40,3.19,3.40
01/12/21,2.24,3.12,3.48
01/01/22,3.20,3.30,3.60
01/02/22,3.47,3.47,3.81
01/03/22,3.55,3.76,3.94
01/04/22,N/E,3.80,4.00
01/05/22,4.12,4.32,4.06
01/06/22,4.20,4.05,4.05
01/07/22,4.11,4.12,4.29
01/08/22,4.07,3.93,4.04
01/09/22,4.49,4.42,4.28
01/10/22,4.72,N/E,4.59
01/11/22,4.93,4.69,4.79
01/12/22,4.73,4.35,4.19
01/01/23,4.63,4.12,4.20
01/02/23,4.61,4.27,4.35
01/03/23,5.29,4.49,4.40
01/04/23,5.58,4.42,4.45
01/05/23,5.43,4.50,4.67
01/06/23,5.50,4.45,4.48
01/07/23,5.36,4.50,4.57
01/08/23,5.50,4.66,4.53
01/09/23,5.96,5.22,4.69
01/10/23,6.31,5.28,4.98
01/11/23,5.91,4.98,4.72
01/12/23,5.70,4.69,4.35
01/01/24,5.76,4.64,4.28
01/02/24,5.83,4.78,4.58
01/03/24,5.90,4.74,4.64
01/04/24,7.19,5.16,4.76
01/05/24,6.56,5.30,5.18
01/06/24,6.63,5.74,N/E
01/07/24,6.21,5.30,5.13
01/08/24,6.08,4.97,5.03
01/09/24,5.88,5.25,4.85
01/10/24,5.95,5.41,5.20
01/11/24,6.05,5.48,5.48
01/12/24,6.11,5.78,5.67
01/01/25,6.17,5.45,5.54
01/02/25,5.90,5.27,5.21
01/03/25,5.64,4.94,4.99
01/04/25,5.22,5.00,5.07
01/05/25,5.11,5.07,4.92
01/06/25,4.57,4.95,4.99
01/07/25,4.60,5.00,4.90
01/08/25,4.65,4.94,4.81
01/09/25,4.33,4.89,4.41
01/10/25,3.99,4.59,4.27
01/11/25,4.19,4.59,4.72
01/12/25,4.35,4.57,4.30
01/01/26,4.17,4.36,4.25
01/02/26,3.93,4.07,N/E
