Fecha,Cierre,Apertura,Máximo,Mínimo,Vol.,% var.
01/05/26,637.75,637.75,644.75,632.75,75.23K,0.16%
30/04/26,636.75,652.25,657.75,634.75,124.40K,-2.49%
29/04/26,653,657,671.5,652.25,145.72K,-0.72%
28/04/26,657.75,629,659.5,627,140.67K,4.45%
27/04/26,629.75,618,631.5,617,85.38K,2.11%
24/04/26,616.75,622,625.25,611,75.98K,-0.56%
23/04/26,620.25,608,622.25,607.25,83.92K,2.18%
22/04/26,607,614,620.5,606.5,49.92K,-0.94%
21/04/26,612.75,607,614.5,601.5,72.13K,1.11%
20/04/26,606,604.25,611.75,598.5,78.07K,1.13%
17/04/26,599.25,605,610,590.5,84.15K,-1.20%
16/04/26,606.5,599.75,616.75,598,91.04K,0.79%
15/04/26,601.75,600.75,604.5,593.75,80.59K,0.08%
14/04/26,601.25,590.5,602.75,587.5,99.27K,1.69%
13/04/26,591.25,589.5,598.25,586,97.46K,3.55%
10/04/26,571,572.75,577.75,567.5,84.55K,-0.61%
09/04/26,574.5,580,588.75,570,103.13K,-0.99%
08/04/26,580.25,589,589,577,103.58K,-2.97%
07/04/26,598,595.75,600.5,588,60.07K,0.46%
06/04/26,595.25,599,600.5,588.5,38.11K,-0.50%
03/04/26,598.25,597.5,609.25,594,,0.00%
02/04/26,598.25,597.5,609.25,594,89.29K,0.13%
01/04/26,597.5,618,622.75,593.25,106.12K,-3.04%
31/03/26,616.25,609.75,625,605.25,101.06K,1.52%
30/03/26,607,607.75,612,597.75,60.14K,0.33%
27/03/26,605,605,613.25,599.25,52.79K,0.00%
26/03/26,605,599.5,607.75,593,55.17K,1.21%
25/03/26,597.75,589,599.5,579.25,65.53K,1.31%
24/03/26,590,591,596,582.5,70.07K,0.38%
23/03/26,587.75,596.5,606.5,577.75,97.32K,-1.26%
20/03/26,595.25,608,609.25,594.75,64.99K,-2.10%
19/03/26,608,608.25,616,600.5,85.89K,0.62%
18/03/26,604.25,590,607.75,586,78.22K,2.46%
17/03/26,589.75,597.25,607.25,586.75,76.81K,-1.26%
16/03/26,597.25,609.25,613.75,594.5,82.22K,-3.44%
13/03/26,618.5,618.5,618.5,618.5,0.00K,4.43%
12/03/26,592.25,597.5,597.5,597.5,0.03K,0.64%
11/03/26,588.5,588.5,588.5,588.5,0.01K,0.64%
10/03/26,584.75,587.75,588,586.5,0.05K,-2.22%
09/03/26,598,635,635,609.75,0.08K,-3.04%
06/03/26,616.75,585.25,618.5,583.75,177.09K,5.65%
05/03/26,583.75,568.25,586,568,85.00K,2.73%
04/03/26,568.25,574,577,564.5,67.60K,-1.00%
03/03/26,574,576,585.75,569,98.76K,-0.56%
02/03/26,577.25,600.5,603.75,574.75,120.59K,-2.41%
27/02/26,591.5,574,597,573.25,114.29K,2.96%
26/02/26,574.5,569.75,575.75,567.75,72.75K,0.83%
25/02/26,569.75,572.25,575.75,563.5,78.19K,-0.61%
24/02/26,573.25,574,579,570.25,79.01K,-0.09%
23/02/26,573.75,578,583.5,573,101.35K,-1.12%
20/02/26,580.25,567.5,582,564.5,128.97K,2.38%
19/02/26,566.75,552,570,550.5,105.04K,2.58%
18/02/26,552.5,542.5,554,542.25,91.04K,1.84%
17/02/26,542.5,548,548,538.75,121.25K,-1.14%
16/02/26,548.75,548.75,548.75,548.5,,0.00%
13/02/26,548.75,552,553,545.75,166.51K,-0.68%
12/02/26,552.5,537.25,553.5,536,159.02K,2.84%
11/02/26,537.25,529.75,540,528,138.47K,1.70%
10/02/26,528.25,527.25,531.25,524.5,96.74K,-0.09%
09/02/26,528.75,530.5,531.5,525.5,84.95K,-0.19%
06/02/26,529.75,534.75,539.25,527.5,104.16K,-1.03%
05/02/26,535.25,527,536.5,522.75,70.98K,1.61%
04/02/26,526.75,529.25,531.75,522.25,78.50K,-0.38%
03/02/26,528.75,528.25,531,525,61.67K,0.19%
02/02/26,527.75,539.5,540,525.75,85.99K,-1.91%
30/01/26,538,541.25,544.75,533.5,87.41K,-0.65%
29/01/26,541.5,536,544.25,533.75,91.93K,1.03%
28/01/26,536,523.25,541.25,523,121.76K,2.44%
27/01/26,523.25,522.5,525.5,519.25,62.55K,0.14%
26/01/26,522.5,532,533.25,521.5,79.40K,-1.32%
23/01/26,529.5,515,530.5,514.75,85.09K,2.72%
22/01/26,515.5,508.25,517,507.75,53.20K,1.53%
21/01/26,507.75,510.75,516.75,507,56.71K,-0.49%
20/01/26,510.25,518.25,520.25,509.5,65.16K,-1.54%
19/01/26,518.25,518.25,518.25,518.25,,0.05%
16/01/26,518,511,521,510.25,56.61K,1.47%
15/01/26,510.5,512.5,517.25,509.75,49.93K,-0.39%
14/01/26,512.5,512,514.5,508,58.15K,0.39%
13/01/26,510.5,512.25,513.75,507,68.03K,-0.15%
12/01/26,511.25,517.25,528,507,109.42K,-1.16%
09/01/26,517.25,519.75,521.25,513.75,56.77K,-0.14%
08/01/26,518,518.75,522.75,515.75,70.50K,0.00%
07/01/26,518,510.5,520.25,509.25,74.48K,1.47%
06/01/26,510.5,512.75,515,510,53.56K,-0.39%
05/01/26,512.5,507.25,514.5,505.75,65.96K,1.18%
02/01/26,506.5,506.5,508.5,501.5,59.10K,-0.10%
31/12/25,507,510.25,512,506,40.23K,-0.73%
30/12/25,510.75,512.75,515.5,510,36.30K,-0.44%
29/12/25,513,518,521,512,43.20K,-1.16%
26/12/25,519,522.5,524.5,517,38.02K,-0.53%
24/12/25,521.75,518.5,525,518,33.00K,0.92%
23/12/25,517,514.25,518.75,513.75,41.46K,0.29%
22/12/25,515.5,511,518.25,510,43.61K,1.13%
19/12/25,509.75,507.75,511.25,505.5,58.22K,0.39%
18/12/25,507.75,507.75,510.75,505.5,82.03K,0.30%
17/12/25,506.25,510.75,511.5,504,93.08K,-0.64%
16/12/25,509.5,521,522.25,507.5,116.62K,-2.16%
15/12/25,520.75,529.5,529.5,519.5,79.49K,-2.57%
12/12/25,534.5,534.5,534.5,534.5,0.00K,0.00%
11/12/25,534.5,534.5,534.5,534.5,0.01K,0.61%
10/12/25,531.25,526.5,530.25,526.5,0.03K,-0.93%
09/12/25,536.25,535.5,535.5,535,0.01K,0.05%
08/12/25,536,536,541.25,536,0.03K,0.05%
05/12/25,535.75,539.75,541.75,534.25,48.90K,-0.83%
04/12/25,540.25,538.75,541.75,531.5,57.14K,0.37%
03/12/25,538.25,541,542.5,537.25,46.73K,-0.51%
02/12/25,541,535,544.5,529.75,75.31K,1.12%
01/12/25,535,539,541.75,532.5,61.05K,-0.65%
28/11/25,538.5,540.5,542.75,534.75,23.91K,-0.46%
27/11/25,541,541,541.25,541,,0.09%
26/11/25,540.5,538.5,544.75,535.75,72.21K,0.23%
25/11/25,539.25,534.75,540.5,532.5,69.58K,0.84%
24/11/25,534.75,540.75,541.75,531.75,61.42K,-0.93%
21/11/25,539.75,541.5,545,535.75,69.72K,-0.18%
20/11/25,540.75,549.25,555.25,539.75,76.65K,-1.59%
19/11/25,549.5,558.75,562.5,548.5,68.04K,-1.70%
18/11/25,559,558,563.25,554.5,75.64K,0.09%
17/11/25,558.5,541,559.75,540.5,91.65K,5.93%
14/11/25,527.25,535.75,544.5,524.5,85.22K,-1.59%
13/11/25,535.75,536.25,539.25,530.75,92.76K,-0.05%
12/11/25,536,536,536.75,527.5,95.69K,0.00%
11/11/25,536,535.75,539,531.25,80.36K,0.05%
