Fecha,Tasa
04/01/2018,N/E
11/01/2018,N/E
18/01/2018,N/E
25/01/2018,N/E
01/02/2018,N/E
08/02/2018,N/E
15/02/2018,N/E
22/02/2018,N/E
01/03/2018,N/E
08/03/2018,N/E
15/03/2018,N/E
22/03/2018,N/E
28/03/2018,N/E
05/04/2018,N/E
12/04/2018,N/E
19/04/2018,N/E
26/04/2018,N/E
03/05/2018,N/E
10/05/2018,N/E
17/05/2018,N/E
24/05/2018,N/E
31/05/2018,N/E
07/06/2018,N/E
14/06/2018,N/E
21/06/2018,N/E
28/06/2018,N/E
05/07/2018,N/E
12/07/2018,N/E
19/07/2018,N/E
26/07/2018,N/E
02/08/2018,N/E
09/08/2018,N/E
16/08/2018,N/E
23/08/2018,N/E
30/08/2018,N/E
06/09/2018,N/E
13/09/2018,N/E
20/09/2018,N/E
27/09/2018,N/E
04/10/2018,N/E
11/10/2018,N/E
18/10/2018,N/E
25/10/2018,N/E
01/11/2018,N/E
08/11/2018,N/E
15/11/2018,N/E
22/11/2018,N/E
29/11/2018,N/E
06/12/2018,N/E
13/12/2018,N/E
20/12/2018,N/E
27/12/2018,N/E
03/01/2019,N/E
10/01/2019,N/E
17/01/2019,N/E
24/01/2019,N/E
31/01/2019,N/E
07/02/2019,N/E
14/02/2019,N/E
21/02/2019,N/E
28/02/2019,N/E
07/03/2019,N/E
14/03/2019,N/E
21/03/2019,N/E
28/03/2019,N/E
04/04/2019,N/E
11/04/2019,N/E
17/04/2019,N/E
25/04/2019,N/E
02/05/2019,N/E
09/05/2019,N/E
16/05/2019,N/E
23/05/2019,N/E
30/05/2019,N/E
06/06/2019,N/E
13/06/2019,N/E
20/06/2019,N/E
27/06/2019,N/E
04/07/2019,N/E
11/07/2019,N/E
18/07/2019,N/E
25/07/2019,N/E
01/08/2019,N/E
08/08/2019,N/E
15/08/2019,N/E
22/08/2019,N/E
29/08/2019,N/E
05/09/2019,N/E
12/09/2019,N/E
19/09/2019,N/E
26/09/2019,N/E
03/10/2019,N/E
10/10/2019,N/E
17/10/2019,N/E
24/10/2019,N/E
31/10/2019,N/E
07/11/2019,N/E
14/11/2019,N/E
21/11/2019,N/E
28/11/2019,N/E
05/12/2019,N/E
11/12/2019,N/E
19/12/2019,N/E
26/12/2019,N/E
02/01/2020,N/E
09/01/2020,N/E
16/01/2020,N/E
23/01/2020,N/E
30/01/2020,N/E
06/02/2020,N/E
13/02/2020,N/E
20/02/2020,N/E
27/02/2020,N/E
05/03/2020,N/E
12/03/2020,N/E
19/03/2020,N/E
26/03/2020,N/E
02/04/2020,N/E
08/04/2020,N/E
16/04/2020,N/E
23/04/2020,N/E
30/04/2020,N/E
07/05/2020,N/E
14/05/2020,N/E
21/05/2020,N/E
28/05/2020,N/E
04/06/2020,N/E
11/06/2020,N/E
18/06/2020,N/E
25/06/2020,N/E
02/07/2020,N/E
09/07/2020,N/E
16/07/2020,N/E
23/07/2020,N/E
30/07/2020,N/E
06/08/2020,N/E
13/08/2020,N/E
20/08/2020,N/E
27/08/2020,N/E
03/09/2020,N/E
10/09/2020,N/E
17/09/2020,N/E
24/09/2020,N/E
01/10/2020,N/E
08/10/2020,N/E
15/10/2020,N/E
22/10/2020,N/E
29/10/2020,N/E
05/11/2020,N/E
12/11/2020,N/E
19/11/2020,N/E
26/11/2020,N/E
03/12/2020,N/E
22/04/2021,3.12
20/05/2021,3.12
17/06/2021,2.74
15/07/2021,2.96
12/08/2021,3.07
09/09/2021,3.19
07/10/2021,3.25
04/11/2021,3.07
02/12/2021,3.35
30/12/2021,3.20
27/01/2022,3.54
24/02/2022,3.67
24/03/2022,3.88
21/04/2022,3.96
19/05/2022,4.09
16/06/2022,4.20
14/07/2022,4.23
11/08/2022,3.88
08/09/2022,4.33
06/10/2022,4.50
27/10/2022,4.69
24/11/2022,4.72
22/12/2022,4.24
12/01/2023,4.08
09/02/2023,4.05
09/03/2023,4.33
05/04/2023,4.27
04/05/2023,4.56
01/06/2023,4.55
29/06/2023,4.41
27/07/2023,4.46
24/08/2023,4.61
21/09/2023,4.80
12/10/2023,4.93
09/11/2023,4.93
07/12/2023,4.54
04/01/2024,4.43
01/02/2024,4.50
29/02/2024,4.69
27/03/2024,4.99
16/05/2024,5.00
13/06/2024,5.40
01/08/2024,5.27
12/09/2024,5.25
10/10/2024,5.03
07/11/2024,5.30
05/12/2024,5.55
16/01/2025,5.45
13/02/2025,5.19
20/03/2025,5.05
10/04/2025,5.09
08/05/2025,5.09
05/06/2025,5.03
10/07/2025,5.02
14/08/2025,4.89
11/09/2025,4.75
09/10/2025,4.46
30/10/2025,4.45
27/11/2025,4.55
31/12/2025,4.67
22/01/2026,4.54
19/02/2026,4.28
26/03/2026,4.73
16/04/2026,4.48
