Fecha,Cierre,Open,High,Low,Vol.,Change %
17/04/26,49.15,49.1,49.17,49.13,12.54K,0.40%
16/04/26,48.96,49.01,49.01,48.94,4.81K,-0.06%
15/04/26,48.99,49,49,48.96,2.74K,-0.13%
14/04/26,49.05,48.97,49.06,48.97,22.67K,0.23%
13/04/26,48.94,48.88,48.95,48.83,7.56K,0.16%
10/04/26,48.86,48.9,48.9,48.85,2.91K,-0.11%
09/04/26,48.92,48.87,48.97,48.87,4.48K,0.00%
08/04/26,48.91,49.01,49.01,48.9,4.40K,0.20%
07/04/26,48.82,48.72,48.84,48.69,7.61K,0.15%
06/04/26,48.74,48.74,48.74,48.73,2.91K,-0.16%
02/04/26,48.83,48.85,48.85,48.81,4.53K,0.12%
01/04/26,48.77,48.78,48.83,48.76,6.73K,-0.11%
31/03/26,48.82,48.83,48.85,48.8,9.34K,0.21%
30/03/26,48.72,48.69,48.76,48.68,7.48K,0.12%
27/03/26,48.65,48.53,48.67,48.53,12.17K,0.19%
26/03/26,48.56,48.72,48.72,48.56,7.27K,-0.56%
25/03/26,48.84,48.83,48.87,48.8,5.90K,0.28%
24/03/26,48.7,48.69,48.72,48.62,9.47K,-0.31%
23/03/26,48.85,48.74,48.87,48.73,5.51K,0.25%
20/03/26,48.72,48.83,48.83,48.72,1.94K,-0.53%
19/03/26,48.99,48.9,48.99,48.87,8.18K,-0.04%
18/03/26,49.01,49.13,49.15,49.01,3.72K,-0.39%
17/03/26,49.19,49.2,49.22,49.19,5.85K,0.12%
16/03/26,49.13,49.12,49.16,49.09,17.65K,0.27%
13/03/26,49.01,49.08,49.08,48.99,2.03K,0.02%
12/03/26,48.99,49.07,49.12,48.96,3.44K,-0.32%
11/03/26,49.15,49.21,49.23,49.14,10.92K,-0.23%
10/03/26,49.26,49.36,49.37,49.26,3.95K,-0.20%
09/03/26,49.36,49.25,49.38,49.21,5.78K,0.16%
06/03/26,49.28,49.2,49.35,49.2,4.93K,0.00%
