Fecha,inpc_cierre,inf_real_pct,E_inf_robusta,UI_robusta,UI_robusta_zscore,UI_vs_media,UI_vs_mediana,incertidumbre_inflacion,confianza_survey,dist_sesgada,UI_significativa,n_obs
01/01/20,106.447,0.48,0.208259259,0.271740741,0.591322392,0.271740741,0.25,0.652173913,alta,0,0,27
01/02/20,106.889,0.42,0.32,0.1,0.086385597,0.083904762,0.1,0.3125,alta,1,0,21
01/03/20,106.838,-0.05,-0.11,0.06,-0.031218832,0.06,0.075,1.62,alta,0,0,22
01/04/20,105.755,-1.01,-0.262,-0.748,-2.406828302,-0.748,-0.717,0.546075085,alta,0,1,28
01/05/20,106.162,0.38,0.191666667,0.188333333,0.346095377,0.188333333,0.205,0.957142857,alta,0,0,24
01/06/20,106.743,0.55,0.335,0.215,0.424498331,0.2295,0.215,0.373134328,alta,1,0,20
01/07/20,107.444,0.66,0.236666667,0.423333333,1.037021398,0.423333333,0.39,0.703703704,alta,0,1,27
01/08/20,107.867,0.39,0.324545455,0.065454545,-0.015181866,0.065454545,0.075,0.428571429,alta,0,0,22
01/09/20,108.114,0.23,0.503157895,-0.273157895,-1.010739934,-0.273157895,-0.27,0.2,baja,0,0,19
01/10/20,108.774,0.61,0.7225,-0.1125,-0.538387933,-0.1125,-0.125,0.18707483,alta,0,0,20
01/11/20,108.856,0.08,0.640689655,-0.560689655,-1.856115147,-0.560689655,-0.54,0.435483871,alta,0,1,29
01/12/20,109.271,0.38,0.420434783,-0.040434783,-0.326508216,-0.040434783,-0.04,0.488095238,alta,0,0,23
01/01/21,110.21,0.86,0.34,0.52,1.321232103,0.477142857,0.52,0.441176471,alta,1,1,21
01/02/21,110.907,0.63,0.295,0.335,0.777311618,0.329090909,0.335,0.389830508,alta,1,0,22
01/03/21,111.824,0.83,-0.231071429,1.061071429,2.912042017,1.061071429,1.075,0.918367347,alta,0,1,28
01/04/21,112.19,0.33,-0.27,0.6,1.556440961,0.576451613,0.6,0.777777778,alta,1,1,31
01/05/21,112.419,0.2,0.12173913,0.07826087,0.022470147,0.07826087,0.08,1.166666667,alta,0,0,23
01/06/21,113.018,0.53,0.338,0.192,0.356875784,0.192,0.205,0.392307692,alta,0,0,20
01/07/21,113.682,0.59,0.289,0.301,0.677347853,0.301,0.305,0.48245614,alta,0,0,20
01/08/21,113.899,0.19,0.301052632,-0.111052632,-0.534132511,-0.111052632,-0.12,0.387096774,baja,0,0,19
01/09/21,114.601,0.62,0.485714286,0.134285714,0.187189392,0.134285714,0.14,0.229166667,alta,0,0,21
01/10/21,115.561,0.84,0.548214286,0.291785714,0.650256832,0.291785714,0.285,0.373873874,alta,0,0,28
01/11/21,116.884,1.14,0.499130435,0.640869565,1.676602008,0.640869565,0.65,0.285714286,alta,0,1,23
01/12/21,117.308,0.36,0.509565217,-0.149565217,-0.647363775,-0.149565217,-0.12,0.4375,alta,0,0,23
01/01/22,118.002,0.59,0.42,0.17,0.292193348,0.172608696,0.17,0.30952381,alta,1,0,23
01/02/22,118.981,0.83,0.465,0.365,0.86551494,0.323636364,0.365,0.311827957,alta,1,1,22
01/03/22,120.159,0.99,0.122333333,0.867666667,2.343410601,0.867666667,0.855,2.203703704,alta,0,1,30
01/04/22,120.809,0.54,0.069230769,0.470769231,1.176488191,0.470769231,0.515,11.1,alta,0,1,26
01/05/22,121.022,0.18,0.434285714,-0.254285714,-0.955253632,-0.254285714,-0.24,0.333333333,alta,0,0,21
01/06/22,122.044,0.84,0.554285714,0.285714286,0.632406162,0.285714286,0.28,0.25,alta,0,0,21
01/07/22,122.948,0.74,0.45173913,0.28826087,0.639893401,0.28826087,0.29,0.311111111,alta,0,0,23
01/08/22,123.803,0.7,0.5345,0.1655,0.27896285,0.1655,0.165,0.224299065,alta,0,0,20
01/09/22,124.571,0.62,0.692105263,-0.072105263,-0.419622934,-0.072105263,-0.08,0.192857143,baja,0,0,19
01/10/22,125.276,0.57,0.905416667,-0.335416667,-1.193787618,-0.335416667,-0.345,0.177595628,alta,0,0,24
01/11/22,125.997,0.58,0.677307692,-0.097307692,-0.493720865,-0.097307692,-0.075,0.309160305,alta,0,0,26
01/12/22,126.478,0.38,0.579166667,-0.199166667,-0.793197531,-0.199166667,-0.19,0.324561404,alta,0,0,24
01/01/23,127.336,0.68,0.501386364,0.178613636,0.317518391,0.178613636,0.18475,0.297829379,alta,0,0,22
01/02/23,128.046,0.56,0.58,-0.02,-0.266427691,0.00432,-0.02,0.224137931,alta,1,0,25
01/03/23,128.389,0.27,0.1425,0.1275,0.167238642,0.1275,0.135,2.185185185,alta,0,0,24
01/04/23,128.363,-0.02,-0.01,-0.01,-0.237026583,-0.01,0,11,alta,0,0,27
01/05/23,128.084,-0.22,0.442,-0.662,-2.153978779,-0.662,-0.66,0.477272727,alta,0,1,25
01/06/23,128.214,0.1,0.504615385,-0.404615385,-1.397239511,-0.404615385,-0.395,0.348484848,alta,0,1,26
01/07/23,128.832,0.48,0.4,0.08,0.027583382,0.08,0.08,0.225,baja,0,0,19
01/08/23,129.545,0.55,0.474761905,0.075238095,0.013582854,0.075238095,0.08,0.234042553,alta,0,0,21
01/09/23,130.12,0.44,0.545,-0.105,-0.516337103,-0.0841,-0.105,0.211009174,alta,1,0,20
01/10/23,130.609,0.38,0.73,-0.35,-1.236664231,-0.35,-0.335,0.188811189,alta,0,1,22
01/11/23,131.445,0.64,0.52,0.12,0.145187811,0.12,0.14,0.38,alta,0,0,21
01/12/23,132.373,0.71,0.52092,0.18908,0.348290661,0.18908,0.18,0.283018868,alta,0,0,25
01/01/24,133.555,0.89,0.369,0.521,1.324172214,0.521,0.505,0.272727273,alta,0,1,20
01/02/24,133.681,0.09,0.3325,-0.2425,-0.920602328,-0.2425,-0.265,0.338028169,alta,0,0,20
01/03/24,134.065,0.29,-0.032142857,0.322142857,0.739510194,0.322142857,0.335,4.166666667,alta,0,0,28
01/04/24,134.336,0.2,-0.150347826,0.350347826,0.822435926,0.350347826,0.36,0.875,alta,0,1,23
01/05/24,134.087,-0.19,0.201208333,-0.391208333,-1.357821293,-0.391208333,-0.405,0.697674419,alta,0,1,24
01/06/24,134.594,0.38,0.36226087,0.01773913,-0.15547047,0.01773913,0.03,0.397142857,alta,0,0,23
01/07/24,136.003,1.05,0.277740741,0.772259259,2.062902257,0.772259259,0.74,0.725806452,alta,0,1,27
01/08/24,136.013,0.01,0.330869565,-0.320869565,-1.151017527,-0.320869565,-0.34,0.428571429,alta,0,0,23
01/09/24,136.08,0.05,0.445454545,-0.395454545,-1.370305627,-0.395454545,-0.395,0.342696629,alta,0,1,22
01/10/24,136.828,0.55,0.605695652,-0.055695652,-0.37137686,-0.055695652,-0.06,0.196721311,alta,0,0,23
01/11/24,137.424,0.44,0.47,-0.03,-0.295828798,-0.02004,-0.03,0.319148936,alta,1,0,25
01/12/24,137.949,0.38,0.5216,-0.1416,-0.623945155,-0.1416,-0.14,0.307692308,alta,0,0,25
01/01/25,138.343,0.29,0.334782609,-0.044782609,-0.339291305,-0.044782609,-0.05,0.323529412,alta,0,0,23
01/02/25,138.726,0.28,0.401578947,-0.121578947,-0.565081043,-0.121578947,-0.11,0.256410256,baja,0,0,19
01/03/25,139.161,0.31,0.066923077,0.243076923,0.507047593,0.243076923,0.255,2.636363636,alta,0,0,26
