fecha,security,benchmark,r2_pre,r2_post,delta,n_obs_pre,n_obs_post
01/01/26 0:00,BBVA,USDMXN,0.030412,0.132819,0.102407,6,6
02/01/26 0:00,BBVA,USDMXN,0.014554,0.167613,0.153059,5,7
05/01/26 0:00,BBVA,USDMXN,0.459625,0.023089,-0.436536,4,9
06/01/26 0:00,BBVA,USDMXN,0.424929,0.04651,-0.378419,5,9
07/01/26 0:00,BBVA,USDMXN,0.590076,0.008851,-0.581225,6,8
08/01/26 0:00,BBVA,USDMXN,0.097577,0.235382,0.137805,7,7
09/01/26 0:00,BBVA,USDMXN,0.136106,0.210406,0.0743,7,7
12/01/26 0:00,BBVA,USDMXN,0.132819,3.90E-05,-0.13278,6,9
13/01/26 0:00,BBVA,USDMXN,0.082293,0.032625,-0.049668,6,9
14/01/26 0:00,BBVA,USDMXN,0.151222,0.109477,-0.041745,7,8
15/01/26 0:00,BBVA,USDMXN,0.128876,0.113248,-0.015628,8,7
16/01/26 0:00,BBVA,USDMXN,0.046525,0.115771,0.069246,8,7
19/01/26 0:00,BBVA,USDMXN,0.226231,0.183674,-0.042557,6,9
20/01/26 0:00,BBVA,USDMXN,0.009703,5.50E-05,-0.009648,6,9
21/01/26 0:00,BBVA,USDMXN,0.095099,0.001262,-0.093837,7,8
22/01/26 0:00,BBVA,USDMXN,0.096489,0.001238,-0.095251,8,7
23/01/26 0:00,BBVA,USDMXN,6.50E-05,0.000331,0.000266,8,7
26/01/26 0:00,BBVA,USDMXN,0.073904,0.17631,0.102406,6,9
27/01/26 0:00,BBVA,USDMXN,0.120584,0.194586,0.074002,6,9
28/01/26 0:00,BBVA,USDMXN,0.003438,0.156534,0.153096,7,8
29/01/26 0:00,BBVA,USDMXN,0.193275,0.14054,-0.052735,8,7
30/01/26 0:00,BBVA,USDMXN,0.186342,0.160751,-0.025591,8,7
02/02/26 0:00,BBVA,USDMXN,0.002293,0.483021,0.480728,6,9
03/02/26 0:00,BBVA,USDMXN,0.024537,0.424001,0.399464,6,9
04/02/26 0:00,BBVA,USDMXN,0.017016,0.393044,0.376028,7,8
05/02/26 0:00,BBVA,USDMXN,0.039323,0.547674,0.508351,8,7
06/02/26 0:00,BBVA,USDMXN,0.17272,0.058778,-0.113942,8,7
09/02/26 0:00,BBVA,USDMXN,0.141389,0.047572,-0.093817,6,9
10/02/26 0:00,BBVA,USDMXN,0.495857,0.104536,-0.391321,6,9
11/02/26 0:00,BBVA,USDMXN,0.477112,0.10261,-0.374502,7,8
12/02/26 0:00,BBVA,USDMXN,0.474917,0.097289,-0.377628,8,7
13/02/26 0:00,BBVA,USDMXN,0.497823,0.246604,-0.251219,8,7
16/02/26 0:00,BBVA,USDMXN,0.189213,0.133672,-0.055541,6,9
17/02/26 0:00,BBVA,USDMXN,1.00E-05,0.095698,0.095688,6,9
18/02/26 0:00,BBVA,USDMXN,0.000532,0.101063,0.100531,7,8
19/02/26 0:00,BBVA,USDMXN,0.073743,0.025579,-0.048164,8,7
20/02/26 0:00,BBVA,USDMXN,0.287352,0.017331,-0.270021,8,7
23/02/26 0:00,BBVA,USDMXN,0.257989,0.458117,0.200128,6,9
24/02/26 0:00,BBVA,USDMXN,0.109953,0.536193,0.42624,6,9
25/02/26 0:00,BBVA,USDMXN,0.260311,0.651587,0.391276,7,8
26/02/26 0:00,BBVA,USDMXN,0.192677,0.63379,0.441113,8,7
27/02/26 0:00,BBVA,USDMXN,0.154919,0.502103,0.347184,8,7
02/03/26 0:00,BBVA,USDMXN,0.049322,0.445342,0.39602,6,9
03/03/26 0:00,BBVA,USDMXN,0.000481,0.492465,0.491984,6,9
04/03/26 0:00,BBVA,USDMXN,0.322332,0.320453,-0.001879,7,8
05/03/26 0:00,BBVA,USDMXN,0.460742,0.164869,-0.295873,8,7
06/03/26 0:00,BBVA,USDMXN,0.541458,0.138564,-0.402894,8,7
09/03/26 0:00,BBVA,USDMXN,0.629506,0.017449,-0.612057,6,9
10/03/26 0:00,BBVA,USDMXN,0.514539,0.029121,-0.485418,6,9
11/03/26 0:00,BBVA,USDMXN,0.415018,0.019694,-0.395324,7,8
12/03/26 0:00,BBVA,USDMXN,0.416332,0.016659,-0.399673,8,7
13/03/26 0:00,BBVA,USDMXN,0.491847,0.002296,-0.489551,8,7
16/03/26 0:00,BBVA,USDMXN,0.145464,0.018401,-0.127063,6,9
17/03/26 0:00,BBVA,USDMXN,0.133895,0.061705,-0.07219,6,9
18/03/26 0:00,BBVA,USDMXN,0.134591,0.059053,-0.075538,7,8
19/03/26 0:00,BBVA,USDMXN,0.054482,0.148317,0.093835,8,7
20/03/26 0:00,BBVA,USDMXN,0.036161,0.529412,0.493251,8,7
23/03/26 0:00,BBVA,USDMXN,0.067234,0.643335,0.576101,6,9
24/03/26 0:00,BBVA,USDMXN,0.001387,0.598759,0.597372,6,8
25/03/26 0:00,BBVA,USDMXN,0.002064,0.703057,0.700993,7,7
26/03/26 0:00,BBVA,USDMXN,0.00779,0.831545,0.823755,8,6
