"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.05.2026","17.4580","17.4590","17.4885","17.3809","","-0.06%"
"01.04.2026","17.4678","17.9440","17.9621","17.1251","","-2.63%"
"01.03.2026","17.9390","17.2458","18.1695","17.2242","","4.12%"
"01.02.2026","17.2295","17.4735","17.5743","17.0850","","-1.35%"
"01.01.2026","17.4650","18.0058","18.0460","17.1097","","-3.03%"
"01.12.2025","18.0098","18.3030","18.3330","17.8802","","-1.59%"
"01.11.2025","18.3000","18.5526","18.7765","18.2512","","-1.41%"
"01.10.2025","18.5620","18.3225","18.6425","18.2362","","1.36%"
"01.09.2025","18.3127","18.6505","18.8715","18.1970","","-1.84%"
"01.08.2025","18.6555","18.8900","18.9860","18.5091","","-1.18%"
"01.07.2025","18.8779","18.7422","18.9096","18.5102","","0.70%"
"01.06.2025","18.7470","19.4280","19.4452","18.7373","","-3.52%"
"01.05.2025","19.4300","19.6200","19.7865","19.1815","","-0.94%"
"01.04.2025","19.6145","20.4784","21.0880","19.4694","","-4.19%"
"01.03.2025","20.4715","20.5265","21.0035","19.8457","","-0.36%"
"01.02.2025","20.5445","21.1600","21.2942","20.1936","","-0.67%"
"01.01.2025","20.6830","20.8235","20.9425","20.1321","","-0.66%"
"01.12.2024","20.8197","20.3750","20.9105","20.0204","","2.25%"
"01.11.2024","20.3610","20.0325","20.8365","19.7600","","1.74%"
"01.10.2024","20.0120","19.7105","20.2345","19.1112","","1.70%"
"01.09.2024","19.6780","19.7255","20.1555","19.0654","","-0.16%"
"01.08.2024","19.7100","18.6000","20.0430","18.4100","","5.97%"
"01.07.2024","18.6000","18.3047","18.9492","17.6025","","1.47%"
"01.06.2024","18.3300","16.9825","18.9955","16.9170","","7.87%"
"01.05.2024","16.9930","17.1510","17.1742","16.5240","","-0.83%"
"01.04.2024","17.1355","16.5885","17.9465","16.2602","","3.66%"
"01.03.2024","16.5310","17.0655","17.0755","16.5095","","-3.04%"
"01.02.2024","17.0490","17.2190","17.2955","16.9939","","-0.95%"
"01.01.2024","17.2120","16.9734","17.3965","16.7845","","1.52%"
"01.12.2023","16.9540","17.3859","17.5655","16.8598","","-2.44%"
"01.11.2023","17.3784","18.0465","18.1164","17.0326","","-3.65%"
"01.10.2023","18.0370","17.4150","18.4905","17.3790","","3.68%"
"01.09.2023","17.3970","17.0350","17.8186","16.9711","","2.17%"
"01.08.2023","17.0270","16.7450","17.4350","16.6925","","1.79%"
"01.07.2023","16.7280","17.1305","17.3968","16.6248","","-2.25%"
"01.06.2023","17.1135","17.6895","17.7282","17.0219","","-3.21%"
"01.05.2023","17.6819","17.9850","18.0791","17.4100","","-1.66%"
"01.04.2023","17.9800","18.0150","18.4080","17.9327","","-0.17%"
"01.03.2023","18.0099","18.3080","19.2348","17.8975","","-1.59%"
"01.02.2023","18.3010","18.8355","19.2922","18.2765","","-2.76%"
"01.01.2023","18.8200","19.4865","19.5369","18.5655","","-3.36%"
"01.12.2022","19.4740","19.2680","19.9191","19.1075","","1.16%"
"01.11.2022","19.2510","19.8110","19.8445","19.0403","","-2.74%"
"01.10.2022","19.7940","20.1475","20.1775","19.7805","","-1.72%"
"01.09.2022","20.1400","20.1400","20.5810","19.7518","","0.03%"
"01.08.2022","20.1348","20.3830","20.8335","19.8110","","-1.06%"
"01.07.2022","20.3500","20.1035","21.0566","20.0875","","1.30%"
"01.06.2022","20.0890","19.6574","20.7045","19.4700","","2.22%"
"01.05.2022","19.6525","20.4030","20.5131","19.4125","","-3.72%"
"01.04.2022","20.4110","19.8695","20.6450","19.7255","","2.85%"
"01.03.2022","19.8450","20.4700","21.4687","19.8140","","-3.01%"
"01.02.2022","20.4610","20.6340","20.7915","20.1565","","-0.80%"
"01.01.2022","20.6250","20.4944","20.9134","20.2753","","0.67%"
"01.12.2021","20.4870","21.4475","21.5226","20.3269","","-4.43%"
"01.11.2021","21.4368","20.5745","22.1550","20.2463","","4.34%"
"01.10.2021","20.5450","20.6415","20.9037","20.1138","","-0.41%"
"01.09.2021","20.6300","20.0730","20.6854","19.8412","","2.83%"
"01.08.2021","20.0630","19.8990","20.4678","19.8015","","1.05%"
"01.07.2021","19.8550","19.9450","20.2525","19.7444","","-0.38%"
"01.06.2021","19.9310","19.9535","20.7507","19.5967","","-0.08%"
"01.05.2021","19.9461","20.2415","20.3365","19.7183","","-1.38%"
"01.04.2021","20.2260","20.4390","20.4980","19.7800","","-0.96%"
"01.03.2021","20.4220","20.8620","21.6381","20.2803","","-2.04%"
"01.02.2021","20.8480","20.4750","21.0510","19.8850","","1.28%"
"01.01.2021","20.5855","19.8885","20.6045","19.5436","","3.60%"
"01.12.2020","19.8710","20.1825","20.6625","19.6902","","-1.46%"
"01.11.2020","20.1660","21.2440","21.9950","19.9272","","-4.75%"
"01.10.2020","21.1710","22.1065","22.1400","20.8244","","-4.20%"
"01.09.2020","22.0990","21.8915","22.7016","20.8382","","1.01%"
"01.08.2020","21.8785","22.2644","22.9225","21.7404","","-1.76%"
"01.07.2020","22.2714","22.9987","23.0932","21.8384","","-3.12%"
"01.06.2020","22.9889","22.2801","23.2305","21.4601","","3.71%"
"01.05.2020","22.1675","24.1750","24.8897","21.9972","","-8.21%"
"01.04.2020","24.1510","23.7190","25.7573","23.2525","","1.84%"
"01.03.2020","23.7140","19.8645","25.4480","19.1551","","20.92%"
"01.02.2020","19.6110","18.8550","19.9025","18.5220","","4.12%"
"01.01.2020","18.8353","18.9325","19.0365","18.6444","","-0.47%"
"01.12.2019","18.9250","19.5270","19.6305","18.7995","","-3.26%"
"01.11.2019","19.5620","19.2345","19.6619","19.0460","","1.74%"
"01.10.2019","19.2280","19.7325","19.8654","19.0144","","-2.53%"
"01.09.2019","19.7275","20.0630","20.1690","19.3194","","-1.65%"
"01.08.2019","20.0575","19.1340","20.2610","19.1133","","4.87%"
"01.07.2019","19.1265","19.1915","19.3465","18.8613","","-0.47%"
"01.06.2019","19.2162","19.6027","19.8818","18.8909","","-2.02%"
"01.05.2019","19.6120","18.9477","19.8333","18.7886","","3.55%"
"01.04.2019","18.9402","19.3730","19.3869","18.7459","","-2.48%"
"01.03.2019","19.4215","19.2825","19.6262","18.7464","","0.75%"
"01.02.2019","19.2775","19.1065","19.4761","19.0154","","0.90%"
"01.01.2019","19.1058","19.6513","19.7241","18.8754","","-2.72%"
"01.12.2018","19.6403","20.4053","20.6623","19.6048","","-3.71%"
"01.11.2018","20.3960","20.3398","20.6395","19.5739","","0.33%"
"01.10.2018","20.3295","18.7184","20.4750","18.4989","","8.67%"
"01.09.2018","18.7080","19.0850","19.6893","18.6670","","-1.95%"
"01.08.2018","19.0800","18.6480","19.3768","18.4023","","2.34%"
"01.07.2018","18.6430","19.8050","20.2031","18.4958","","-6.36%"
"01.06.2018","19.9090","19.9090","20.9647","19.5610","","0.01%"
"01.05.2018","19.9080","18.7140","20.0555","18.6940","","6.39%"
"01.04.2018","18.7125","18.1878","19.1467","17.9355","","3.10%"
"01.03.2018","18.1500","18.8403","18.9820","18.1537","","-3.61%"
"01.02.2018","18.8305","18.6000","18.9763","18.3070","","1.29%"
"01.01.2018","18.5905","19.6600","19.6712","18.3020","","-5.38%"
