Fecha,Cierre,Apertura,Máximo,Mínimo,Vol.,% var.,Volumen
13.05.2026,141.36,140.88,145.48,140.72,193.98K,-0.17%,193980.0
12.05.2026,141.6,140.71,144.48,140.71,199.15K,-0.14%,199150.0
11.05.2026,141.8,138.25,144.43,138.25,147.53K,1.00%,147530.0
08.05.2026,140.4,139.95,142.83,139.5,259.61K,0.39%,259610.0
07.05.2026,139.85,136.13,143.71,134.68,350.57K,2.73%,350570.0
06.05.2026,136.13,136.49,137.3,134.64,187.91K,-0.16%,187910.0
05.05.2026,136.35,132.52,136.94,131.97,680.94K,3.74%,680940.0
04.05.2026,131.43,132.8,135.34,130.86,301.18K,-1.04%,301180.0
30.04.2026,132.81,135.28,135.28,132.3,513.76K,-1.38%,513760.0
29.04.2026,134.67,138.1,138.27,134.23,385.63K,-2.06%,385630.0
28.04.2026,137.5,141.02,143.07,135.5,344.27K,-2.51%,344270.0
27.04.2026,141.04,145.26,145.85,140.53,346.76K,-3.40%,346760.0
24.04.2026,146.0,144.44,147.59,144.44,258.26K,1.23%,258260.0
23.04.2026,144.22,144.34,147.5,143.79,287.36K,-0.56%,287360.0
22.04.2026,145.03,141.92,146.13,141.92,430.01K,1.68%,430010.0
21.04.2026,142.63,144.9,145.74,139.55,504.04K,-0.78%,504040.0
20.04.2026,143.75,144.09,144.96,140.0,571.80K,-0.01%,571800.0
17.04.2026,143.76,143.68,144.49,139.09,506.60K,0.36%,506600.0
16.04.2026,143.25,155.1,155.1,141.71,601.32K,-7.66%,601320.0
15.04.2026,155.13,149.84,156.1,148.04,534.81K,3.32%,534810.0
14.04.2026,150.15,148.82,150.8,148.61,355.36K,0.69%,355360.0
13.04.2026,149.12,148.71,149.75,146.15,284.86K,-0.23%,284860.0
10.04.2026,149.47,144.39,150.34,144.35,633.93K,3.52%,633930.0
09.04.2026,144.39,139.39,144.56,139.21,455.72K,4.00%,455720.0
08.04.2026,138.84,132.43,140.11,132.43,440.43K,4.75%,440430.0
07.04.2026,132.55,133.03,135.79,130.57,338.89K,-1.57%,338890.0
06.04.2026,134.66,135.66,136.73,132.65,142.16K,-1.25%,142160.0
01.04.2026,136.36,134.16,137.24,132.14,386.80K,1.29%,386800.0
31.03.2026,134.62,135.24,136.04,132.23,399.65K,0.34%,399650.0
30.03.2026,134.16,128.19,135.66,128.19,329.87K,5.18%,329870.0
27.03.2026,127.55,130.56,130.75,126.0,300.19K,-2.10%,300190.0
26.03.2026,130.28,130.61,132.5,129.57,308.97K,-1.40%,308970.0
25.03.2026,132.13,126.0,132.8,124.81,506.10K,6.00%,506100.0
24.03.2026,124.65,122.86,126.67,122.86,449.56K,1.46%,449560.0
23.03.2026,122.86,122.01,123.85,120.7,228.62K,0.47%,228620.0
20.03.2026,122.28,123.73,124.55,121.07,1.90M,-1.67%,1900000.0
19.03.2026,124.36,123.49,124.78,121.47,182.70K,0.22%,182700.0
18.03.2026,124.09,123.45,124.49,122.3,261.88K,0.81%,261880.0
17.03.2026,123.09,121.01,123.58,120.93,429.11K,2.23%,429110.0
13.03.2026,120.41,122.02,122.98,120.0,284.38K,-0.32%,284380.0
12.03.2026,120.8,122.54,122.55,119.9,244.64K,-1.86%,244640.0
11.03.2026,123.09,123.9,123.9,121.72,206.93K,-0.44%,206930.0
10.03.2026,123.64,122.7,124.99,122.21,404.57K,0.73%,404570.0
09.03.2026,122.75,121.21,127.0,119.0,571.71K,0.77%,571710.0
06.03.2026,121.81,124.45,125.4,121.5,299.85K,-2.87%,299850.0
05.03.2026,125.41,127.87,128.86,125.03,194.04K,-2.39%,194040.0
04.03.2026,128.48,124.5,128.87,123.65,303.72K,2.77%,303720.0
03.03.2026,125.02,125.61,125.61,120.31,546.37K,-1.47%,546370.0
02.03.2026,126.89,133.69,133.69,125.8,468.72K,-5.97%,468720.0
27.02.2026,134.95,129.63,136.15,127.76,1.03M,3.76%,1030000.0
26.02.2026,130.06,128.38,130.84,128.38,238.61K,1.90%,238610.0
25.02.2026,127.64,132.36,132.82,126.4,462.95K,-4.05%,462950.0
24.02.2026,133.03,132.95,133.76,129.54,281.03K,-0.11%,281030.0
23.02.2026,133.18,130.69,134.04,129.13,352.58K,1.29%,352580.0
20.02.2026,131.48,127.29,131.96,127.29,301.12K,3.16%,301120.0
19.02.2026,127.45,125.98,129.39,125.43,311.11K,1.17%,311110.0
18.02.2026,125.98,128.42,130.48,125.7,446.88K,-1.89%,446880.0
17.02.2026,128.41,127.27,129.5,125.74,205.96K,1.65%,205960.0
16.02.2026,126.32,125.54,128.19,125.54,34.16K,-2.56%,34160.0
13.02.2026,129.64,122.45,129.97,121.4,384.34K,5.40%,384340.0
12.02.2026,123.0,120.2,123.94,119.48,352.27K,1.38%,352270.0
11.02.2026,121.33,122.01,122.76,119.51,414.62K,-0.30%,414620.0
10.02.2026,121.7,120.5,124.37,120.07,499.96K,0.74%,499960.0
09.02.2026,120.81,120.59,121.79,119.46,411.31K,0.18%,411310.0
06.02.2026,120.59,118.71,121.1,117.76,429.24K,2.40%,429240.0
05.02.2026,117.76,120.65,123.66,117.51,409.16K,-3.40%,409160.0
04.02.2026,121.9,123.4,123.43,120.02,447.83K,-1.20%,447830.0
03.02.2026,123.38,120.07,125.24,120.07,567.92K,3.71%,567920.0
30.01.2026,118.97,122.49,123.56,118.13,509.31K,-2.95%,509310.0
29.01.2026,122.59,125.5,126.41,122.26,355.91K,-1.63%,355910.0
28.01.2026,124.62,124.44,126.05,124.0,376.89K,0.48%,376890.0
27.01.2026,124.03,127.4,128.08,123.36,459.86K,-2.65%,459860.0
26.01.2026,127.41,125.25,129.73,125.0,396.60K,1.36%,396600.0
23.01.2026,125.7,122.59,126.2,122.59,456.50K,2.18%,456500.0
22.01.2026,123.02,121.1,123.49,120.67,397.78K,2.02%,397780.0
21.01.2026,120.58,121.99,122.61,120.0,412.86K,-0.37%,412860.0
20.01.2026,121.03,121.75,122.99,120.19,262.28K,-1.81%,262280.0
19.01.2026,123.26,122.46,123.33,122.4,155.07K,0.15%,155070.0
16.01.2026,123.08,121.2,123.5,120.75,445.96K,2.30%,445960.0
15.01.2026,120.31,122.42,122.48,119.78,415.35K,-1.72%,415350.0
14.01.2026,122.42,121.19,122.7,117.65,374.21K,1.55%,374210.0
13.01.2026,120.55,120.5,121.2,118.5,319.13K,-0.21%,319130.0
12.01.2026,120.8,121.0,122.19,119.8,227.49K,-0.61%,227490.0
09.01.2026,121.54,118.69,122.19,118.18,467.88K,2.01%,467880.0
08.01.2026,119.15,117.18,119.78,116.06,305.53K,1.82%,305530.0
07.01.2026,117.02,117.59,117.66,115.2,335.33K,-0.14%,335330.0
06.01.2026,117.18,120.04,120.5,116.72,511.97K,-2.63%,511970.0
05.01.2026,120.34,117.61,120.5,117.02,402.77K,2.44%,402770.0
