Fecha,Cierre,Apertura,Máximo,Mínimo,Vol.,% var.,Volumen
14/05/26,186.0,193.0,197.0,185.0,7.00M,-3.79%,7000000.0
13/05/26,193.19,192.5,195.89,191.57,5.36M,0.57%,5360000.0
12/05/26,192.1,192.33,193.19,190.02,4.04M,-0.03%,4040000.0
11/05/26,192.15,192.04,195.32,191.82,3.20M,-0.44%,3200000.0
08/05/26,193.0,195.48,195.58,192.76,4.43M,-0.95%,4430000.0
07/05/26,194.85,192.85,197.01,192.01,7.31M,0.79%,7310000.0
06/05/26,193.33,191.48,193.51,189.18,5.09M,2.22%,5090000.0
05/05/26,189.13,190.05,190.46,188.53,6.17M,-0.21%,6170000.0
04/05/26,189.53,190.98,192.61,189.01,4.18M,-0.08%,4179999.9999999995
30/04/26,189.68,189.0,193.0,188.5,5.84M,-0.19%,5840000.0
29/04/26,190.04,192.45,192.61,188.39,5.63M,-1.22%,5630000.0
28/04/26,192.38,191.01,193.36,190.41,4.34M,0.24%,4340000.0
27/04/26,191.92,194.81,194.81,191.5,6.45M,-1.39%,6450000.0
24/04/26,194.62,193.59,197.44,193.33,3.74M,0.65%,3740000.0
23/04/26,193.37,195.0,196.93,192.51,5.78M,-0.71%,5780000.0
22/04/26,194.76,196.31,197.27,194.01,5.27M,-0.73%,5270000.0
21/04/26,196.19,200.89,200.9,195.0,5.48M,-2.01%,5480000.0
20/04/26,200.21,196.29,201.5,194.24,6.01M,2.61%,6010000.0
17/04/26,195.11,198.09,198.98,193.01,6.07M,-0.96%,6070000.0
16/04/26,197.0,197.51,198.74,194.87,9.11M,-0.57%,9110000.0
15/04/26,198.12,196.29,198.7,194.01,7.39M,1.19%,7390000.0
14/04/26,195.79,196.99,199.02,194.25,10.16M,-0.29%,10160000.0
13/04/26,196.36,198.95,199.5,196.01,10.21M,-1.30%,10210000.0
10/04/26,198.95,200.99,202.92,198.13,7.70M,-0.71%,7700000.0
09/04/26,200.37,200.13,203.28,198.4,9.30M,-0.22%,9300000.0
08/04/26,200.81,200.19,205.24,200.06,5.84M,1.44%,5840000.0
07/04/26,197.95,198.61,200.83,196.64,6.03M,-0.87%,6030000.0
06/04/26,199.69,202.19,202.5,198.51,1.76M,-0.96%,1760000.0
01/04/26,201.62,198.99,203.0,198.28,5.71M,1.43%,5710000.0
31/03/26,198.78,192.69,201.48,191.06,8.70M,3.63%,8700000.0
30/03/26,191.81,190.02,193.32,190.02,3.62M,1.00%,3620000.0
27/03/26,189.91,191.89,193.49,189.21,4.76M,-0.66%,4760000.0
26/03/26,191.17,194.41,194.81,191.0,5.93M,-2.43%,5930000.0
25/03/26,195.93,189.65,199.74,188.01,7.56M,3.39%,7560000.0
24/03/26,189.5,185.17,190.13,184.4,7.20M,2.09%,7200000.0
23/03/26,185.62,185.0,188.43,184.46,3.67M,0.76%,3670000.0
20/03/26,184.22,187.81,189.28,183.67,14.50M,-2.87%,14500000.0
19/03/26,189.66,191.21,191.68,186.89,3.50M,-1.15%,3500000.0
18/03/26,191.86,192.49,194.0,190.65,5.13M,-0.19%,5130000.0
17/03/26,192.23,190.0,194.76,189.12,5.38M,1.70%,5380000.0
13/03/26,189.02,188.28,191.79,187.4,5.61M,0.60%,5610000.0
12/03/26,187.9,193.19,194.88,187.51,4.95M,-3.27%,4950000.0
11/03/26,194.25,193.24,196.43,192.71,5.70M,-0.12%,5700000.0
10/03/26,194.49,189.3,196.5,189.3,7.78M,2.76%,7780000.0
09/03/26,189.27,190.0,191.39,184.74,5.32M,-0.39%,5320000.0
06/03/26,190.01,191.42,193.38,188.4,5.79M,-1.49%,5790000.0
05/03/26,192.88,195.41,197.98,191.24,6.05M,-2.29%,6050000.0
04/03/26,197.41,188.49,197.89,188.49,8.43M,4.21%,8430000.0
03/03/26,189.44,190.91,191.01,181.61,7.07M,-0.83%,7070000.0
02/03/26,191.03,195.2,195.4,190.01,5.63M,-2.73%,5630000.0
27/02/26,196.39,197.41,198.91,193.81,12.41M,-1.23%,12410000.0
26/02/26,198.83,197.31,200.0,197.31,6.67M,-0.02%,6670000.0
25/02/26,198.87,200.29,200.54,196.43,6.78M,-0.47%,6780000.0
24/02/26,199.8,198.61,200.5,197.68,10.43M,0.46%,10430000.0
23/02/26,198.88,199.1,201.55,196.84,8.83M,-0.56%,8830000.0
20/02/26,200.0,199.5,201.93,199.23,4.49M,-0.17%,4490000.0
19/02/26,200.34,201.41,202.89,199.69,6.07M,-0.71%,6070000.0
18/02/26,201.78,203.7,204.59,201.41,7.04M,-0.94%,7040000.0
17/02/26,203.7,202.75,204.22,199.81,2.97M,0.77%,2970000.0
16/02/26,202.14,203.84,205.12,201.78,500.79K,-1.33%,500790.0
13/02/26,204.87,202.39,205.49,199.61,4.14M,1.75%,4139999.9999999995
12/02/26,201.35,203.99,206.96,198.91,7.61M,-1.02%,7610000.0
11/02/26,203.43,209.19,209.19,200.59,7.18M,-2.25%,7180000.0
10/02/26,208.11,207.5,210.0,207.34,6.78M,0.47%,6780000.0
09/02/26,207.13,209.1,209.64,206.13,6.28M,-0.78%,6280000.0
06/02/26,208.76,200.21,209.66,200.21,7.15M,4.08%,7150000.0
05/02/26,200.58,200.18,201.29,195.49,5.68M,0.41%,5680000.0
04/02/26,199.76,205.95,209.65,198.1,7.48M,-3.04%,7480000.0
03/02/26,206.02,198.79,207.49,195.09,10.76M,4.28%,10760000.0
30/01/26,197.57,203.01,204.0,196.61,9.81M,-3.55%,9810000.0
29/01/26,204.85,199.84,205.79,198.45,12.78M,2.51%,12780000.0
28/01/26,199.84,190.7,199.99,189.43,9.50M,5.14%,9500000.0
27/01/26,190.07,186.3,191.69,185.61,6.69M,1.31%,6690000.0
26/01/26,187.62,186.89,188.08,185.0,5.10M,0.72%,5100000.0
23/01/26,186.27,185.88,187.01,182.09,5.61M,0.23%,5610000.0
22/01/26,185.84,185.88,188.89,183.61,6.85M,-0.52%,6850000.0
21/01/26,186.82,182.98,189.53,182.92,7.88M,2.06%,7880000.0
20/01/26,183.05,181.38,183.69,180.21,5.80M,0.41%,5800000.0
19/01/26,182.3,183.8,183.8,180.81,1.28M,-0.82%,1280000.0
16/01/26,183.8,179.76,185.09,179.76,8.45M,2.09%,8450000.0
15/01/26,180.04,179.5,182.58,177.38,8.89M,0.78%,8890000.0
14/01/26,178.64,170.19,179.0,169.01,8.45M,5.18%,8450000.0
13/01/26,169.84,169.0,170.29,168.2,10.11M,0.55%,10110000.0
12/01/26,168.91,169.5,169.81,168.01,6.14M,-0.08%,6140000.0
09/01/26,169.05,169.58,169.86,166.61,8.23M,0.11%,8230000.0
08/01/26,168.86,168.89,171.44,167.0,7.65M,-0.35%,7650000.0
07/01/26,169.46,169.61,172.78,168.18,4.80M,-0.44%,4800000.0
06/01/26,170.21,174.48,174.74,169.87,4.90M,-2.05%,4900000.0
05/01/26,173.78,171.99,174.5,171.2,4.37M,1.53%,4370000.0
02/01/26,171.16,167.77,172.25,167.77,7.15M,2.53%,7150000.0
31/12/25,166.94,167.38,168.31,166.21,1.81M,-0.04%,1810000.0
30/12/25,167.0,171.41,171.41,166.38,3.05M,-2.35%,3050000.0
29/12/25,171.02,172.56,172.59,170.81,1.74M,-0.40%,1740000.0
26/12/25,171.71,171.68,172.69,171.01,708.30K,-0.17%,708300.0
24/12/25,172.0,170.77,172.48,169.62,568.66K,0.94%,568660.0
23/12/25,170.4,169.61,171.35,168.5,3.60M,0.35%,3600000.0
22/12/25,169.8,168.91,170.39,167.39,4.72M,0.53%,4720000.0
19/12/25,168.91,169.59,171.0,168.01,22.12M,-0.40%,22120000.0
18/12/25,169.59,164.91,170.15,164.0,5.45M,3.13%,5450000.0
17/12/25,164.44,167.89,168.09,164.0,6.83M,-1.45%,6830000.0
16/12/25,166.86,175.39,175.39,166.18,6.49M,-4.37%,6490000.0
15/12/25,174.49,175.39,177.23,174.01,5.26M,-0.31%,5260000.0
11/12/25,175.03,169.35,175.56,169.35,5.87M,3.42%,5870000.0
10/12/25,169.25,169.5,172.19,169.02,4.23M,-0.85%,4230000.0
09/12/25,170.7,169.96,172.87,168.75,10.66M,0.93%,10660000.0
08/12/25,169.12,174.01,174.18,168.41,5.89M,-3.39%,5890000.0
05/12/25,175.06,174.81,176.89,174.01,5.95M,0.14%,5950000.0
04/12/25,174.81,174.41,176.63,173.14,6.86M,-0.69%,6860000.0
03/12/25,176.02,177.3,178.76,174.99,8.35M,-0.71%,8350000.0
02/12/25,177.27,176.44,178.18,174.84,8.94M,0.78%,8940000.0
01/12/25,175.9,174.04,176.86,173.8,6.22M,0.52%,6220000.0
28/11/25,174.99,176.0,177.39,173.01,3.05M,-0.66%,3050000.0
27/11/25,176.15,177.24,177.94,174.65,1.19M,-0.31%,1190000.0
26/11/25,176.7,176.23,178.81,175.84,6.19M,-0.11%,6190000.0
25/11/25,176.89,171.8,177.27,171.8,7.89M,2.60%,7890000.0
24/11/25,172.4,172.86,174.29,171.81,12.72M,-0.27%,12720000.0
21/11/25,172.86,175.99,176.19,171.48,5.16M,-1.60%,5160000.0
20/11/25,175.67,173.55,176.47,173.46,3.75M,1.27%,3750000.0
19/11/25,173.47,172.65,173.99,172.0,3.31M,0.48%,3310000.0
18/11/25,172.64,174.44,175.88,171.0,5.51M,-1.39%,5510000.0
14/11/25,175.08,174.35,178.41,174.02,4.68M,-0.27%,4680000.0
13/11/25,175.55,178.89,179.48,174.02,4.80M,-1.84%,4800000.0
12/11/25,178.84,184.25,185.18,177.61,7.08M,-3.42%,7080000.0
11/11/25,185.18,179.22,186.44,178.03,8.22M,3.30%,8220000.000000001
10/11/25,179.26,178.3,179.8,177.3,6.35M,0.77%,6350000.0
07/11/25,177.89,177.5,179.32,176.43,4.21M,0.45%,4210000.0
06/11/25,177.1,177.19,178.81,175.25,5.04M,0.29%,5040000.0
05/11/25,176.59,176.01,179.1,172.88,9.55M,-0.55%,9550000.0
04/11/25,177.57,173.01,177.93,172.88,4.36M,1.91%,4360000.0
03/11/25,174.25,174.85,174.85,172.6,2.49M,-0.34%,2490000.0
31/10/25,174.85,173.18,175.37,172.3,7.41M,0.96%,7410000.0
30/10/25,173.18,171.01,175.35,171.01,5.79M,-1.03%,5790000.0
29/10/25,174.99,173.46,175.47,172.5,4.24M,1.01%,4240000.0
28/10/25,173.24,170.62,173.89,170.62,8.02M,0.52%,8020000.0
27/10/25,172.35,173.98,174.0,171.88,5.25M,0.53%,5250000.0
24/10/25,171.44,174.95,174.95,170.45,6.88M,-0.22%,6880000.0
23/10/25,171.82,171.43,173.37,170.66,6.10M,-0.56%,6100000.0
22/10/25,172.79,172.99,173.96,171.36,10.00M,-0.22%,10000000.0
21/10/25,173.17,170.39,175.0,170.39,5.94M,1.14%,5940000.0
20/10/25,171.21,174.79,174.79,169.5,4.85M,-1.06%,4850000.0
17/10/25,173.04,176.69,178.1,169.14,4.31M,-2.82%,4310000.0
16/10/25,178.07,175.01,179.5,175.01,4.43M,1.03%,4430000.0
15/10/25,176.26,173.89,177.42,172.2,28.77M,1.70%,28770000.0
14/10/25,173.31,176.12,177.36,172.7,4.88M,-2.06%,4880000.0
13/10/25,176.96,175.01,177.15,174.0,5.04M,1.28%,5040000.0
