Fecha,INPC,year,month,base,Var%
2018-01-01 00:00:00,98.795,2018,1,98.795,0.0
2018-02-01 00:00:00,99.171,2018,2,98.795,0.380586062047672
2018-03-01 00:00:00,99.492,2018,3,98.795,0.705501290551136
2018-04-01 00:00:00,99.155,2018,4,98.795,0.36439091047117955
2018-05-01 00:00:00,98.994,2018,5,98.795,0.20142719773268425
2018-06-01 00:00:00,99.376,2018,6,98.795,0.5880864416215381
2018-07-01 00:00:00,99.909,2018,7,98.795,1.127587428513599
2018-08-01 00:00:00,100.492,2018,8,98.795,1.7176982640821903
2018-09-01 00:00:00,100.917,2018,9,98.795,2.1478819778328884
2018-10-01 00:00:00,101.44,2018,10,98.795,2.6772609949896164
2018-11-01 00:00:00,102.303,2018,11,98.795,3.550786983146925
2018-12-01 00:00:00,103.02,2018,12,98.795,4.276532213168682
2019-01-01 00:00:00,103.108,2019,1,103.02,0.0854203067365722
2019-02-01 00:00:00,103.079,2019,2,103.02,0.05727043292564904
2019-03-01 00:00:00,103.476,2019,3,103.02,0.44263249854397113
2019-04-01 00:00:00,103.531,2019,4,103.02,0.4960201902543204
2019-05-01 00:00:00,103.233,2019,5,103.02,0.20675596971462262
2019-06-01 00:00:00,103.299,2019,6,103.02,0.2708211997670462
2019-07-01 00:00:00,103.687,2019,7,103.02,0.6474470976509439
2019-08-01 00:00:00,103.67,2019,8,103.02,0.63094544748592
2019-09-01 00:00:00,103.942,2019,9,103.02,0.8949718501261916
2019-10-01 00:00:00,104.503,2019,10,103.02,1.4395263055717367
2019-11-01 00:00:00,105.346,2019,11,103.02,2.2578140166958027
2019-12-01 00:00:00,105.934,2019,12,103.02,2.828576975344599
2020-01-01 00:00:00,106.447,2020,1,105.934,0.48426378688617433
2020-02-01 00:00:00,106.889,2020,2,105.934,0.9015047104801166
2020-03-01 00:00:00,106.838,2020,3,105.934,0.8533615269884942
2020-04-01 00:00:00,105.755,2020,4,105.934,-0.1689731342156442
2020-05-01 00:00:00,106.162,2020,5,105.934,0.2152283497272034
2020-06-01 00:00:00,106.743,2020,6,105.934,0.7636830479355039
2020-07-01 00:00:00,107.444,2020,7,105.934,1.4254158249476179
2020-08-01 00:00:00,107.867,2020,8,105.934,1.8247210527309488
2020-09-01 00:00:00,108.114,2020,9,105.934,2.0578850982687413
