Crecimiento_de_Ventas_YoY(%),Crecimiento_de_EBITDA_YoY(%),Crecimiento_de_Utilidad_Neta_YoY(%),Margen_EBITDA,Margen_EBIT,EBITDA,Deuda_Neta/EBITDA,Ponderado
13.20%,3.10%,24.71%,0.197,0.132511176,8.807,1.006,-0.0082
0.15%,21.70%,91.07%,0.209,0.152144252,10.006,0.94,0.01598
13.40%,7.50%,34.68%,0.193,0.135111445,9.319,0.85,-0.00272
14.60%,6.50%,79.87%,0.2,0.146484338,10.648,0.91,0.01292
13.37%,11.58%,1.49%,0.19195,0.133974196,9.827,0.86,-0.00234
13.35%,6.00%,24.74%,0.185081,0.133799615,10.607,0.855,0.0325
12.84%,14.02%,29.72%,0.1861,0.12863056,10.626,0.8164,0.01076
14.72%,12.30%,21.70%,0.195,0.147741988,11.954,0.89,0.00622
13.46%,15.17%,29.40%,0.1834,0.135164931,10.521,0.81,-0.0101
13.94%,16.02%,10.25%,0.1862,0.139712481,11.438,0.83,0.0141
13.50%,11.33%,22.37%,0.188,0.135104055,11.829,0.65,0.01042
14.64%,0.10%,23.40%,0.1989,0.146387603,13.148,0.814,-0.00518
13.50%,21.66%,28.70%,0.1871,0.135042789,11.943,0.69,0.0254
14.00%,21.71%,13.16%,0.2,0.140628608,13.922,0.62,0.02104
13.80%,15.00%,11.07%,0.201,0.138475022,14.001,0.57,0.00352
14.30%,22.50%,32.30%,0.213,0.16,16.104,0.68,0.01932
10.10%,11.00%,2.70%,0.189,0.132,13.254,0.74,-0.01758
5%,-3.80%,-5.30%,0.184,0.134,13.388,0.79,-0.01318
3.30%,3.20%,0.20%,0.201,0.143,14.449,0.77,0.01456
