Utilidad-neta,Ventas-netas,Margen-neto,Pasivo-total, UAII, Gasto-por-intereses,Cobertura-Intereses-flujoOperativo,Ponderado
3.106,44.517,1.131,148.077,5.899,1.308,6.73,-0.0082
3.668,47.639,1.323,145.499,7.248,1.269,7.294,0.01598
3.473,47.916,1.03,146.344,6.474,1.41,7.027,-0.00272
6.075,53.091,0.748,143.995,7.777,1.227,7.39,0.01292
3.152,51.077,2.194,160.459,6.843,1.239,7.93,-0.00234
4.575,57.19,0.573,152.445,7.652,1.146,8.558,0.0325
4.505,57.016,0.682,144.794,7.334,0.69,10.08,0.01076
7.396,61.005,1.091,146.118,9.013,1.011,11.954,0.00622
4.078,57.145,1.398,154.314,7.724,0.871,10.521,-0.0101
5.044,61.283,1.376,139.63,8.562,0.934,12.101,0.0141
5.512,62.611,0.0552,143.791,8.459,0.986,12.032,0.01042
5.668,66.078,1.285,139.766,9.673,1.061,11.85,-0.00518
5.247,63.802,0.1188,152.218,8.616,1.173,10.17,0.0254
5.708,69.296,0.0885,153.136,9.745,1.157,11.09,0.02104
6.123,69.601,0.0823,160.076,9.638,1.058,11.73,0.00352
7.499,75.528,0.099,157.444,12.092,1.065,12.511,0.01932
5.139,70.073,0.073,152.339,9.248,1.288,7.181,-0.01758
5.312,72.852,0.073,153.516,9.767,1.475,6.624,-0.01318
6.137,71.884,0.085,165.861,10.291,1.322,7.785,0.01456
