Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
11.12.2025,7.29,7.38,7.38,7.16,104.74K,1.25%
10.12.2025,7.2,7.28,7.28,7.13,1.32M,0.00%
09.12.2025,7.2,7.28,7.39,7.18,371.71K,-2.17%
08.12.2025,7.36,7.6,7.6,7.1,212.19K,-1.60%
05.12.2025,7.48,7.49,7.49,7.4,404.19K,0.81%
04.12.2025,7.42,7.46,7.46,7.18,413.44K,0.27%
03.12.2025,7.4,7.16,7.43,7.1,398.51K,3.35%
02.12.2025,7.16,7.0,7.2,7.0,455.34K,1.56%
01.12.2025,7.05,7.24,7.24,6.9,143.76K,-2.62%
28.11.2025,7.24,7.23,7.24,6.88,289.14K,0.56%
27.11.2025,7.2,7.2,7.25,7.0,307.40K,0.56%
26.11.2025,7.16,7.16,7.25,7.02,101.23K,-1.24%
25.11.2025,7.25,7.25,7.25,7.18,201.28K,0.69%
24.11.2025,7.2,7.27,7.3,6.9,111.96K,2.86%
21.11.2025,7.0,7.33,7.38,7.0,218.85K,-4.11%
20.11.2025,7.3,7.29,7.56,7.29,203.28K,0.83%
19.11.2025,7.24,7.1,7.37,7.1,111.38K,1.97%
18.11.2025,7.1,7.41,7.64,7.1,326.01K,-2.34%
14.11.2025,7.27,7.01,7.28,7.01,315.23K,0.00%
13.11.2025,7.27,7.5,7.7,7.2,103.29K,-4.84%
12.11.2025,7.64,7.64,7.65,7.63,200.11K,1.06%
11.11.2025,7.56,7.69,7.69,7.5,305.90K,1.20%
10.11.2025,7.47,7.53,7.69,7.4,195.59K,-0.80%
07.11.2025,7.53,7.65,7.65,7.53,402.10K,0.00%
06.11.2025,7.53,7.69,7.69,7.53,402.84K,-2.08%
05.11.2025,7.69,7.68,7.7,7.54,109.41K,2.12%
04.11.2025,7.53,7.54,7.7,7.5,301.99K,-0.92%
03.11.2025,7.6,7.67,7.7,7.5,11.83K,-1.30%
31.10.2025,7.7,7.5,7.7,7.5,2.68K,1.32%
30.10.2025,7.6,7.55,7.73,7.55,141.48K,-1.04%
29.10.2025,7.68,7.55,7.78,7.55,205.09K,1.59%
28.10.2025,7.56,7.58,7.73,7.55,215.04K,-0.53%
27.10.2025,7.6,7.73,7.73,7.6,321.18K,-1.68%
24.10.2025,7.73,7.62,7.75,7.24,184.29K,-0.64%
23.10.2025,7.78,7.58,7.79,7.51,311.29K,0.52%
22.10.2025,7.74,7.63,7.8,7.49,11.65K,1.57%
21.10.2025,7.62,7.74,7.98,7.49,116.75K,-3.54%
20.10.2025,7.9,7.7,8.19,7.65,86.35K,3.95%
17.10.2025,7.6,7.38,7.7,7.29,27.13K,2.01%
16.10.2025,7.45,7.08,7.5,7.08,62.39K,5.23%
15.10.2025,7.08,7.08,7.08,7.0,1.04M,0.00%
14.10.2025,7.08,7.05,7.08,7.0,3.00K,1.14%
13.10.2025,7.0,7.0,7.0,6.8,19.95K,0.00%
10.10.2025,7.0,7.0,7.1,6.91,30.68K,0.00%
09.10.2025,7.0,6.88,7.05,6.88,19.80K,1.45%
08.10.2025,6.9,6.99,7.08,6.86,9.33K,-0.72%
07.10.2025,6.95,7.0,7.0,6.9,23.36K,1.61%
06.10.2025,6.84,6.98,6.98,6.81,1.05K,-2.01%
03.10.2025,6.98,7.0,7.0,6.85,6.90K,-0.29%
02.10.2025,7.0,6.87,7.0,6.87,0.97K,1.01%
01.10.2025,6.93,6.83,6.96,6.83,17.27K,0.43%
30.09.2025,6.9,6.88,6.98,6.83,205.48K,-0.43%
29.09.2025,6.93,7.06,7.1,6.9,132.04K,-2.12%
26.09.2025,7.08,7.0,7.15,6.96,64.58K,1.14%
25.09.2025,7.0,7.06,7.06,6.98,201.84K,-1.41%
24.09.2025,7.1,6.95,7.1,6.91,202.65K,0.57%
23.09.2025,7.06,6.99,7.1,6.97,70.19K,-0.14%
22.09.2025,7.07,7.08,7.08,7.0,300.37K,0.14%
19.09.2025,7.06,7.02,7.09,7.02,209.10K,0.57%
18.09.2025,7.02,7.1,7.1,6.95,50.94K,-1.54%
17.09.2025,7.13,7.1,7.15,7.08,403.09K,0.42%
15.09.2025,7.1,7.09,7.1,6.96,405.09K,0.00%
12.09.2025,7.1,6.97,7.1,6.96,56.03K,0.85%
11.09.2025,7.04,6.89,7.06,6.88,235.96K,2.33%
10.09.2025,6.88,7.1,7.1,6.8,114.87K,-2.96%
09.09.2025,7.09,6.94,7.1,6.94,339.08K,2.16%
08.09.2025,6.94,7.15,7.15,6.94,35.11K,-2.53%
05.09.2025,7.12,7.13,7.13,7.11,300.97K,2.01%
04.09.2025,6.98,6.9,7.06,6.9,60.49K,-0.43%
03.09.2025,7.01,7.14,7.14,7.01,218.30K,-1.27%
02.09.2025,7.1,7.12,7.15,6.93,214.10K,2.31%
01.09.2025,6.94,6.86,7.07,6.86,61.34K,-1.00%
29.08.2025,7.01,6.9,7.11,6.83,53.03K,0.43%
28.08.2025,6.98,6.97,7.13,6.94,383.51K,2.50%
27.08.2025,6.81,6.93,6.97,6.7,425.99K,-0.29%
26.08.2025,6.83,6.81,6.95,6.71,75.70K,0.44%
25.08.2025,6.8,6.95,6.95,6.8,201.41K,-1.16%
22.08.2025,6.88,6.95,6.97,6.76,346.88K,0.29%
21.08.2025,6.86,6.92,7.02,6.86,107.66K,-0.58%
20.08.2025,6.9,6.83,7.09,6.83,80.23K,1.02%
19.08.2025,6.83,6.84,6.95,6.83,307.85K,0.29%
18.08.2025,6.81,7.14,7.14,6.81,41.44K,-2.71%
15.08.2025,7.0,6.95,7.05,6.9,304.19K,1.45%
14.08.2025,6.9,6.94,6.95,6.83,104.10K,-0.43%
13.08.2025,6.93,6.78,7.2,6.78,205.30K,1.91%
12.08.2025,6.8,6.76,7.13,6.76,267.47K,-1.45%
11.08.2025,6.9,7.0,7.14,6.86,74.23K,-1.29%
08.08.2025,6.99,7.0,7.13,6.96,308.48K,-0.14%
07.08.2025,7.0,7.16,7.16,6.99,213.46K,-1.27%
06.08.2025,7.09,6.91,7.15,6.91,102.46K,1.29%
05.08.2025,7.0,7.21,7.21,6.88,119.01K,-2.78%
04.08.2025,7.2,7.11,7.21,7.01,338.11K,2.27%
01.08.2025,7.04,7.14,7.14,6.81,58.89K,-1.26%
31.07.2025,7.13,6.76,7.16,6.76,117.04K,5.32%
30.07.2025,6.77,6.8,7.05,6.76,269.95K,-2.45%
29.07.2025,6.94,6.76,7.14,6.76,286.02K,-1.00%
28.07.2025,7.01,6.93,7.03,6.84,142.79K,-1.13%
25.07.2025,7.09,7.0,7.16,6.9,194.40K,-0.84%
24.07.2025,7.15,7.08,7.19,7.0,99.66K,0.99%
23.07.2025,7.08,7.2,7.4,7.0,320.48K,-0.28%
22.07.2025,7.1,7.0,7.19,7.0,205.80K,0.42%
21.07.2025,7.07,6.92,7.18,6.85,431.54K,0.00%
18.07.2025,7.07,6.82,7.19,6.67,184.20K,3.36%
17.07.2025,6.84,6.81,7.0,6.65,35.31K,1.33%
16.07.2025,6.75,6.85,6.85,6.75,1.76K,-0.88%
15.07.2025,6.81,6.7,6.85,6.66,8.13K,-1.45%
14.07.2025,6.91,6.6,6.96,6.6,4.23K,2.67%
11.07.2025,6.73,6.76,6.83,6.69,5.33K,-2.46%
10.07.2025,6.9,6.74,7.0,6.65,12.39K,-0.72%
09.07.2025,6.95,7.0,7.01,6.82,11.70K,2.51%
08.07.2025,6.78,6.63,6.79,6.63,10.41K,3.51%
07.07.2025,6.55,7.0,7.0,6.5,28.65K,-6.43%
04.07.2025,7.0,6.75,7.0,6.7,22.17K,3.70%
03.07.2025,6.75,6.55,6.75,6.5,13.52K,2.74%
02.07.2025,6.57,6.51,6.64,6.47,5.38K,-1.20%
01.07.2025,6.65,6.53,6.65,6.53,0.68K,-0.30%
30.06.2025,6.67,6.64,6.68,6.5,115.01K,-0.89%
27.06.2025,6.73,6.7,6.73,6.65,173.82K,0.45%
26.06.2025,6.7,6.56,6.71,6.5,161.05K,2.45%
25.06.2025,6.54,6.51,6.76,6.51,127.84K,0.46%
24.06.2025,6.51,6.12,6.75,6.12,79.78K,5.00%
23.06.2025,6.2,6.2,6.2,6.1,36.85K,0.00%
20.06.2025,6.2,6.2,6.25,6.2,167.76K,-1.12%
19.06.2025,6.27,6.32,6.32,6.27,56.30K,-0.79%
18.06.2025,6.32,6.2,6.34,6.16,203.45K,-0.47%
17.06.2025,6.35,6.55,6.6,6.18,226.80K,-4.37%
16.06.2025,6.64,6.25,6.65,6.15,163.97K,5.90%
13.06.2025,6.27,6.27,6.3,6.27,11.36K,-0.79%
12.06.2025,6.32,6.15,6.34,6.15,185.50K,2.27%
11.06.2025,6.18,6.3,6.3,6.18,62.96K,-2.22%
10.06.2025,6.32,6.3,6.34,6.16,186.61K,-2.77%
09.06.2025,6.5,6.45,6.6,6.35,45.13K,4.84%
06.06.2025,6.2,6.11,6.2,6.11,123.43K,4.91%
05.06.2025,5.91,6.0,6.0,5.88,192.34K,0.17%
04.06.2025,5.9,5.86,5.9,5.77,48.82K,0.34%
03.06.2025,5.88,5.91,5.91,5.6,56.89K,-0.34%
02.06.2025,5.9,6.28,6.28,5.5,41.91K,-6.05%
30.05.2025,6.28,6.36,6.49,6.1,77.12K,-1.87%
29.05.2025,6.4,6.5,6.5,6.4,12.91K,-0.78%
28.05.2025,6.45,6.52,6.52,6.45,75.04K,-1.07%
27.05.2025,6.52,6.8,6.82,6.5,16.12K,-5.09%
26.05.2025,6.87,6.89,7.09,6.87,84.20K,0.73%
23.05.2025,6.82,6.78,6.82,6.71,69.88K,0.59%
22.05.2025,6.78,6.79,6.79,6.78,60.73K,-1.74%
21.05.2025,6.9,7.05,7.06,6.41,188.76K,-2.40%
20.05.2025,7.07,7.05,7.1,6.92,113.22K,0.43%
19.05.2025,7.04,6.93,7.11,6.79,206.52K,1.73%
16.05.2025,6.92,6.93,6.93,6.92,67.45K,-2.12%
15.05.2025,7.07,7.12,7.19,6.94,13.50K,-0.98%
14.05.2025,7.14,6.99,7.16,6.88,176.65K,2.73%
13.05.2025,6.95,6.88,6.97,6.65,134.84K,0.58%
12.05.2025,6.91,7.19,7.19,6.9,24.46K,-2.12%
09.05.2025,7.06,7.19,7.19,6.85,5.24K,0.71%
08.05.2025,7.01,6.47,7.35,6.47,80.96K,8.68%
07.05.2025,6.45,5.9,6.5,5.85,102.46K,12.37%
06.05.2025,5.74,5.6,5.74,5.58,76.27K,4.17%
05.05.2025,5.51,5.74,5.74,5.35,20.96K,-3.67%
02.05.2025,5.72,5.74,5.74,5.72,84.65K,0.00%
30.04.2025,5.72,5.72,5.72,5.72,0.64K,-0.52%
