Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
12.12.2025,19.205,19.5,19.56,19.135,8.03M,-1.13%
11.12.2025,19.425,19.065,19.565,18.9,7.10M,2.34%
10.12.2025,18.98,18.83,19.125,18.83,7.15M,0.24%
09.12.2025,18.935,18.95,19.07,18.79,6.75M,-0.13%
08.12.2025,18.96,18.8,18.96,18.73,5.13M,0.45%
05.12.2025,18.875,19.095,19.255,18.85,6.33M,-1.15%
04.12.2025,19.095,18.96,19.095,18.645,9.61M,2.19%
03.12.2025,18.685,18.795,19.075,18.685,9.58M,-0.69%
02.12.2025,18.815,18.78,18.98,18.75,8.39M,0.29%
01.12.2025,18.76,18.57,18.76,18.45,6.92M,1.05%
28.11.2025,18.565,18.53,18.665,18.48,4.31M,0.22%
27.11.2025,18.525,18.625,18.64,18.48,3.48M,-0.40%
26.11.2025,18.6,18.315,18.6,18.31,6.53M,1.72%
25.11.2025,18.285,17.93,18.41,17.9,5.26M,1.70%
24.11.2025,17.98,17.775,18.085,17.775,12.76M,1.55%
21.11.2025,17.705,17.54,17.805,17.465,9.77M,-1.42%
20.11.2025,17.96,17.96,18.15,17.855,7.52M,1.13%
19.11.2025,17.76,17.665,17.885,17.49,10.14M,0.91%
18.11.2025,17.6,17.715,17.895,17.485,9.11M,-2.82%
17.11.2025,18.11,18.335,18.46,18.02,7.67M,-1.50%
14.11.2025,18.385,18.5,18.69,18.225,11.02M,-2.62%
13.11.2025,18.88,18.88,19.085,18.87,8.92M,-0.13%
12.11.2025,18.905,18.57,18.91,18.56,10.48M,1.94%
11.11.2025,18.545,18.28,18.57,18.23,8.20M,1.87%
10.11.2025,18.205,17.81,18.21,17.715,9.86M,4.21%
07.11.2025,17.47,17.94,18.005,17.46,11.93M,-2.59%
06.11.2025,17.935,17.58,18.045,17.57,9.55M,1.67%
05.11.2025,17.64,17.15,17.64,17.125,7.06M,0.57%
04.11.2025,17.54,17.21,17.62,17.1,7.82M,1.39%
03.11.2025,17.3,17.565,17.79,17.3,8.86M,-0.77%
31.10.2025,17.435,17.35,17.7,17.255,9.38M,0.90%
30.10.2025,17.28,17.39,17.41,17.05,10.57M,-1.71%
29.10.2025,17.58,17.21,17.585,17.055,10.60M,2.27%
28.10.2025,17.19,17.07,17.215,17.04,5.31M,-0.06%
27.10.2025,17.2,17.05,17.235,17.005,6.47M,1.78%
24.10.2025,16.9,17.015,17.1,16.735,6.49M,-0.35%
23.10.2025,16.96,17.0,17.175,16.9,4.72M,-0.24%
22.10.2025,17.0,16.9,17.18,16.85,7.02M,-0.38%
21.10.2025,17.065,17.27,17.3,17.005,7.20M,-1.33%
20.10.2025,17.295,16.87,17.32,16.79,10.87M,3.84%
17.10.2025,16.655,16.655,17.38,16.395,30.41M,5.98%
16.10.2025,15.715,15.72,15.825,15.395,8.99M,-0.44%
15.10.2025,15.785,15.985,16.14,15.785,5.17M,-1.25%
14.10.2025,15.985,15.8,16.02,15.73,4.32M,0.72%
13.10.2025,15.87,15.8,15.895,15.685,3.45M,0.51%
10.10.2025,15.79,16.03,16.23,15.755,6.73M,-1.71%
09.10.2025,16.065,16.36,16.36,16.025,4.84M,-1.80%
08.10.2025,16.36,16.06,16.41,16.06,5.88M,1.90%
07.10.2025,16.055,16.1,16.24,16.05,6.00M,-0.74%
06.10.2025,16.175,16.31,16.4,16.045,5.37M,-1.49%
03.10.2025,16.42,16.42,16.59,16.36,5.92M,0.55%
02.10.2025,16.33,16.45,16.595,16.23,7.21M,-0.27%
