Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
11.12.2025,20.11,19.82,20.23,19.77,32.31M,1.93%
10.12.2025,19.73,20.02,20.02,19.63,25.13M,-1.05%
09.12.2025,19.94,20.14,20.14,19.8,25.49M,-0.50%
08.12.2025,20.04,19.7,20.26,19.7,20.47M,1.93%
05.12.2025,19.66,19.99,20.02,19.62,16.85M,-1.60%
04.12.2025,19.98,19.93,20.04,19.85,14.70M,0.71%
03.12.2025,19.84,19.44,19.92,19.44,20.06M,1.17%
02.12.2025,19.61,19.34,19.78,19.34,33.18M,1.34%
01.12.2025,19.35,19.37,19.69,19.32,33.49M,-0.10%
28.11.2025,19.37,19.09,19.81,18.95,21.13M,2.38%
27.11.2025,18.92,19.35,19.35,18.9,5.17M,-2.17%
26.11.2025,19.34,19.19,19.39,19.03,23.29M,0.89%
25.11.2025,19.17,18.5,19.26,18.5,21.04M,3.06%
24.11.2025,18.6,18.48,18.89,18.46,96.14M,0.11%
21.11.2025,18.58,18.91,18.92,18.46,37.38M,-1.28%
20.11.2025,18.82,18.9,19.29,18.74,16.98M,-0.58%
19.11.2025,18.93,18.81,19.05,18.73,17.14M,1.12%
18.11.2025,18.72,18.58,18.89,18.41,23.38M,1.08%
14.11.2025,18.52,18.5,18.78,18.38,22.79M,-0.80%
13.11.2025,18.67,19.05,19.12,18.61,17.98M,-1.53%
12.11.2025,18.96,19.25,19.31,18.91,26.81M,-1.66%
11.11.2025,19.28,19.01,19.35,18.96,16.01M,1.63%
10.11.2025,18.97,18.85,19.09,18.76,11.67M,0.85%
07.11.2025,18.81,18.95,19.11,18.62,23.81M,-0.95%
06.11.2025,18.99,19.1,19.36,18.91,21.55M,-0.68%
05.11.2025,19.12,18.72,19.35,18.72,29.62M,1.70%
04.11.2025,18.8,18.6,19.15,18.45,22.57M,0.16%
03.11.2025,18.77,18.84,19.05,18.71,13.15M,-0.58%
31.10.2025,18.88,18.77,19.04,18.73,32.40M,0.32%
30.10.2025,18.82,18.74,19.15,18.74,32.12M,-1.16%
29.10.2025,19.04,18.85,19.21,18.71,13.73M,0.47%
28.10.2025,18.95,17.5,19.05,17.5,52.39M,10.30%
27.10.2025,17.18,17.3,17.47,17.11,31.26M,-0.17%
24.10.2025,17.21,17.1,17.33,17.09,25.17M,0.41%
23.10.2025,17.14,16.94,17.3,16.8,24.98M,1.00%
22.10.2025,16.97,16.85,17.17,16.8,43.80M,0.95%
21.10.2025,16.81,17.53,17.55,16.77,27.31M,-4.54%
20.10.2025,17.61,17.81,17.89,17.44,27.94M,-0.68%
17.10.2025,17.73,17.8,17.97,17.61,25.26M,-1.28%
16.10.2025,17.96,18.18,18.24,17.88,24.93M,-1.21%
15.10.2025,18.18,17.6,18.35,17.6,48.93M,3.12%
14.10.2025,17.63,17.03,17.68,17.03,30.60M,2.56%
13.10.2025,17.19,16.87,17.3,16.87,9.20M,1.36%
10.10.2025,16.96,16.79,17.07,16.73,34.40M,1.01%
09.10.2025,16.79,16.99,16.99,16.74,30.72M,-0.83%
08.10.2025,16.93,16.59,16.98,16.51,29.65M,1.50%
07.10.2025,16.68,16.4,16.76,16.4,25.98M,1.28%
06.10.2025,16.47,16.57,16.76,16.44,18.01M,-1.14%
03.10.2025,16.66,16.51,16.75,16.43,33.75M,0.06%
02.10.2025,16.65,16.21,16.67,16.13,22.37M,2.15%
01.10.2025,16.3,16.31,16.81,16.21,30.06M,-0.61%
30.09.2025,16.4,16.66,16.69,16.36,42.21M,-1.03%
29.09.2025,16.57,16.47,16.75,16.45,28.26M,0.12%
26.09.2025,16.55,16.61,16.73,16.42,31.49M,-0.66%
25.09.2025,16.66,16.45,16.83,16.45,24.76M,0.79%
24.09.2025,16.53,16.75,17.01,16.33,30.08M,-1.49%
23.09.2025,16.78,16.91,17.21,16.74,23.74M,-0.83%
22.09.2025,16.92,16.62,16.95,16.58,16.65M,1.81%
19.09.2025,16.62,17.12,17.18,16.57,212.56M,-3.09%
18.09.2025,17.15,17.37,17.37,17.05,30.11M,-0.81%
17.09.2025,17.29,17.45,17.55,17.23,26.39M,-0.58%
15.09.2025,17.39,17.21,17.48,17.21,26.57M,0.75%
12.09.2025,17.26,17.5,17.53,17.21,25.22M,-1.03%
11.09.2025,17.44,17.06,17.56,16.94,33.56M,2.53%
