Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
12.12.2025,26.34,27.0,27.11,26.09,6.17M,-1.50%
11.12.2025,26.74,26.61,27.23,26.43,8.10M,0.19%
10.12.2025,26.69,25.74,26.82,25.55,7.41M,2.07%
09.12.2025,26.15,25.3,26.33,25.23,8.38M,2.47%
08.12.2025,25.52,26.59,26.59,25.21,10.89M,-3.92%
05.12.2025,26.56,26.49,26.76,26.12,6.52M,0.19%
04.12.2025,26.51,26.94,27.05,25.93,7.70M,-1.27%
03.12.2025,26.85,26.92,27.28,26.78,4.34M,-0.04%
02.12.2025,26.86,27.5,27.52,26.65,10.06M,-2.33%
01.12.2025,27.5,27.03,27.62,26.91,8.55M,1.59%
28.11.2025,27.07,27.56,27.6,27.01,4.09M,-1.67%
26.11.2025,27.53,26.87,27.97,26.67,10.53M,3.50%
25.11.2025,26.6,25.23,27.44,25.04,15.34M,7.47%
24.11.2025,24.75,24.98,24.98,24.02,13.54M,-0.84%
21.11.2025,24.96,24.35,25.34,23.75,22.78M,8.24%
20.11.2025,23.06,23.68,24.2,23.01,16.94M,-1.79%
19.11.2025,23.48,23.81,23.88,23.38,7.19M,-1.55%
18.11.2025,23.85,23.55,24.07,23.44,5.82M,0.34%
17.11.2025,23.77,24.55,24.55,23.47,9.51M,-1.57%
14.11.2025,24.15,24.62,24.7,23.96,7.30M,-0.58%
13.11.2025,24.29,24.77,25.0,24.14,7.11M,-2.49%
12.11.2025,24.91,24.28,25.07,24.15,7.81M,3.71%
11.11.2025,24.02,24.03,24.49,23.94,5.48M,-0.29%
10.11.2025,24.09,24.0,24.4,23.75,7.62M,2.69%
07.11.2025,23.46,22.86,23.5,22.42,8.69M,2.99%
06.11.2025,22.78,23.47,23.47,22.56,8.86M,-2.77%
05.11.2025,23.43,22.13,24.0,21.9,15.57M,4.55%
04.11.2025,22.41,22.16,22.49,22.02,7.78M,-1.75%
03.11.2025,22.81,22.81,23.24,22.5,11.78M,-0.18%
31.10.2025,22.85,23.18,23.22,22.74,12.26M,-1.72%
30.10.2025,23.25,23.62,23.75,23.01,7.75M,-1.86%
29.10.2025,23.69,24.34,24.53,23.54,7.83M,-2.83%
28.10.2025,24.38,23.86,24.58,23.6,8.19M,2.14%
27.10.2025,23.87,23.86,24.39,23.84,7.02M,1.75%
24.10.2025,23.46,23.17,23.71,22.95,9.12M,1.87%
23.10.2025,23.03,21.76,23.07,21.7,9.00M,6.23%
22.10.2025,21.68,22.01,22.13,21.68,5.15M,-2.30%
21.10.2025,22.19,22.07,22.42,21.93,6.56M,0.96%
20.10.2025,21.98,21.71,22.32,21.6,10.11M,1.76%
17.10.2025,21.6,20.53,21.61,20.35,12.33M,4.60%
16.10.2025,20.65,21.17,21.17,20.35,7.07M,-2.04%
15.10.2025,21.08,21.14,21.59,20.85,6.30M,2.18%
14.10.2025,20.63,20.36,20.8,20.11,8.65M,0.10%
13.10.2025,20.61,19.98,20.67,19.94,7.94M,4.62%
10.10.2025,19.7,20.5,20.52,19.59,8.98M,-3.53%
09.10.2025,20.42,20.65,21.2,20.33,6.58M,-1.30%
08.10.2025,20.69,21.04,21.08,20.61,8.41M,-1.80%
07.10.2025,21.07,21.51,21.58,20.94,7.31M,-2.05%
06.10.2025,21.51,21.67,21.83,21.3,9.73M,-0.37%
03.10.2025,21.59,21.96,21.96,21.51,6.47M,-0.69%
02.10.2025,21.74,21.69,22.05,21.51,8.64M,0.42%
01.10.2025,21.65,21.4,21.91,21.26,7.64M,1.22%
30.09.2025,21.39,21.35,21.49,20.86,7.36M,0.23%
29.09.2025,21.34,22.12,22.12,21.08,11.36M,-2.96%
26.09.2025,21.99,22.25,22.28,21.6,8.69M,-0.86%
25.09.2025,22.18,22.62,22.67,22.03,7.37M,-3.02%
24.09.2025,22.87,22.63,23.28,22.62,7.79M,0.04%
23.09.2025,22.86,22.79,23.23,22.69,9.19M,1.11%
22.09.2025,22.61,22.43,22.73,21.86,10.65M,1.57%
19.09.2025,22.26,23.1,23.15,22.24,14.72M,-3.30%
18.09.2025,23.02,22.78,23.02,22.51,7.87M,0.92%
17.09.2025,22.81,22.86,23.25,22.6,8.09M,0.75%
16.09.2025,22.64,23.86,23.9,22.51,9.00M,-5.35%
15.09.2025,23.92,23.01,23.97,22.82,9.26M,4.45%
12.09.2025,22.9,24.16,24.23,22.58,11.43M,-5.49%
11.09.2025,24.23,24.0,24.54,23.75,10.12M,0.66%
10.09.2025,24.07,23.78,24.12,23.51,9.83M,-0.12%
09.09.2025,24.1,24.13,24.3,23.81,10.02M,-0.17%
08.09.2025,24.14,23.83,24.18,23.44,9.39M,1.43%
05.09.2025,23.8,23.85,24.51,23.64,15.51M,-0.54%
04.09.2025,23.93,22.78,23.99,22.62,16.36M,5.93%
03.09.2025,22.59,22.59,23.01,22.43,11.04M,-0.13%
02.09.2025,22.62,21.85,22.67,21.72,15.06M,2.77%
29.08.2025,22.01,22.11,22.6,21.34,26.92M,1.52%
28.08.2025,21.68,22.42,22.74,21.45,23.59M,-2.78%
27.08.2025,22.3,21.68,22.46,21.66,12.00M,3.34%
26.08.2025,21.58,21.51,21.86,21.42,11.41M,0.37%
25.08.2025,21.5,21.48,21.75,21.34,11.31M,0.37%
22.08.2025,21.42,20.83,21.63,20.65,11.29M,1.04%
21.08.2025,21.2,20.43,21.28,20.35,9.10M,2.17%
20.08.2025,20.75,20.28,20.91,20.18,7.66M,0.19%
19.08.2025,20.71,20.81,21.19,20.5,7.44M,-0.96%
18.08.2025,20.91,20.7,20.95,20.52,5.37M,1.06%
15.08.2025,20.69,21.04,21.04,20.65,4.53M,-0.91%
14.08.2025,20.88,20.7,20.98,20.38,5.59M,-1.28%
13.08.2025,21.15,20.49,21.23,20.48,8.27M,3.47%
12.08.2025,20.44,19.84,20.48,19.8,7.52M,3.76%
11.08.2025,19.7,19.9,19.9,19.48,6.86M,-0.51%
08.08.2025,19.8,20.21,20.33,19.65,5.25M,-1.49%
07.08.2025,20.1,20.18,20.4,20.02,6.37M,0.25%
06.08.2025,20.05,19.51,20.07,19.5,6.84M,2.87%
05.08.2025,19.49,19.52,19.62,19.19,6.74M,-0.15%
04.08.2025,19.52,19.08,19.57,19.02,8.99M,3.61%
01.08.2025,18.84,19.12,19.19,18.68,9.62M,-3.19%
31.07.2025,19.46,19.62,19.73,19.38,5.47M,-1.07%
30.07.2025,19.67,19.9,19.94,19.36,9.12M,-0.96%
29.07.2025,19.86,20.36,20.42,19.83,6.39M,-2.65%
28.07.2025,20.4,20.68,20.73,20.31,6.92M,-1.26%
25.07.2025,20.66,20.47,20.67,20.2,5.71M,1.97%
24.07.2025,20.26,20.58,20.89,20.25,6.41M,-1.79%
23.07.2025,20.63,20.98,21.07,20.62,6.09M,-0.43%
22.07.2025,20.72,20.7,21.04,20.61,7.08M,0.44%
21.07.2025,20.63,20.29,21.13,20.28,9.60M,2.18%
18.07.2025,20.19,20.37,20.55,20.13,7.97M,-0.74%
17.07.2025,20.34,20.27,20.43,20.09,7.29M,0.64%
16.07.2025,20.21,20.76,20.85,19.87,12.07M,-2.32%
15.07.2025,20.69,21.51,21.53,20.61,11.99M,-3.45%
14.07.2025,21.43,22.76,22.76,21.42,13.28M,-6.13%
11.07.2025,22.83,22.92,23.01,22.54,7.47M,-1.13%
10.07.2025,23.09,22.75,23.32,22.69,7.61M,1.99%
09.07.2025,22.64,22.6,22.82,22.39,7.38M,-0.13%
08.07.2025,22.67,22.81,22.87,22.21,8.63M,0.04%
07.07.2025,22.66,22.63,23.4,22.55,9.06M,-0.26%
03.07.2025,22.72,22.46,22.97,22.44,4.55M,0.71%
02.07.2025,22.56,22.46,22.9,22.1,11.40M,0.45%
01.07.2025,22.46,21.65,22.98,21.62,8.30M,2.98%
30.06.2025,21.81,22.05,22.05,21.71,6.92M,-0.41%
27.06.2025,21.9,22.21,22.25,21.63,10.48M,-0.36%
26.06.2025,21.98,21.56,22.03,21.28,6.17M,2.42%
25.06.2025,21.46,21.7,21.75,21.38,5.90M,-0.51%
24.06.2025,21.57,21.67,21.92,21.31,6.85M,0.65%
23.06.2025,21.43,21.07,21.57,20.92,7.24M,0.42%
20.06.2025,21.34,21.01,21.42,20.89,11.44M,2.30%
18.06.2025,20.86,21.02,21.22,20.81,7.64M,-0.62%
17.06.2025,20.99,21.13,21.42,20.93,7.13M,-0.80%
16.06.2025,21.16,21.02,21.29,20.85,8.92M,1.44%
13.06.2025,20.86,21.09,21.55,20.65,10.00M,-3.52%
12.06.2025,21.62,22.05,22.17,21.45,11.61M,-3.27%
11.06.2025,22.35,22.45,22.72,22.15,8.41M,0.63%
10.06.2025,22.21,22.28,22.43,22.07,8.37M,-0.18%
09.06.2025,22.25,22.12,22.57,22.1,11.03M,1.37%
06.06.2025,21.95,21.81,22.07,21.6,9.79M,1.71%
05.06.2025,21.58,21.15,21.94,21.03,16.37M,2.62%
04.06.2025,21.03,21.77,21.82,20.92,15.91M,-4.23%
03.06.2025,21.96,22.46,22.57,21.9,14.16M,-2.10%
02.06.2025,22.43,22.3,22.5,21.65,17.89M,0.54%
30.05.2025,22.31,22.87,23.18,21.98,58.78M,-20.18%
29.05.2025,27.95,28.39,28.4,27.74,17.18M,-1.03%
28.05.2025,28.24,28.58,28.75,28.15,21.63M,-0.70%
27.05.2025,28.44,28.89,28.99,28.35,15.46M,-0.07%
23.05.2025,28.46,28.64,28.94,28.19,13.00M,-1.49%
22.05.2025,28.89,27.79,29.29,27.79,18.95M,5.02%
21.05.2025,27.51,27.36,28.09,27.19,8.69M,-0.72%
20.05.2025,27.71,27.85,28.43,27.55,10.39M,-0.89%
19.05.2025,27.96,26.7,28.08,26.61,6.54M,2.08%
16.05.2025,27.39,26.62,27.53,26.59,7.69M,3.63%
15.05.2025,26.43,26.03,26.67,25.95,10.38M,0.76%
14.05.2025,26.23,25.19,26.41,25.11,9.98M,3.27%
13.05.2025,25.4,25.0,25.44,24.8,8.52M,2.42%
12.05.2025,24.8,24.49,25.22,24.25,11.90M,9.44%
09.05.2025,22.66,22.9,22.99,22.61,6.77M,-1.56%
08.05.2025,23.02,23.65,23.74,22.99,7.60M,-1.07%
07.05.2025,23.27,22.9,23.36,22.7,6.30M,2.74%
06.05.2025,22.65,22.5,22.82,22.27,4.40M,-0.96%
05.05.2025,22.87,22.84,23.16,22.61,5.69M,-0.52%
02.05.2025,22.99,22.44,23.14,22.39,7.09M,4.36%
01.05.2025,22.03,22.0,22.55,21.8,5.76M,0.59%
30.04.2025,21.9,20.98,21.97,20.78,8.03M,0.64%
29.04.2025,21.76,21.42,21.94,21.34,6.01M,1.35%
28.04.2025,21.47,21.11,21.55,21.02,5.61M,2.19%
25.04.2025,21.01,20.86,21.16,20.61,5.50M,1.30%
24.04.2025,20.74,19.88,20.92,19.72,5.34M,4.06%
23.04.2025,19.93,20.48,21.18,19.91,6.45M,2.26%
22.04.2025,19.49,19.17,19.92,19.05,7.64M,2.10%
21.04.2025,19.09,18.83,19.11,18.47,7.10M,-0.21%
17.04.2025,19.13,18.28,19.44,18.23,9.50M,4.94%
16.04.2025,18.23,18.57,18.95,18.17,7.56M,-2.51%
15.04.2025,18.7,19.22,19.41,18.52,7.55M,-2.86%
14.04.2025,19.25,19.12,19.49,18.71,10.17M,3.44%
11.04.2025,18.61,19.02,19.09,17.9,12.00M,-2.05%
10.04.2025,19.0,19.53,19.7,18.4,11.34M,-6.36%
09.04.2025,20.29,17.23,20.94,17.08,15.57M,15.02%
08.04.2025,17.64,19.26,19.42,17.08,13.22M,-5.67%
07.04.2025,18.7,18.08,19.56,17.17,15.09M,-2.25%
04.04.2025,19.13,17.24,19.5,16.99,22.08M,7.23%
03.04.2025,17.84,19.06,19.85,17.27,27.42M,-20.29%
02.04.2025,22.38,20.93,22.52,20.89,9.89M,5.47%
01.04.2025,21.22,20.71,21.31,20.48,7.86M,2.96%
31.03.2025,20.61,20.01,20.83,19.75,6.91M,0.93%
28.03.2025,20.42,21.07,21.19,20.1,8.70M,-3.82%
27.03.2025,21.23,21.35,22.11,21.22,5.76M,-0.70%
26.03.2025,21.38,21.51,21.67,21.19,7.52M,-0.83%
25.03.2025,21.56,21.5,22.19,21.21,10.04M,-0.51%
24.03.2025,21.67,20.43,21.85,20.35,12.23M,8.24%
21.03.2025,20.02,20.08,20.49,19.89,23.31M,-2.25%
20.03.2025,20.48,20.04,21.05,20.04,8.92M,1.34%
19.03.2025,20.21,19.42,20.27,19.37,9.30M,4.61%
18.03.2025,19.32,19.88,19.94,19.31,8.94M,-3.88%
17.03.2025,20.1,19.99,20.35,19.82,11.93M,-0.15%
14.03.2025,20.13,20.96,21.02,19.82,10.71M,-3.03%
13.03.2025,20.76,21.0,21.44,20.13,7.63M,-1.28%
12.03.2025,21.03,22.39,22.48,20.79,6.94M,-2.73%
