Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
03.12.2025,122.78,123.5,123.5,121.73,355.98K,-0.14%
02.12.2025,122.95,124.6,124.61,122.8,345.30K,-0.82%
01.12.2025,123.97,125.04,126.1,123.6,203.31K,-0.70%
28.11.2025,124.84,126.35,126.35,124.0,215.01K,-0.04%
27.11.2025,124.89,125.83,126.06,124.6,58.00K,-0.73%
26.11.2025,125.81,129.09,130.88,125.6,215.95K,-2.03%
25.11.2025,128.42,129.52,130.49,127.02,237.61K,-2.14%
24.11.2025,131.23,125.43,133.49,125.43,1.18M,4.42%
21.11.2025,125.68,127.27,128.1,125.25,155.89K,-1.37%
20.11.2025,127.42,130.7,131.4,125.59,183.39K,-2.56%
19.11.2025,130.77,127.6,131.39,127.33,173.18K,2.90%
18.11.2025,127.09,127.49,128.68,125.15,226.60K,-0.09%
14.11.2025,127.21,127.04,129.68,126.06,183.62K,0.13%
13.11.2025,127.04,129.8,130.7,126.55,230.30K,-1.09%
12.11.2025,128.44,135.98,135.99,128.0,342.46K,-5.66%
11.11.2025,136.14,130.0,136.68,130.0,206.04K,4.84%
10.11.2025,129.86,135.05,135.05,129.45,145.29K,-3.46%
07.11.2025,134.51,133.6,135.91,131.1,169.01K,0.22%
06.11.2025,134.21,136.09,136.3,133.44,283.53K,-1.37%
05.11.2025,136.08,133.99,137.0,133.46,265.80K,1.08%
04.11.2025,134.62,130.43,137.77,129.66,289.57K,1.65%
03.11.2025,132.43,132.1,133.37,128.52,136.50K,-0.26%
31.10.2025,132.78,130.51,134.0,128.12,391.35K,1.13%
30.10.2025,131.29,133.55,134.68,129.32,247.27K,-2.27%
29.10.2025,134.34,130.5,134.8,130.5,229.92K,1.27%
28.10.2025,132.65,126.76,134.9,125.03,586.45K,3.82%
27.10.2025,127.77,122.31,128.15,121.4,242.66K,5.39%
24.10.2025,121.23,125.5,125.5,120.5,403.83K,-2.04%
23.10.2025,123.76,122.37,124.2,120.67,174.50K,0.28%
22.10.2025,123.42,122.85,123.99,121.0,196.82K,0.92%
21.10.2025,122.29,124.12,124.12,122.0,156.73K,-1.29%
20.10.2025,123.89,124.44,126.87,122.55,333.48K,-0.26%
17.10.2025,124.21,127.18,127.8,123.65,194.15K,-2.46%
16.10.2025,127.34,124.6,127.99,123.9,252.67K,3.72%
15.10.2025,122.77,124.59,126.34,122.19,254.00K,-1.45%
14.10.2025,124.58,125.97,126.29,124.04,162.11K,-1.53%
13.10.2025,126.52,123.87,127.97,123.8,187.15K,2.15%
10.10.2025,123.86,129.53,129.53,123.03,609.46K,-5.14%
09.10.2025,130.57,129.64,130.99,126.08,179.47K,1.98%
08.10.2025,128.03,130.61,131.18,127.52,180.04K,-2.89%
