Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
11.12.2025,43.83,43.7,44.14,43.25,1.24M,1.27%
10.12.2025,43.28,44.09,44.09,42.88,1.28M,-2.10%
09.12.2025,44.21,44.22,44.45,43.52,1.40M,-0.54%
08.12.2025,44.45,44.23,44.75,43.7,913.08K,1.00%
05.12.2025,44.01,44.05,44.86,43.89,826.00K,-0.50%
04.12.2025,44.23,43.61,44.39,43.44,2.61M,1.10%
03.12.2025,43.75,44.32,44.32,43.22,1.73M,-0.79%
02.12.2025,44.1,43.8,44.15,43.6,1.65M,0.66%
01.12.2025,43.81,43.48,43.91,42.8,2.46M,1.04%
28.11.2025,43.36,43.57,44.35,43.2,1.08M,-0.66%
27.11.2025,43.65,43.97,43.98,43.12,661.86K,-1.13%
26.11.2025,44.15,43.66,44.29,43.5,1.64M,0.94%
25.11.2025,43.74,43.0,43.94,43.0,1.48M,1.20%
24.11.2025,43.22,43.24,43.73,42.05,48.70M,-0.02%
21.11.2025,43.23,42.33,43.67,41.61,3.64M,1.81%
20.11.2025,42.46,42.65,43.27,42.02,2.89M,-0.68%
19.11.2025,42.75,42.63,42.89,42.21,3.03M,0.40%
18.11.2025,42.58,42.9,43.09,42.21,3.01M,-0.70%
14.11.2025,42.88,43.06,43.12,42.1,3.09M,-0.39%
13.11.2025,43.05,44.01,44.45,43.0,4.48M,-2.27%
12.11.2025,44.05,44.03,45.08,43.84,2.48M,-1.72%
11.11.2025,44.82,43.56,45.08,43.56,1.88M,2.61%
10.11.2025,43.68,44.49,44.49,43.4,2.81M,-0.97%
07.11.2025,44.11,44.32,44.75,44.01,3.24M,-0.11%
06.11.2025,44.16,44.23,44.42,43.31,2.44M,0.25%
05.11.2025,44.05,44.73,45.45,43.94,1.57M,-1.03%
04.11.2025,44.51,44.1,44.99,43.58,2.33M,0.77%
03.11.2025,44.17,44.78,44.94,43.0,3.95M,-2.11%
31.10.2025,45.12,44.56,45.49,44.3,1.36M,0.83%
30.10.2025,44.75,46.03,46.21,44.65,1.58M,-3.64%
29.10.2025,46.44,45.92,46.6,45.65,880.25K,1.33%
28.10.2025,45.83,45.35,46.01,44.91,806.43K,1.60%
27.10.2025,45.11,44.74,45.59,44.63,1.00M,1.37%
24.10.2025,44.5,45.1,45.33,44.14,3.18M,-1.66%
23.10.2025,45.25,45.35,45.42,44.19,806.19K,-0.61%
22.10.2025,45.53,46.79,46.94,44.67,1.97M,-3.05%
21.10.2025,46.96,47.74,47.74,46.5,3.79M,-1.20%
20.10.2025,47.53,47.99,48.24,47.2,1.84M,-0.92%
17.10.2025,47.97,49.2,49.58,47.68,888.58K,-2.14%
16.10.2025,49.02,47.59,49.94,47.59,803.79K,2.72%
15.10.2025,47.72,48.1,48.39,47.58,1.23M,-0.60%
14.10.2025,48.01,49.23,49.5,47.76,1.14M,-2.99%
13.10.2025,49.49,47.96,50.26,47.73,755.46K,3.69%
10.10.2025,47.73,48.72,48.75,47.5,1.18M,-1.30%
09.10.2025,48.36,48.4,48.96,47.98,732.74K,0.44%
08.10.2025,48.15,48.78,49.19,47.86,750.97K,-1.43%
07.10.2025,48.85,49.1,49.75,48.66,839.31K,-0.37%
06.10.2025,49.03,48.32,49.25,48.04,802.52K,1.05%
03.10.2025,48.52,49.14,49.49,48.0,563.37K,-1.44%
02.10.2025,49.23,49.49,49.49,48.3,4.28M,-0.04%
01.10.2025,49.25,50.61,50.79,48.47,1.78M,-2.20%
30.09.2025,50.36,50.4,51.53,50.16,1.66M,-0.59%
29.09.2025,50.66,50.86,51.55,50.44,794.86K,-0.74%
26.09.2025,51.04,52.02,52.73,50.91,818.70K,-1.35%
25.09.2025,51.74,51.43,53.0,51.39,1.52M,0.56%
24.09.2025,51.45,52.26,52.26,50.92,1.12M,-1.36%
