Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
04.12.2025,174.26,174.41,176.63,173.14,1.07M,-1.00%
03.12.2025,176.02,177.3,178.76,174.99,8.35M,-0.71%
02.12.2025,177.27,176.44,178.18,174.84,8.94M,0.78%
01.12.2025,175.9,174.04,176.86,173.8,6.22M,0.52%
28.11.2025,174.99,176.0,177.39,173.01,3.05M,-0.66%
27.11.2025,176.15,177.24,177.94,174.65,1.19M,-0.31%
26.11.2025,176.7,176.23,178.81,175.84,6.19M,-0.11%
25.11.2025,176.89,171.8,177.27,171.8,7.89M,2.60%
24.11.2025,172.4,172.86,174.29,171.81,12.72M,-0.27%
21.11.2025,172.86,175.99,176.19,171.48,5.16M,-1.60%
20.11.2025,175.67,173.55,176.47,173.46,3.75M,1.27%
19.11.2025,173.47,172.65,173.99,172.0,3.31M,0.48%
18.11.2025,172.64,174.44,175.88,171.0,5.51M,-1.39%
14.11.2025,175.08,174.35,178.41,174.02,4.68M,-0.27%
13.11.2025,175.55,178.89,179.48,174.02,4.80M,-1.84%
12.11.2025,178.84,184.25,185.18,177.61,7.08M,-3.42%
11.11.2025,185.18,179.22,186.44,178.03,8.22M,3.30%
10.11.2025,179.26,178.3,179.8,177.3,6.35M,0.77%
07.11.2025,177.89,177.5,179.32,176.43,4.21M,0.45%
06.11.2025,177.1,177.19,178.81,175.25,5.04M,0.29%
05.11.2025,176.59,176.01,179.1,172.88,9.55M,-0.55%
04.11.2025,177.57,173.01,177.93,172.88,4.36M,1.91%
03.11.2025,174.25,174.85,174.85,172.6,2.49M,-0.34%
31.10.2025,174.85,173.18,175.37,172.3,7.41M,0.96%
30.10.2025,173.18,171.01,175.35,171.01,5.79M,-1.03%
29.10.2025,174.99,173.46,175.47,172.5,4.24M,1.01%
28.10.2025,173.24,170.62,173.89,170.62,8.02M,0.52%
27.10.2025,172.35,173.98,174.0,171.88,5.25M,0.53%
24.10.2025,171.44,174.95,174.95,170.45,6.88M,-0.22%
23.10.2025,171.82,171.43,173.37,170.66,6.10M,-0.56%
22.10.2025,172.79,172.99,173.96,171.36,10.00M,-0.22%
21.10.2025,173.17,170.39,175.0,170.39,5.94M,1.14%
20.10.2025,171.21,174.79,174.79,169.5,4.85M,-1.06%
17.10.2025,173.04,176.69,178.1,169.14,4.31M,-2.82%
16.10.2025,178.07,175.01,179.5,175.01,4.43M,1.03%
15.10.2025,176.26,173.89,177.42,172.2,28.77M,1.70%
14.10.2025,173.31,176.12,177.36,172.7,4.88M,-2.06%
13.10.2025,176.96,175.01,177.15,174.0,5.04M,1.28%
10.10.2025,174.73,177.55,177.8,174.14,4.00M,-1.32%
09.10.2025,177.07,177.1,177.99,174.91,7.50M,0.12%
08.10.2025,176.85,175.08,177.19,174.21,7.33M,1.04%
07.10.2025,175.03,174.01,178.5,174.01,5.19M,-0.26%
06.10.2025,175.48,179.21,180.5,174.12,7.27M,-2.58%
03.10.2025,180.12,181.69,182.2,179.21,3.84M,-0.39%
02.10.2025,180.82,182.58,183.46,180.0,3.93M,-0.80%
01.10.2025,182.27,184.11,185.07,179.3,5.40M,-1.20%
30.09.2025,184.48,181.39,186.0,177.81,7.45M,1.97%
29.09.2025,180.92,179.36,182.88,179.34,4.09M,0.56%
26.09.2025,179.91,175.99,182.43,174.23,5.41M,2.70%
25.09.2025,175.18,179.01,179.13,175.01,7.79M,-2.67%
24.09.2025,179.98,182.5,185.39,179.45,6.23M,-1.83%
23.09.2025,183.34,183.01,185.68,182.67,4.90M,-0.59%
22.09.2025,184.43,182.09,184.9,180.49,2.93M,1.67%
19.09.2025,181.4,183.99,183.99,180.0,18.25M,-1.41%
18.09.2025,183.99,186.02,186.12,182.36,7.37M,-1.38%
17.09.2025,186.57,185.0,187.29,183.19,11.44M,0.91%
15.09.2025,184.89,182.26,185.48,181.41,4.79M,1.59%
12.09.2025,182.0,179.12,182.45,179.01,3.42M,1.03%
11.09.2025,180.14,176.88,182.0,176.23,7.02M,2.39%
10.09.2025,175.93,174.4,178.99,174.4,5.54M,0.43%
09.09.2025,175.17,173.83,176.43,172.11,5.16M,0.96%
08.09.2025,173.51,176.19,176.29,173.01,4.12M,-1.21%
05.09.2025,175.63,173.49,177.69,172.28,4.71M,1.85%
04.09.2025,172.44,172.09,172.74,170.0,2.97M,-0.19%
03.09.2025,172.76,174.16,175.75,171.91,7.81M,-0.80%
02.09.2025,174.16,168.99,174.44,168.52,10.27M,3.21%
01.09.2025,168.74,170.05,170.67,167.1,979.99K,-1.15%
29.08.2025,170.7,170.69,171.28,167.55,6.98M,-0.52%
28.08.2025,171.59,168.99,172.99,167.72,8.82M,1.89%
27.08.2025,168.41,165.46,169.21,164.0,4.37M,1.35%
26.08.2025,166.17,165.85,166.98,163.33,9.93M,-0.03%
25.08.2025,166.22,169.25,169.25,165.54,3.26M,-1.79%
22.08.2025,169.25,165.15,170.33,165.15,2.48M,2.02%
21.08.2025,165.9,165.99,167.37,163.61,5.29M,0.47%
20.08.2025,165.13,166.28,167.17,163.21,4.72M,-0.99%
19.08.2025,166.78,165.9,167.58,165.2,5.00M,0.77%
18.08.2025,165.5,167.79,167.87,165.01,2.89M,-0.92%
15.08.2025,167.03,167.96,169.21,166.8,1.65M,-0.72%
14.08.2025,168.24,167.42,169.83,166.41,2.88M,-0.23%
13.08.2025,168.62,170.48,170.48,167.82,4.61M,-0.73%
12.08.2025,169.86,168.01,170.56,168.01,6.57M,0.27%
11.08.2025,169.4,169.09,170.61,168.25,3.57M,0.59%
08.08.2025,168.4,167.89,169.84,166.01,3.05M,0.75%
07.08.2025,167.14,167.01,168.51,165.41,8.00M,-0.55%
06.08.2025,168.07,167.01,170.9,167.01,3.55M,-0.20%
05.08.2025,168.41,164.71,169.03,164.71,3.45M,2.45%
04.08.2025,164.38,164.28,166.25,163.21,2.99M,-0.45%
01.08.2025,165.12,168.89,168.89,164.51,5.69M,-1.78%
31.07.2025,168.12,168.0,169.49,166.01,4.73M,0.38%
30.07.2025,167.49,165.56,169.3,163.61,6.07M,1.01%
29.07.2025,165.82,164.88,166.66,160.0,3.56M,0.84%
28.07.2025,164.44,166.66,168.36,162.81,5.61M,-2.05%
25.07.2025,167.88,168.65,169.99,166.61,3.36M,-1.07%
24.07.2025,169.7,165.32,170.43,164.97,6.90M,2.82%
23.07.2025,165.04,160.33,165.4,159.67,9.77M,3.44%
22.07.2025,159.55,159.86,160.53,155.5,7.40M,-0.19%
21.07.2025,159.86,161.72,162.49,159.52,6.07M,-0.87%
18.07.2025,161.27,163.49,164.19,161.01,4.57M,-1.06%
17.07.2025,162.99,164.76,167.2,162.75,6.48M,-1.08%
16.07.2025,164.77,163.22,165.22,162.51,5.47M,0.95%
15.07.2025,163.22,161.69,163.7,161.31,6.24M,1.42%
14.07.2025,160.93,163.0,163.32,160.61,6.41M,-1.14%
11.07.2025,162.79,165.82,166.35,161.68,7.42M,-1.83%
10.07.2025,165.82,171.17,172.03,165.54,7.39M,-3.80%
09.07.2025,172.37,174.17,175.21,171.62,3.25M,-1.23%
08.07.2025,174.51,172.01,174.83,170.41,3.68M,0.74%
07.07.2025,173.22,173.0,174.99,171.61,3.81M,0.41%
04.07.2025,172.51,173.89,174.49,171.97,814.97K,-0.40%
03.07.2025,173.2,173.92,177.5,171.06,4.02M,-1.06%
02.07.2025,175.05,173.09,175.82,172.74,6.34M,1.55%
01.07.2025,172.38,171.52,173.08,170.15,4.45M,0.50%
30.06.2025,171.52,173.02,176.49,170.21,5.78M,-1.89%
27.06.2025,174.82,174.38,176.79,173.5,5.71M,0.76%
26.06.2025,173.5,174.2,174.94,170.3,6.20M,-0.38%
25.06.2025,174.16,171.25,174.86,171.14,4.34M,1.63%
24.06.2025,171.36,166.9,172.4,166.9,3.61M,2.41%
23.06.2025,167.33,167.0,169.23,165.0,5.40M,-1.13%
20.06.2025,169.24,168.96,170.08,167.5,19.11M,0.15%
19.06.2025,168.98,170.58,173.0,168.21,1.10M,-0.61%
18.06.2025,170.02,170.48,171.79,169.12,4.47M,0.16%
17.06.2025,169.75,170.6,172.47,169.01,3.23M,-0.45%
16.06.2025,170.51,174.01,175.3,170.01,5.76M,-1.79%
13.06.2025,173.61,175.49,175.5,171.01,5.25M,-0.78%
12.06.2025,174.98,173.09,175.86,172.1,4.62M,1.31%
11.06.2025,172.71,175.39,178.39,172.18,5.10M,-1.22%
10.06.2025,174.84,172.88,175.01,172.81,4.33M,0.63%
09.06.2025,173.75,172.63,174.99,172.63,2.50M,0.18%
06.06.2025,173.44,170.83,174.0,168.81,5.33M,1.53%
05.06.2025,170.83,171.25,172.29,170.04,5.26M,-0.31%
04.06.2025,171.36,172.69,173.81,170.85,4.56M,-0.41%
03.06.2025,172.07,171.05,173.48,171.04,5.45M,-0.16%
