Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
11.12.2025,100.88,100.48,101.84,99.99,477.85K,0.89%
10.12.2025,99.99,100.6,101.0,98.0,599.30K,0.03%
09.12.2025,99.96,100.0,100.57,98.02,339.61K,-0.04%
08.12.2025,100.0,100.83,101.9,99.4,320.55K,-0.82%
05.12.2025,100.83,100.7,101.51,100.56,52.36K,-0.18%
04.12.2025,101.01,99.61,102.0,99.61,140.54K,1.19%
03.12.2025,99.82,98.97,100.24,97.93,494.35K,0.85%
02.12.2025,98.98,100.54,101.49,97.01,965.93K,-1.01%
01.12.2025,99.99,101.75,101.75,99.0,118.91K,-1.36%
28.11.2025,101.37,100.73,101.99,100.6,44.26K,0.58%
27.11.2025,100.79,100.45,101.25,100.0,88.86K,-0.01%
26.11.2025,100.8,101.0,101.0,99.24,169.48K,0.35%
25.11.2025,100.45,99.81,100.98,99.0,300.84K,0.63%
24.11.2025,99.82,98.32,100.2,98.32,395.52K,1.01%
21.11.2025,98.82,96.9,99.98,96.31,278.02K,1.89%
20.11.2025,96.99,96.33,98.2,95.51,264.87K,-0.23%
19.11.2025,97.21,96.99,97.89,96.66,197.12K,0.53%
18.11.2025,96.7,96.14,96.98,95.51,450.39K,0.07%
14.11.2025,96.63,95.28,96.8,95.01,216.76K,1.38%
13.11.2025,95.31,94.4,95.64,93.5,263.10K,1.39%
12.11.2025,94.0,93.49,94.79,93.49,203.78K,0.63%
11.11.2025,93.41,92.0,93.68,92.0,152.09K,1.51%
10.11.2025,92.02,90.43,92.27,90.25,195.96K,1.85%
07.11.2025,90.35,90.32,90.78,90.0,350.15K,0.03%
06.11.2025,90.32,91.04,91.04,90.23,33.72K,-0.80%
05.11.2025,91.05,91.4,91.8,90.0,150.51K,0.29%
04.11.2025,90.79,90.55,90.91,89.87,185.06K,0.67%
03.11.2025,90.19,90.57,90.6,89.78,217.20K,-0.42%
31.10.2025,90.57,89.9,91.23,89.43,571.73K,1.24%
30.10.2025,89.46,89.3,89.72,88.8,234.18K,0.68%
29.10.2025,88.86,89.0,90.2,87.96,110.94K,0.32%
28.10.2025,88.58,87.1,89.44,86.99,352.41K,2.10%
27.10.2025,86.76,85.88,87.3,85.77,218.21K,1.52%
24.10.2025,85.46,86.0,86.49,85.28,134.84K,-0.66%
