Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
12.12.2025,"4,407.82","4,444.62","4,452.75","4,394.65",,-0.82%
11.12.2025,"4,444.32","4,430.06","4,444.32","4,410.04",,0.44%
10.12.2025,"4,424.74","4,400.98","4,436.77","4,393.64",,0.56%
09.12.2025,"4,400.15","4,405.57","4,413.45","4,398.84",,-0.11%
08.12.2025,"4,405.03","4,418.63","4,423.06","4,396.86",,-0.30%
07.12.2025,"4,418.15","4,418.63","4,418.70","4,418.04",,-0.01%
05.12.2025,"4,418.63","4,415.12","4,434.59","4,411.08",,0.00%
04.12.2025,"4,418.46","4,403.45","4,419.98","4,402.02",,0.36%
03.12.2025,"4,402.44","4,387.07","4,408.73","4,382.63",,0.38%
02.12.2025,"4,385.76","4,376.40","4,397.58","4,375.18",,0.17%
01.12.2025,"4,378.36","4,398.35","4,398.35","4,371.72",,-0.45%
30.11.2025,"4,397.99","4,397.37","4,398.21","4,397.30",,-0.01%
28.11.2025,"4,398.44","4,375.12","4,398.44","4,373.01",,0.53%
27.11.2025,"4,375.31","4,373.32","4,377.00","4,371.92",,0.06%
26.11.2025,"4,372.48","4,335.94","4,382.17","4,335.23",,0.88%
25.11.2025,"4,334.46","4,296.52","4,339.24","4,279.18",,0.89%
24.11.2025,"4,296.12","4,244.70","4,300.81","4,243.40",,1.22%
23.11.2025,"4,244.19","4,244.70","4,244.76","4,244.01",,0.04%
21.11.2025,"4,242.67","4,215.49","4,270.69","4,201.98",,0.60%
20.11.2025,"4,217.24","4,263.01","4,334.43","4,214.21",,-1.10%
19.11.2025,"4,264.13","4,258.89","4,291.86","4,243.46",,0.15%
18.11.2025,"4,257.67","4,303.87","4,304.04","4,234.14",,-1.11%
17.11.2025,"4,305.44","4,343.78","4,346.63","4,287.78",,-0.88%
16.11.2025,"4,343.45","4,343.78","4,344.12","4,343.19",,0.00%
14.11.2025,"4,343.64","4,354.96","4,362.45","4,297.87",,-0.32%
13.11.2025,"4,357.50","4,414.84","4,421.22","4,350.58",,-1.31%
12.11.2025,"4,415.24","4,403.56","4,421.49","4,403.39",,0.24%
11.11.2025,"4,404.49","4,386.12","4,407.89","4,384.81",,0.45%
10.11.2025,"4,384.77","4,324.01","4,390.57","4,323.10",,1.43%
09.11.2025,"4,323.12","4,324.01","4,324.10","4,323.10",,-0.04%
07.11.2025,"4,325.03","4,324.77","4,325.63","4,277.21",,0.03%
06.11.2025,"4,323.70","4,359.98","4,366.26","4,317.86",,-0.76%
05.11.2025,"4,356.69","4,346.10","4,373.55","4,337.80",,0.21%
04.11.2025,"4,347.45","4,393.73","4,394.72","4,342.80",,-1.08%
03.11.2025,"4,394.91","4,389.39","4,406.82","4,377.82",,0.14%
02.11.2025,"4,388.80","4,389.39","4,389.91","4,388.71",,-0.04%
31.10.2025,"4,390.42","4,383.18","4,403.79","4,375.63",,0.21%
30.10.2025,"4,381.34","4,418.97","4,422.33","4,380.65",,-0.98%
29.10.2025,"4,424.84","4,425.33","4,438.46","4,400.24",,-0.03%
28.10.2025,"4,426.07","4,420.19","4,436.02","4,415.73",,0.17%
27.10.2025,"4,418.66","4,372.31","4,420.49","4,371.99",,1.06%
26.10.2025,"4,372.50","4,372.31","4,372.79","4,371.99",,0.03%
24.10.2025,"4,371.27","4,343.99","4,379.16","4,341.62",,0.64%
23.10.2025,"4,343.58","4,322.47","4,349.13","4,318.62",,0.48%
22.10.2025,"4,322.93","4,340.85","4,343.86","4,302.44",,-0.43%
21.10.2025,"4,341.53","4,345.13","4,349.70","4,333.56",,-0.10%
20.10.2025,"4,345.79","4,296.28","4,348.83","4,295.96",,1.16%
19.10.2025,"4,296.03","4,296.28","4,296.47","4,295.96",,-0.01%
17.10.2025,"4,296.41","4,293.26","4,304.12","4,268.63",,0.10%
16.10.2025,"4,292.08","4,305.08","4,329.26","4,276.95",,-0.24%
15.10.2025,"4,302.27","4,280.62","4,328.93","4,276.70",,0.57%
14.10.2025,"4,277.74","4,283.48","4,296.24","4,231.13",,-0.19%
13.10.2025,"4,285.80","4,238.60","4,292.82","4,236.64",,1.12%
12.10.2025,"4,238.49","4,239.12","4,239.73","4,238.49",,0.02%
10.10.2025,"4,237.72","4,336.09","4,346.15","4,237.72",,-2.31%
09.10.2025,"4,337.78","4,352.66","4,356.96","4,326.81",,-0.33%
08.10.2025,"4,352.18","4,330.34","4,352.31","4,325.74",,0.48%
07.10.2025,"4,331.48","4,351.63","4,354.95","4,325.01",,-0.47%
06.10.2025,"4,351.88","4,332.60","4,356.33","4,331.74",,0.46%
05.10.2025,"4,331.95","4,332.60","4,332.69","4,331.74",,-0.12%
03.10.2025,"4,337.29","4,328.50","4,354.13","4,328.50",,0.23%
02.10.2025,"4,327.49","4,321.88","4,338.16","4,314.39",,0.11%
01.10.2025,"4,322.70","4,305.22","4,325.54","4,297.97",,0.37%
30.09.2025,"4,306.70","4,288.64","4,306.86","4,281.96",,0.43%
29.09.2025,"4,288.36","4,277.20","4,296.77","4,274.93",,0.25%
28.09.2025,"4,277.63","4,277.20","4,277.79","4,277.20",,0.03%
26.09.2025,"4,276.23","4,251.15","4,278.76","4,250.39",,0.56%
25.09.2025,"4,252.35","4,278.66","4,279.17","4,234.10",,-0.58%
24.09.2025,"4,277.35","4,295.12","4,295.12","4,270.03",,-0.38%
23.09.2025,"4,293.66","4,310.89","4,316.90","4,289.48",,-0.36%
22.09.2025,"4,309.23","4,292.85","4,313.16","4,286.89",,0.36%
19.09.2025,"4,293.85","4,281.27","4,296.65","4,275.33",,0.34%
18.09.2025,"4,279.34","4,262.36","4,291.88","4,258.12",,0.34%
17.09.2025,"4,264.86","4,269.51","4,279.58","4,239.11",,-0.12%
16.09.2025,"4,269.83","4,274.71","4,279.60","4,265.27",,-0.08%
15.09.2025,"4,273.27","4,252.48","4,275.35","4,251.82",,0.49%
12.09.2025,"4,252.63","4,257.16","4,261.36","4,251.04",,-0.06%
11.09.2025,"4,255.23","4,221.21","4,258.46","4,220.05",,0.75%
10.09.2025,"4,223.67","4,210.85","4,236.85","4,210.50",,0.25%
09.09.2025,"4,213.11","4,207.41","4,213.11","4,197.82",,0.21%
08.09.2025,"4,204.41","4,188.69","4,211.05","4,188.16",,0.31%
05.09.2025,"4,191.23","4,192.99","4,218.53","4,171.18",,0.05%
04.09.2025,"4,189.10","4,160.07","4,190.79","4,160.07",,0.73%
03.09.2025,"4,158.88","4,140.27","4,162.67","4,134.41",,0.38%
02.09.2025,"4,143.34","4,177.91","4,178.09","4,116.06",,-0.81%
01.09.2025,"4,177.24","4,175.17","4,180.11","4,173.58",,-0.01%
29.08.2025,"4,177.72","4,199.97","4,199.97","4,169.03",,-0.53%
28.08.2025,"4,199.99","4,184.83","4,203.62","4,183.71",,0.46%
27.08.2025,"4,180.83","4,176.65","4,187.29","4,169.14",,0.09%
26.08.2025,"4,177.26","4,168.66","4,178.07","4,158.39",,0.07%
25.08.2025,"4,174.13","4,193.29","4,193.57","4,168.52",,-0.45%
22.08.2025,"4,192.80","4,132.23","4,199.86","4,129.60",,1.47%
21.08.2025,"4,132.08","4,147.67","4,147.67","4,123.23",,-0.40%
20.08.2025,"4,148.83","4,153.33","4,155.79","4,122.63",,-0.15%
19.08.2025,"4,155.02","4,171.20","4,177.98","4,149.15",,-0.38%
18.08.2025,"4,170.72","4,173.45","4,175.11","4,164.50",,-0.09%
15.08.2025,"4,174.56","4,174.26","4,185.09","4,170.65",,0.01%
14.08.2025,"4,174.17","4,177.07","4,177.63","4,159.79",,-0.09%
13.08.2025,"4,177.97","4,159.90","4,183.12","4,159.06",,0.52%
12.08.2025,"4,156.48","4,114.86","4,158.51","4,114.86",,1.05%
11.08.2025,"4,113.11","4,125.61","4,130.31","4,109.56",,-0.30%
08.08.2025,"4,125.30","4,103.18","4,128.73","4,101.61",,0.66%
07.08.2025,"4,098.08","4,095.34","4,126.01","4,083.96",,0.12%
06.08.2025,"4,093.26","4,064.08","4,098.67","4,064.08",,0.74%
05.08.2025,"4,063.30","4,075.47","4,087.76","4,056.53",,-0.23%
04.08.2025,"4,072.66","4,024.62","4,073.28","4,018.30",,1.24%
01.08.2025,"4,022.69","4,073.77","4,076.16","4,009.56",,-1.31%
31.07.2025,"4,076.04","4,092.35","4,114.71","4,069.33",,-0.48%
30.07.2025,"4,095.58","4,104.63","4,113.82","4,079.24",,-0.18%
29.07.2025,"4,102.80","4,114.56","4,125.18","4,100.65",,-0.40%
28.07.2025,"4,119.12","4,129.02","4,131.78","4,109.67",,-0.20%
25.07.2025,"4,127.47","4,121.34","4,131.71","4,110.69",,0.08%
24.07.2025,"4,124.25","4,119.19","4,131.77","4,118.94",,0.22%
23.07.2025,"4,115.24","4,077.67","4,118.05","4,077.33",,0.99%
22.07.2025,"4,074.99","4,072.62","4,079.85","4,057.64",,0.07%
21.07.2025,"4,072.14","4,064.22","4,088.33","4,062.70",,0.16%
18.07.2025,"4,065.68","4,063.67","4,075.51","4,058.51",,0.13%
17.07.2025,"4,060.51","4,039.09","4,064.01","4,036.10",,0.61%
16.07.2025,"4,035.77","4,030.38","4,041.31","4,013.83",,0.11%
15.07.2025,"4,031.20","4,050.76","4,067.37","4,029.78",,-0.50%
14.07.2025,"4,051.50","4,045.84","4,052.41","4,035.43",,0.12%
11.07.2025,"4,046.84","4,067.40","4,068.11","4,038.65",,-0.42%
10.07.2025,"4,063.96","4,057.36","4,070.18","4,048.31",,0.20%
09.07.2025,"4,055.89","4,032.99","4,057.85","4,030.21",,0.64%
08.07.2025,"4,030.01","4,033.72","4,039.41","4,025.62",,-0.13%
07.07.2025,"4,035.12","4,061.54","4,062.28","4,018.34",,-0.65%
04.07.2025,"4,061.43","4,066.04","4,066.19","4,059.04",,-0.04%
03.07.2025,"4,063.04","4,039.79","4,065.12","4,033.83",,0.66%
02.07.2025,"4,036.25","4,023.28","4,039.66","4,016.07",,0.37%
01.07.2025,"4,021.57","4,030.33","4,031.01","4,010.98",,-0.12%
30.06.2025,"4,026.44","4,011.61","4,033.95","4,008.66",,0.43%
27.06.2025,"4,009.04","3,984.67","4,017.21","3,984.67",,0.62%
26.06.2025,"3,984.50","3,954.86","3,986.98","3,954.35",,0.87%
25.06.2025,"3,950.11","3,957.36","3,960.12","3,946.93",,-0.20%
24.06.2025,"3,957.83","3,912.76","3,962.20","3,912.76",,1.33%
23.06.2025,"3,905.86","3,879.50","3,910.75","3,866.62",,0.62%
20.06.2025,"3,881.69","3,890.51","3,908.54","3,875.89",,-0.14%
19.06.2025,"3,887.09","3,897.09","3,897.09","3,886.49",,-0.32%
18.06.2025,"3,899.46","3,896.59","3,918.12","3,893.06",,-0.06%
17.06.2025,"3,901.81","3,932.57","3,934.40","3,894.86",,-0.87%
16.06.2025,"3,936.03","3,900.97","3,947.10","3,900.04",,0.90%
13.06.2025,"3,900.90","3,947.02","3,947.09","3,894.83",,-1.11%
12.06.2025,"3,944.58","3,931.51","3,945.56","3,925.43",,0.39%
11.06.2025,"3,929.36","3,935.93","3,948.19","3,921.60",,-0.14%
10.06.2025,"3,934.94","3,920.41","3,935.54","3,916.91",,0.40%
09.06.2025,"3,919.17","3,917.36","3,928.08","3,911.70",,0.11%
06.06.2025,"3,914.72","3,889.40","3,922.80","3,884.67",,0.64%
05.06.2025,"3,889.67","3,902.17","3,916.64","3,880.10",,-0.36%
04.06.2025,"3,903.91","3,894.87","3,913.44","3,893.34",,0.24%
03.06.2025,"3,894.53","3,882.61","3,898.98","3,870.52",,0.34%
02.06.2025,"3,881.41","3,863.18","3,881.89","3,840.77",,0.46%
30.05.2025,"3,863.48","3,863.00","3,868.55","3,831.11",,0.03%
29.05.2025,"3,862.34","3,841.25","3,878.95","3,841.02",,0.43%
28.05.2025,"3,845.70","3,870.53","3,871.40","3,841.94",,-0.60%
27.05.2025,"3,869.06","3,814.07","3,869.87","3,812.21",,1.45%
26.05.2025,"3,813.89","3,804.65","3,814.88","3,804.46",,0.29%
23.05.2025,"3,802.77","3,819.55","3,827.92","3,782.75",,-0.42%
22.05.2025,"3,818.90","3,827.40","3,835.45","3,808.69",,-0.29%
21.05.2025,"3,829.82","3,873.59","3,877.53","3,822.75",,-1.04%
