Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
12.12.2025,"25,196.73","25,531.55","25,605.88","25,104.68",391.77M,-1.91%
11.12.2025,"25,686.69","25,598.39","25,696.29","25,372.18",327.79M,-0.35%
10.12.2025,"25,776.44","25,631.59","25,835.03","25,504.30",397.85M,0.42%
09.12.2025,"25,668.69","25,593.67","25,698.26","25,532.34",288.39M,0.16%
08.12.2025,"25,627.95","25,758.82","25,828.16","25,531.75",368.38M,-0.25%
05.12.2025,"25,692.05","25,657.78","25,827.08","25,617.35",370.44M,0.43%
04.12.2025,"25,581.70","25,658.14","25,658.27","25,450.38",343.59M,-0.10%
03.12.2025,"25,606.54","25,443.71","25,639.99","25,388.44",357.97M,0.20%
02.12.2025,"25,555.86","25,449.87","25,622.58","25,369.36",380.86M,0.84%
01.12.2025,"25,342.85","25,232.75","25,443.21","25,158.63",342.34M,-0.36%
28.11.2025,"25,434.89","25,310.28","25,435.77","25,280.96",206.06M,0.78%
26.11.2025,"25,236.94","25,168.31","25,309.15","25,077.86",328.67M,0.87%
25.11.2025,"25,018.36","24,790.07","25,069.54","24,542.71",399.64M,0.58%
24.11.2025,"24,873.85","24,462.87","24,923.59","24,455.65",652.40M,2.62%
21.11.2025,"24,239.57","24,137.66","24,521.84","23,854.03",534.66M,0.77%
20.11.2025,"24,054.38","25,131.49","25,222.95","24,021.44",487.20M,-2.38%
19.11.2025,"24,640.52","24,517.27","24,904.66","24,432.19",396.33M,0.56%
18.11.2025,"24,503.10","24,651.78","24,735.12","24,299.29",442.10M,-1.20%
17.11.2025,"24,799.92","24,890.10","25,166.15","24,649.36",366.06M,-0.83%
14.11.2025,"25,008.24","24,658.55","25,198.93","24,534.90",359.61M,0.06%
13.11.2025,"24,993.46","25,386.95","25,396.01","24,908.60",412.25M,-2.05%
12.11.2025,"25,517.33","25,662.19","25,663.17","25,389.73",325.66M,-0.06%
11.11.2025,"25,533.49","25,500.93","25,588.26","25,380.86",309.30M,-0.31%
10.11.2025,"25,611.74","25,418.17","25,655.51","25,354.44",378.62M,2.20%
07.11.2025,"25,059.81","24,977.73","25,065.14","24,603.78",414.09M,-0.28%
06.11.2025,"25,130.04","25,568.24","25,568.24","25,083.24",429.76M,-1.91%
05.11.2025,"25,620.03","25,433.22","25,750.88","25,364.90",390.21M,0.72%
04.11.2025,"25,435.70","25,580.34","25,762.23","25,415.62",413.76M,-2.07%
03.11.2025,"25,972.94","26,114.11","26,132.87","25,887.88",352.56M,0.44%
31.10.2025,"25,858.13","26,055.97","26,063.49","25,761.28",421.20M,0.48%
30.10.2025,"25,734.81","25,953.78","26,031.68","25,732.39",429.79M,-1.47%
