Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
11.12.2025,802.56,787.78,808.05,783.63,348.94K,2.42%
10.12.2025,783.58,780.0,787.94,774.35,415.28K,0.30%
09.12.2025,781.24,788.65,789.99,771.02,374.44K,0.78%
08.12.2025,775.16,788.0,791.69,770.47,670.17K,-1.58%
05.12.2025,787.58,781.37,806.74,781.37,150.96K,-0.72%
04.12.2025,793.26,784.5,794.99,772.08,283.35K,1.12%
03.12.2025,784.48,785.01,806.95,781.16,286.90K,-0.49%
02.12.2025,788.36,821.24,821.24,784.01,446.66K,-4.00%
01.12.2025,821.24,776.68,825.51,776.68,526.03K,6.27%
28.11.2025,772.78,774.41,786.09,757.61,246.46K,1.60%
27.11.2025,760.58,774.74,782.96,750.44,66.77K,-2.37%
26.11.2025,779.04,760.0,784.8,760.0,249.70K,3.77%
25.11.2025,750.73,759.4,764.86,746.5,502.79K,-1.51%
24.11.2025,762.22,732.47,779.97,732.47,1.61M,4.58%
21.11.2025,728.83,720.0,743.57,710.1,615.62K,1.23%
20.11.2025,719.97,722.27,738.87,711.69,158.69K,-1.32%
19.11.2025,729.62,720.11,737.99,716.73,335.24K,1.88%
18.11.2025,716.17,709.0,739.99,709.0,677.52K,-1.36%
14.11.2025,726.07,736.0,740.0,707.01,383.76K,-2.97%
13.11.2025,748.33,748.81,766.47,744.0,320.77K,1.01%
12.11.2025,740.88,746.11,757.59,735.05,272.14K,-2.47%
11.11.2025,759.65,748.2,761.03,746.0,327.69K,1.19%
10.11.2025,750.7,736.02,757.99,730.3,204.50K,3.31%
07.11.2025,726.64,722.3,732.86,721.64,252.49K,0.58%
06.11.2025,722.43,723.33,737.19,720.01,229.71K,-0.62%
05.11.2025,726.97,722.14,741.93,719.72,521.34K,1.17%
04.11.2025,718.55,733.99,747.98,714.77,304.36K,-2.55%
03.11.2025,737.32,769.41,772.88,735.06,262.37K,-4.13%
31.10.2025,769.09,767.0,785.0,737.88,1.59M,1.85%
30.10.2025,755.09,751.05,762.73,742.07,340.23K,1.18%
29.10.2025,746.27,746.7,779.86,745.14,391.94K,-0.08%
28.10.2025,746.84,754.0,768.02,730.0,267.16K,-1.34%
27.10.2025,756.95,731.0,774.97,713.31,475.81K,3.09%
24.10.2025,734.25,761.86,773.57,728.53,359.74K,-3.86%
23.10.2025,763.76,762.1,799.78,755.02,399.27K,0.11%
22.10.2025,762.94,757.0,769.79,742.33,390.76K,0.25%
21.10.2025,761.03,783.94,785.1,712.07,527.32K,-4.06%
20.10.2025,793.21,797.61,808.4,786.01,441.56K,-0.03%
17.10.2025,793.45,824.93,830.06,787.55,588.28K,-4.36%
16.10.2025,829.6,803.41,833.18,803.41,411.24K,2.74%
15.10.2025,807.45,826.89,826.89,796.0,343.12K,0.23%
14.10.2025,805.61,820.17,825.05,802.58,375.53K,-2.20%
13.10.2025,823.72,800.0,827.8,790.17,371.19K,5.25%
10.10.2025,782.63,797.01,808.99,778.1,444.40K,-1.46%
09.10.2025,794.25,800.11,808.68,781.51,354.16K,-0.38%
08.10.2025,797.29,758.91,799.05,758.91,478.17K,5.06%
07.10.2025,758.9,782.47,782.48,753.13,369.50K,-2.94%
06.10.2025,781.87,802.09,817.8,776.58,240.26K,-2.03%
03.10.2025,798.1,800.12,808.0,779.31,372.91K,-0.23%
02.10.2025,799.93,804.24,808.02,770.01,488.72K,-0.27%
01.10.2025,802.1,818.54,840.0,797.85,393.04K,-2.00%
30.09.2025,818.5,797.68,820.0,790.05,883.76K,2.10%
29.09.2025,801.69,816.0,817.56,799.51,448.75K,-0.51%
26.09.2025,805.81,795.1,824.98,795.1,400.83K,0.49%
25.09.2025,801.9,784.1,803.0,770.57,434.08K,2.28%
24.09.2025,784.03,777.38,790.0,768.55,440.28K,1.08%
23.09.2025,775.64,778.0,786.06,762.19,475.36K,-0.77%
22.09.2025,781.64,738.78,786.16,738.78,518.58K,5.94%
19.09.2025,737.78,711.09,791.98,711.09,14.31M,3.35%
18.09.2025,713.85,735.85,735.85,700.0,761.44K,-3.15%
17.09.2025,737.03,771.2,797.0,726.82,2.32M,-4.70%
15.09.2025,773.34,785.0,799.79,770.96,589.75K,-1.60%
12.09.2025,785.9,795.97,804.99,783.64,617.65K,-1.58%
11.09.2025,798.54,789.0,810.04,770.0,689.25K,2.77%
10.09.2025,777.01,740.0,783.41,738.0,625.94K,4.92%
09.09.2025,740.6,740.0,748.0,717.3,518.38K,-0.29%
08.09.2025,742.77,723.64,751.81,711.0,334.60K,3.01%
05.09.2025,721.08,693.08,725.33,693.08,453.30K,4.11%
04.09.2025,692.6,721.59,721.59,673.42,566.71K,-4.01%
03.09.2025,721.52,660.01,725.21,660.01,833.19K,9.62%
02.09.2025,658.23,615.99,679.99,612.07,372.35K,7.26%
01.09.2025,613.7,618.45,638.0,604.41,85.13K,0.86%
29.08.2025,608.48,620.93,620.93,602.1,557.32K,-1.52%
28.08.2025,617.85,566.93,625.95,566.88,676.22K,8.28%
27.08.2025,570.63,542.89,571.71,526.0,489.59K,6.77%
26.08.2025,534.43,531.95,553.0,531.9,1.83M,0.64%
25.08.2025,531.01,571.65,571.72,528.27,302.88K,-6.51%
22.08.2025,567.98,549.12,572.96,540.86,274.41K,3.20%
21.08.2025,550.39,534.07,552.0,533.65,228.82K,2.79%
20.08.2025,535.44,529.49,552.23,527.95,575.17K,1.53%
19.08.2025,527.38,527.48,532.78,520.57,293.27K,-0.82%
18.08.2025,531.75,530.99,545.08,525.27,392.43K,1.74%
15.08.2025,522.65,553.04,553.05,518.64,2.43M,-4.87%
14.08.2025,549.4,572.14,572.14,547.01,787.84K,-3.08%
13.08.2025,566.88,590.04,590.04,563.77,407.48K,-3.28%
12.08.2025,586.1,575.57,587.9,562.17,511.36K,0.88%
11.08.2025,580.96,579.97,592.0,575.0,331.11K,-0.33%
08.08.2025,582.9,574.24,600.0,574.24,305.48K,1.00%
07.08.2025,577.13,544.27,587.85,541.76,500.30K,5.25%
06.08.2025,548.35,508.38,550.99,508.0,578.65K,6.88%
05.08.2025,513.07,496.86,516.02,495.01,284.68K,2.78%
04.08.2025,499.17,492.59,500.31,488.02,232.16K,1.34%
01.08.2025,492.59,499.73,500.99,485.67,326.82K,-0.94%
31.07.2025,497.25,504.95,511.59,494.74,249.80K,-1.63%
30.07.2025,505.5,504.01,510.0,501.1,239.88K,-0.99%
29.07.2025,510.58,509.23,511.0,500.19,282.07K,0.36%
28.07.2025,508.73,501.95,509.97,493.0,166.17K,0.05%
25.07.2025,508.49,507.7,513.95,501.0,132.32K,-0.35%
24.07.2025,510.26,503.72,514.3,503.72,228.73K,0.86%
23.07.2025,505.91,512.8,514.45,497.48,286.69K,-0.90%
22.07.2025,510.51,511.99,512.88,505.24,208.75K,0.56%
21.07.2025,507.66,504.0,513.23,495.56,278.00K,0.47%
18.07.2025,505.29,515.0,515.05,504.22,138.12K,-0.80%
17.07.2025,509.34,512.99,513.7,502.11,239.64K,-0.73%
16.07.2025,513.07,502.5,517.0,502.5,256.18K,1.97%
15.07.2025,503.18,511.15,525.0,500.55,331.34K,-2.88%
14.07.2025,518.09,512.48,526.0,510.01,381.79K,0.79%
11.07.2025,514.02,508.3,527.98,508.3,294.38K,1.74%
