Date,Close,Apertura,Máximo,Mínimo,Vol.,% var.
12.12.2025,7.14,7.04,7.79,6.92,40.35M,0.56%
11.12.2025,7.10,7.50,7.78,7.10,26.04M,-3.40%
10.12.2025,7.35,8.05,8.15,7.30,27.46M,-7.55%
09.12.2025,7.95,8.00,8.02,7.76,12.00M,0.51%
08.12.2025,7.91,7.70,8.13,7.69,18.77M,2.06%
05.12.2025,7.75,7.86,7.97,7.72,20.72M,-2.27%
04.12.2025,7.93,7.98,8.21,7.90,17.49M,-1.86%
03.12.2025,8.08,8.37,8.41,8.04,16.13M,-1.22%
02.12.2025,8.18,8.26,8.44,8.14,19.95M,-3.42%
01.12.2025,8.47,8.85,8.85,8.19,26.64M,0.00%
28.11.2025,8.47,8.76,8.78,8.45,14.98M,-4.19%
26.11.2025,8.84,9.14,9.22,8.75,29.49M,-5.56%
25.11.2025,9.36,9.94,10.70,9.36,27.91M,-5.65%
24.11.2025,9.92,11.30,11.31,9.90,24.84M,-14.19%
21.11.2025,11.56,12.27,13.69,11.34,47.82M,-10.66%
20.11.2025,12.94,9.86,13.13,9.72,64.83M,14.41%
19.11.2025,11.31,11.82,12.13,10.78,33.08M,-5.43%
18.11.2025,11.96,11.76,12.49,11.11,42.77M,7.94%
17.11.2025,11.08,10.49,11.42,9.90,34.85M,10.58%
14.11.2025,10.02,11.03,11.40,9.73,42.15M,-3.93%
13.11.2025,10.43,9.42,10.77,9.25,43.06M,13.62%
12.11.2025,9.18,8.98,9.43,8.96,18.54M,1.10%
11.11.2025,9.08,9.22,9.24,9.02,14.84M,-1.20%
10.11.2025,9.19,9.51,9.61,9.13,26.67M,-10.34%
07.11.2025,10.25,11.04,11.68,10.25,47.90M,-1.73%
06.11.2025,10.43,9.81,10.74,9.70,38.68M,7.86%
05.11.2025,9.67,10.46,10.53,9.41,29.05M,-6.75%
04.11.2025,10.37,10.47,10.67,9.95,45.54M,6.91%
03.11.2025,9.70,9.70,10.33,9.59,22.59M,-1.97%
31.10.2025,9.90,9.39,10.31,9.37,30.72M,0.46%
30.10.2025,9.85,9.53,9.87,9.20,28.68M,2.18%
29.10.2025,9.64,9.20,9.66,8.96,29.60M,3.21%
28.10.2025,9.34,8.81,9.35,8.79,21.06M,6.02%
27.10.2025,8.81,8.81,9.03,8.72,17.00M,-5.88%
24.10.2025,9.36,9.21,9.54,9.13,22.14M,-3.70%
23.10.2025,9.72,10.25,10.35,9.66,27.38M,-3.48%
22.10.2025,10.07,9.96,11.16,9.81,57.70M,2.97%
21.10.2025,9.78,10.21,10.55,9.70,35.57M,-2.10%
20.10.2025,9.99,11.17,11.21,9.97,34.14M,-15.20%
17.10.2025,11.78,13.56,14.65,11.78,68.21M,-16.28%
16.10.2025,14.07,11.60,14.22,11.51,72.72M,19.44%
15.10.2025,11.78,10.94,12.41,10.82,40.02M,2.17%
14.10.2025,11.53,11.91,12.59,10.87,46.37M,8.36%
13.10.2025,10.64,11.21,11.36,10.52,37.32M,-15.15%
10.10.2025,12.54,10.02,12.77,9.85,87.40M,25.65%
09.10.2025,9.98,9.87,10.32,9.83,21.22M,0.10%
08.10.2025,9.97,10.21,10.35,9.91,16.38M,-3.48%
07.10.2025,10.33,9.85,10.48,9.79,26.24M,4.03%
06.10.2025,9.93,9.89,10.17,9.85,13.08M,-0.90%
03.10.2025,10.02,10.00,10.29,9.92,16.04M,-0.89%
02.10.2025,10.11,9.76,10.17,9.74,14.64M,2.22%
01.10.2025,9.89,10.16,10.18,9.80,16.18M,-0.40%
30.09.2025,9.93,10.17,10.25,9.88,17.07M,-1.19%
29.09.2025,10.05,9.74,10.19,9.69,14.36M,2.24%
26.09.2025,9.83,10.46,10.81,9.80,22.18M,-7.96%
25.09.2025,10.68,10.84,11.07,10.21,30.99M,2.59%
24.09.2025,10.41,10.51,11.06,10.40,14.79M,-2.53%
23.09.2025,10.68,10.35,11.00,10.33,18.82M,2.79%
22.09.2025,10.39,10.24,10.43,10.05,12.60M,3.28%
19.09.2025,10.06,9.93,10.36,9.90,12.87M,0.40%
18.09.2025,10.02,9.81,10.13,9.72,15.99M,-1.09%
17.09.2025,10.13,10.73,10.85,9.79,34.22M,-6.98%
16.09.2025,10.89,10.61,10.96,10.57,15.12M,3.32%
15.09.2025,10.54,10.21,10.60,10.12,13.36M,1.84%
12.09.2025,10.35,10.38,10.45,10.13,13.82M,-0.38%
11.09.2025,10.39,10.51,10.67,10.36,14.88M,-4.50%
10.09.2025,10.88,10.72,11.08,10.65,16.19M,-1.18%
09.09.2025,11.01,11.23,11.52,10.99,17.22M,-1.08%
08.09.2025,11.13,11.32,11.40,11.06,14.08M,-3.64%
05.09.2025,11.55,10.99,12.22,10.94,32.52M,0.17%
04.09.2025,11.53,12.11,12.16,11.49,16.44M,-6.03%
03.09.2025,12.27,12.73,12.81,12.23,17.76M,-4.96%
02.09.2025,12.91,13.43,13.94,12.86,33.23M,6.61%
29.08.2025,12.11,11.57,12.35,11.46,26.79M,3.95%
28.08.2025,11.65,11.70,12.06,11.58,19.60M,-2.92%
27.08.2025,12.00,11.98,12.32,11.86,14.03M,0.93%
26.08.2025,11.89,12.25,12.28,11.89,11.24M,-1.65%
25.08.2025,12.09,12.31,12.42,11.90,15.75M,0.58%
22.08.2025,12.02,14.25,14.28,12.00,38.92M,-16.35%
21.08.2025,14.37,14.38,14.80,14.11,21.68M,2.64%
20.08.2025,14.00,14.20,14.99,13.86,30.70M,-0.71%
19.08.2025,14.10,13.26,14.25,13.24,28.06M,4.29%
18.08.2025,13.52,14.23,14.24,13.46,20.51M,-5.12%
15.08.2025,14.25,14.18,14.53,14.12,13.83M,-0.56%
14.08.2025,14.33,14.81,14.87,14.22,26.07M,0.56%
13.08.2025,14.25,14.03,14.50,14.02,14.49M,-1.52%
12.08.2025,14.47,15.20,15.28,14.40,21.50M,-8.53%
11.08.2025,15.82,15.57,15.96,15.34,17.87M,0.89%
08.08.2025,15.68,16.29,16.38,15.65,21.03M,-6.56%
07.08.2025,16.78,16.11,17.34,16.00,19.47M,1.21%
06.08.2025,16.58,17.62,17.87,16.55,17.82M,-6.01%
05.08.2025,17.64,17.22,18.74,17.20,19.31M,1.55%
04.08.2025,17.37,18.96,19.04,17.37,19.20M,-13.50%
01.08.2025,20.08,18.93,20.89,18.90,45.62M,16.74%
31.07.2025,17.20,16.43,17.50,16.17,22.98M,0.35%
30.07.2025,17.14,16.90,17.71,16.55,17.59M,1.00%
29.07.2025,16.97,15.87,17.22,15.70,20.69M,4.43%
28.07.2025,16.25,16.45,16.72,16.23,9.63M,-5.41%
